fiscal_year,revenue_or_spending,related_govt_unit,organization_group_code,organization_group,department_code,department,program_code,program,character_code,character,object_code,object,sub_object_code,sub_object,fund_type_code,fund_type,fund_code,fund,fund_category_code,fund_category,budget,data_as_of,data_loaded_at
2025,Spending,Spending,2,"Public Works, Transportation & Commerce",DBI,Department of Building Inspection,OPR,Operating,NON_PERS_SVCS,Non-Personnel Services,MNTSVCS_EQUIP,Maint Svcs-Equipment,529990,Other Equip Maint,SP_REV,Special Revenue Funds,SP_REV~10190,SR BIF Operating Project,1.0,Operating,0.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2026,Revenue,Revenue,5,Culture & Recreation,LIB,Public Library,OPR,Operating,INT_INV_INC,Interest & Investment Income,INTEREST,Interest,430150,Interest Earned - Pooled Cash,PERMA_FUND,Permanent Fund,PERMA_FUND~17860,Perm ETF-Bequests,4.0,Grants Projects,15000.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2025,Spending,Spending,6,General Administration & Finance,ADM,General Services Agency - City Administrator,OPR,Operating,SVCS_OTHER_DEPTS,Services Of Other Depts,581161,GF-ADM-Digital Services,581161,GF-ADM-Digital Services,GEN_FUND,General Fund,GEN_FUND~10060,GF Work Order,5.0,Work Orders/Overhead,573448.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2026,Spending,Spending,3,Human Welfare & Neighborhood Development,HSA,Human Services Agency,OPR,Operating,MAND_FRING_BEN,Mandatory Fringe Benefits,HLTH_SVC,Health Service,515710,Dependent Coverage,SP_REV,Special Revenue Funds,SP_REV~12920,SR Human Welfare-Grants Sta,6.0,Continuing Projects - Project Control,15410.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2025,Revenue,Revenue,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,OPR,Operating,UNAPP_FD_BAL,Unappropriated Fund Balance,499999,Beginning Fund Balance - Budget Only,499999,Beg Fund Balance - Budget Only,ENT_FUND,Enterprise Funds,ENT_FUND~SFIA_OP,SFIA-Operating Fund,1.0,Operating,308141206.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2026,Revenue,Revenue,6,General Administration & Finance,TIS,General Services Agency - Technology,OPR,Operating,EXP_RECOVERY,Expenditure Recovery,EXP_REC_SVC_AAO_FND,Expenditure Recovery - Services to AAO Fund,486470,Exp Rec Fr Mayor (AAO),GEN_FUND,General Fund,GEN_FUND~10000,GF Annual Account Ctrl,1.0,Operating,18750.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2024,Spending,Spending,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,CAPCP,Capital-CPC Funded,MAND_FRING_BEN,Mandatory Fringe Benefits,OTH_FR_BEN,Other Fringe Benefits,519110,Flexible Benefit Package,ENT_FUND,Enterprise Funds,ENT_FUND~MTA_TRANSIT,Transit,6.0,Continuing Projects - Project Control,0.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2024,Spending,Spending,6,General Administration & Finance,TIS,General Services Agency - Technology,OPR,Operating,NON_PERS_SVCS,Non-Personnel Services,MNTSVCS_EQUIP,Maint Svcs-Equipment,529990,Other Equip Maint,GEN_FUND,General Fund,GEN_FUND~10020,GF Continuing Authority Ctrl,3.0,Continuing Projects - Authority Control,0.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2024,Spending,Spending,2,"Public Works, Transportation & Commerce",DPW,Public Works,CAPCP,Capital-CPC Funded,MAND_FRING_BEN,Mandatory Fringe Benefits,RETIREMENT,Retirement,513010,Retire City Misc,ENT_FUND,Enterprise Funds,ENT_FUND~MTA_TRANSIT,Transit,3.0,Continuing Projects - Authority Control,0.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2026,Spending,Spending,1,Public Protection,DEM,Department of Emergency Management,CAPCP,Capital-CPC Funded,MAND_FRING_BEN,Mandatory Fringe Benefits,SOC_SEC,Social Security,514010,Social Security (OASDI & HI),GEN_FUND,General Fund,GEN_FUND~10000,GF Annual Account Ctrl,1.0,Operating,2491873.0,2025-07-06 22:05:48,2025-07-07 01:53:38
