fiscal_year,revenue_or_spending,related_govt_unit,organization_group_code,organization_group,department_code,department,program_code,program,character_code,character,object_code,object,sub_object_code,sub_object,fund_type_code,fund_type,fund_code,fund,fund_category_code,fund_category,budget,data_as_of,data_loaded_at
2012,Revenue,Revenue,1,Public Protection,SHF,Sheriff,AFC,Custody,600,Charges for Services,607,Correction Service Charges,60799,Misc Correction Service Revenue,1G,General Fund,1GAGF,General Fund,1.0,Operating,72000.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Revenue,Revenue,1,Public Protection,SHF,Sheriff,ASP,Facilities & Equipment,600,Charges for Services,601,General Government Services,60125,Sheriffs Fees,2S,Special Revenue Funds,2SPPF,Public Protection Fund,3.0,Continuing Projects,392484.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Revenue,Revenue,1,Public Protection,SHF,Sheriff,FDM,General Fund,GFS,General Fund Support,GFS,General Fund Support,GFSUP,General Fund Support,1G,General Fund,1GAGF,General Fund,2.0,Annual Projects,1624946.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Revenue,Revenue,1,Public Protection,SHF,Sheriff,FDM,General Fund,GFS,General Fund Support,GFS,General Fund Support,GFSUP,General Fund Support,1G,General Fund,1GAGF,General Fund,3.0,Continuing Projects,6200000.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Revenue,Revenue,1,Public Protection,SHF,Sheriff,FDM,General Fund,GFS,General Fund Support,GFS,General Fund Support,GFSUP,General Fund Support,1G,General Fund,1GAGF,General Fund,1.0,Operating,140795307.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Revenue,Revenue,1,Public Protection,SHF,Sheriff,AFT,Security Services,865,Expenditure Recovery,865,Recovery for Svcs to AAO Funds,865AD,Exp Rec Fr Administrative Services (AAO),1G,General Fund,1GAGF,General Fund,1.0,Operating,216388.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Revenue,Revenue,1,Public Protection,SHF,Sheriff,AFT,Security Services,865,Expenditure Recovery,865,Recovery for Svcs to AAO Funds,865ER,Exp Rec Fr Emergency Communications(AAO),1G,General Fund,1GAGF,General Fund,5.0,Work Orders/Overhead,1653251.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Revenue,Revenue,1,Public Protection,SHF,Sheriff,AFT,Security Services,865,Expenditure Recovery,865,Recovery for Svcs to AAO Funds,865HL,Exp Rec Fr Laguna Honda Hospital (AAO),1G,General Fund,1GAGF,General Fund,5.0,Work Orders/Overhead,2316094.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Revenue,Revenue,1,Public Protection,SHF,Sheriff,AFT,Security Services,865,Expenditure Recovery,865,Recovery for Svcs to AAO Funds,865RG,Exp Rec Fr Registrar of Voters (AAO),1G,General Fund,1GAGF,General Fund,5.0,Work Orders/Overhead,351834.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Revenue,Revenue,1,Public Protection,SHF,Sheriff,AFT,Security Services,865,Expenditure Recovery,865,Recovery for Svcs to AAO Funds,865HG,Exp Rec Fr SF General Hospital (AAO),1G,General Fund,1GAGF,General Fund,5.0,Work Orders/Overhead,7059213.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Revenue,Revenue,1,Public Protection,SHF,Sheriff,AFT,Security Services,ELS,Transfer Adjustments-Sources,ELS,Transfer Adjustments-Sources,ELIMSC,Transfer Adjustments-Sources (Citywide),1G,General Fund,1GAGF,General Fund,1.0,Operating,-216388.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Revenue,Revenue,1,Public Protection,SHF,Sheriff,AFT,Security Services,ELS,Transfer Adjustments-Sources,ELS,Transfer Adjustments-Sources,ELIMSC,Transfer Adjustments-Sources (Citywide),1G,General Fund,1GAGF,General Fund,5.0,Work Orders/Overhead,-11380392.0,2025-07-06 22:05:48,2025-07-07 01:53:38
