fiscal_year,revenue_or_spending,related_govt_unit,organization_group_code,organization_group,department_code,department,program_code,program,character_code,character,object_code,object,sub_object_code,sub_object,fund_type_code,fund_type,fund_code,fund,fund_category_code,fund_category,budget,data_as_of,data_loaded_at
2013,Spending,Spending,3,Human Welfare & Neighborhood Development,DSS,Human Services,CGU,DSS Childcare,13,Mandatory Fringe Benefits,15,Health Service,1571,Dependent Coverage-Miscellaneous,1G,General Fund,1GAGF,General Fund,1.0,Operating,51808.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2013,Spending,Spending,3,Human Welfare & Neighborhood Development,DSS,Human Services,CGU,DSS Childcare,13,Mandatory Fringe Benefits,15,Health Service,1501,Health Service-City Match,1G,General Fund,1GAGF,General Fund,1.0,Operating,83352.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2013,Spending,Spending,3,Human Welfare & Neighborhood Development,DSS,Human Services,CGU,DSS Childcare,13,Mandatory Fringe Benefits,19,Other Fringe Benefits,1911,Flexible Benefit Package,1G,General Fund,1GAGF,General Fund,1.0,Operating,9725.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2013,Spending,Spending,3,Human Welfare & Neighborhood Development,DSS,Human Services,CGU,DSS Childcare,13,Mandatory Fringe Benefits,19,Other Fringe Benefits,1912,Long Term Disability Insurance,1G,General Fund,1GAGF,General Fund,1.0,Operating,3335.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2013,Spending,Spending,3,Human Welfare & Neighborhood Development,DSS,Human Services,CGU,DSS Childcare,13,Mandatory Fringe Benefits,19,Other Fringe Benefits,1912,Long Term Disability Insurance,2S,Special Revenue Funds,2SHWF,Human Welfare Fund,4.0,Grants,270.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2013,Spending,Spending,3,Human Welfare & Neighborhood Development,DSS,Human Services,CGU,DSS Childcare,13,Mandatory Fringe Benefits,13,Retirement,1301,Retire City Misc,1G,General Fund,1GAGF,General Fund,1.0,Operating,171284.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2013,Spending,Spending,3,Human Welfare & Neighborhood Development,DSS,Human Services,CGU,DSS Childcare,13,Mandatory Fringe Benefits,14,Social Security,1401,Social Security (OASDI & HI),1G,General Fund,1GAGF,General Fund,1.0,Operating,52315.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2013,Spending,Spending,3,Human Welfare & Neighborhood Development,DSS,Human Services,CGU,DSS Childcare,13,Mandatory Fringe Benefits,14,Social Security,1402,Social Security - Medicare (HI Only),1G,General Fund,1GAGF,General Fund,1.0,Operating,13328.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2013,Spending,Spending,3,Human Welfare & Neighborhood Development,DSS,Human Services,CGU,DSS Childcare,13,Mandatory Fringe Benefits,17,Unemployment Insurance,1701,Unemployment Insurance,1G,General Fund,1GAGF,General Fund,1.0,Operating,2296.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2013,Spending,Spending,3,Human Welfare & Neighborhood Development,DSS,Human Services,CGU,DSS Childcare,13,Mandatory Fringe Benefits,17,Unemployment Insurance,1701,Unemployment Insurance,2S,Special Revenue Funds,2SHWF,Human Welfare Fund,4.0,Grants,120.0,2025-07-06 22:05:48,2025-07-07 01:53:38
