fiscal_year,revenue_or_spending,related_govt_unit,organization_group_code,organization_group,department_code,department,program_code,program,character_code,character,object_code,object,sub_object_code,sub_object,fund_type_code,fund_type,fund_code,fund,fund_category_code,fund_category,budget,data_as_of,data_loaded_at
2012,Spending,Spending,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE1,Administration,21,Non Personnel Services,27,Professional & Specialized Services,2731,Legal Services,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,5.0,Work Orders/Overhead,10138.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Spending,Spending,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE1,Administration,21,Non Personnel Services,27,Professional & Specialized Services,2751,Management Consulting Services,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,5.0,Work Orders/Overhead,96460.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Spending,Spending,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE1,Administration,21,Non Personnel Services,27,Professional & Specialized Services,2789,Other Medical Services,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,225885.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Spending,Spending,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE1,Administration,21,Non Personnel Services,27,Professional & Specialized Services,2799,Other Professional Services,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,250000.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Spending,Spending,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE2,Parking & Traffic,81,Services of Other Depts,81,Services of Other Depts (AAO Funds),081WR,SR-DPW-Street Repair,5N,MTA Parking & Traffic Funds,5NAAA,Parking & Traffic Operating Fund,1.0,Operating,35000.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Spending,Spending,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE2,Parking & Traffic,ELU,Transfer Adjustments-Uses,ELU,Transfer Adjustments-Uses,ELIMUD,Transfer Adjustments-Uses,5N,MTA Parking & Traffic Funds,5NAAA,Parking & Traffic Operating Fund,1.0,Operating,-2149254.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Spending,Spending,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE2,Parking & Traffic,ELU,Transfer Adjustments-Uses,ELU,Transfer Adjustments-Uses,ELIMUC,Transfer Adjustments-Uses (Citywide),5N,MTA Parking & Traffic Funds,5NAAA,Parking & Traffic Operating Fund,1.0,Operating,-1110500.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Spending,Spending,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE5,Parking Garages & Lots,70,Debt Service,71,Debt Redemption,7111,Bond Redemption,5X,MTA Parking Garages/Other,5XOPF,Parking Off Street Parking Oper Fund,1.0,Operating,2690660.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Spending,Spending,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE5,Parking Garages & Lots,13,Mandatory Fringe Benefits,16,Dental Coverage,1601,Dental Coverage,5X,MTA Parking Garages/Other,5XOPF,Parking Off Street Parking Oper Fund,1.0,Operating,13218.0,2025-07-06 22:05:48,2025-07-07 01:53:38
2012,Spending,Spending,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE5,Parking Garages & Lots,13,Mandatory Fringe Benefits,15,Health Service,1571,Dependent Coverage-Miscellaneous,5X,MTA Parking Garages/Other,5XOPF,Parking Off Street Parking Oper Fund,1.0,Operating,31418.0,2025-07-06 22:05:48,2025-07-07 01:53:38
