location_id,business_account_number,ownership_name,doing_business_as_name,business_location_street_address,business_location_city,business_location_state,business_location_zip_code,business_start_date,business_end_date,location_start_date,location_end_date,mailing_address
1284368-08-211,1126971,Trubay,Trubay,677 Carolina St,San Francisco,CA,94107,2021-08-01,,2021-08-01,,677 Carolina St
1284375-08-211,1125540,R.B.M Logistics LLC,Marin Bar Co.,4131 California St Apt 5,San Francisco,CA,94118,2021-06-22,,2021-08-16,,4131 California St 5 Apt
1284377-08-211,1124506,Kin Copa LLC,Chisai Sushi Club,3369 Mission St,San Francisco,CA,94110,2021-05-15,,2021-07-19,,358 Prospect Ave
1284378-08-211,1095196,Huseyin Ucan,Hyseyin Ucan,1008 Carolan Ave Unit 230,Burlingame,CA,94010,2018-11-21,,2021-05-25,,1008 Carolan Ave Unit 2307
1284380-08-211,1126978,"Squire Technologies, Inc.","Squire Technologies, Inc.",115 W 18th St,New York,NY,10011,2017-04-01,,2017-04-01,,100 Heard St 546 Unit
1284383-08-211,445707,Jerome Cary A,Cary Jerome Massage,20 Ridgewood Ave,San Francisco,CA,94112,2010-01-22,,2021-08-02,,20 Ridgewood Ave
1284387-08-211,1126982,Elvin Pineda,E & A Construction Design,1441 Quesada Ave,San Francisco,CA,94124,2021-08-16,,2021-08-16,,1441 Quesada Ave
1284391-08-211,1126984,Sunday Miscellaneous LLC,Sunday Social,699 22nd St,San Francisco,CA,94107,2021-08-04,,2021-08-04,,4100 3rd St
1284395-08-211,1126986,Lefevre Welding Inc,Lefevre Welding Inc,2511 Isabelle Ave,San Mateo,CA,94403,2021-06-01,,2021-06-01,,2511 Isabelle Av Isabelle Ave
1284397-08-211,1126987,Kathryn Page,Kathryn Page,354 Los Palmos Dr,San Francisco,CA,94127,2021-08-02,,2021-08-02,,354 Los Palmos Dr
1284399-08-211,1126988,"Stage 3 Separation, LLC","Stage 3 Separation, LLC",2000 Silber Rd,Houston,TX,77055,2021-01-01,,2021-01-01,,2000 Silber Rd
1284410-08-211,1126650,Chad Eng,New Door,891 Beach St,San Francisco,CA,94109,2021-08-03,,2021-08-10,,1007 Bird Ave
1284412-08-211,1126993,Erica Lehneis,Strange Magic Coffee LLC,1649 Haight St,San Francisco,CA,94117,2020-02-01,,2020-02-01,,386 Page St
1284413-08-211,458037,Wei Jianfu,Ralph's Jewelry,280 Beale St Unit 610,San Francisco,CA,94105,2010-09-01,,2021-08-16,,280 Beale St Apt 610
1284417-08-211,1126995,Keyboard LLC,Gretchen Rubin Media,51 Cityview Way,San Francisco,CA,94131,2021-06-30,,2021-06-30,,51 Cityview Way Cityview Way
1284420-08-211,1126996,Ashbury Park Supply Company LLC,Ashbury Park Supply Company,2108 N Street Ste N,Sacramento,CA,95816,2021-08-16,,2021-08-16,,2108 N Street Ste N
