location_id,business_account_number,ownership_name,doing_business_as_name,business_location_street_address,business_location_city,business_location_state,business_location_zip_code,business_start_date,business_end_date,location_start_date,location_end_date,mailing_address
0415388-01-001,415388,Schaffer Joel B   Donna M,Schaffer Family Trust,3488 22nd St,San Francisco,CA,94110,2007-03-01,,2007-03-01,,104 Fiesta Cir
0415394-02-001,415394,Awadalla Ala,Pizzelle Di North Beach,314 Columbus Ave,San Francisco,CA,94133,2007-03-23,,2008-06-24,,314 Columbus Ave
0415395-01-001,415395,The Cipollina Family Trust,The Cipollina Family Trust,443 8th Ave,San Francisco,CA,94118,2007-03-23,,2007-03-23,,84 Sunny Cove Dr
0415400-01-001,415400,Spring Bettie B,27-29 Liberty Apts,27 Liberty St #29,San Francisco,CA,94110,2007-03-31,,2007-03-31,,0000 Undeliverable Mail
0415404-01-001,415404,Chia Wai K Chia Wai H Et Al,1240 Geneva Av Apts,1240 Geneva Ave,San Francisco,CA,94112,2007-03-01,,2007-03-01,,1234 Geneva Ave
0415410-01-001,415410,Stone Lisa M,Lisa M Stone,218 23rd Ave,San Francisco,CA,94121,2007-03-01,,2007-03-01,,Po Box 477
0415411-01-001,415411,Ke Holdings LLC,1100 Clay St Apts,1100 Clay St,San Francisco,CA,94108,2007-03-01,,2007-03-01,,Po Box 210764
0415415-01-001,415415,Liu I-Jung,665 6th Ave Apts,665 6th Ave,San Francisco,CA,94118,2007-03-01,,2007-03-01,,1767 35th Ave
0415417-01-001,415417,Holthaus James D,1511 6th Ave Apts,1511 6th Ave,San Francisco,CA,94122,2007-03-01,,2007-03-01,,1083 Banyan Way
0415418-01-001,415418,Chan Lisee S M,2945 - 2949 Clement St Apts,2945 Clement St,San Francisco,CA,94121,2007-03-23,,2007-03-23,,464 18th Ave
0415426-01-001,415426,Progress Apartments Inc,Progress Apartments Inc,1272 S Van Ness Ave,San Francisco,CA,94110,2007-03-01,,2007-03-01,,368 Fell St
0415428-01-001,415428,La Playa Apartments,La Playa Apartments,770 La Playa St,San Francisco,CA,94121,2007-03-01,,2007-03-01,,368 Fell St
0415434-01-001,415434,Cheuk Edwin W,63 Masonic Av Apts,63 Masonic Ave,San Francisco,CA,94118,2007-03-01,,2007-03-01,,1227 20th Ave 3 Apt
0415435-01-001,415435,Manning Daniel A,1323-1325 12th Ave Apts,1323 12th Ave,San Francisco,CA,94122,2007-03-01,,2007-03-01,,23 Meadowbrook Dr
0415439-01-001,415439,Kahney Pauline,777-779 Grove St Apts,777 Grove St,San Francisco,CA,94102,2007-03-01,,2007-03-01,,777 Grove St # 3
0415440-01-001,415440,Frank Carraro Investments LLC,Frank Carraro Investments LLC,4192 Mission St,San Francisco,CA,94112,2007-03-01,,2007-03-01,,4192 Mission St
0415446-01-001,415446,Brucker H Michael Kipperman Tr,1815 Oak St Apts,1815 Oak St,San Francisco,CA,94117,2007-03-01,,2007-03-01,,587 Castro St
0415447-01-001,415447,Lee Stella,Rivera St Apts,900 Rivera St,San Francisco,CA,94116,2007-03-01,,2007-03-01,,85 Forest Side Ave
0415448-01-001,415448,Dubayah Family Partnership,Dubayah Family Partnership,55 Chumasero Dr Apt 2j,San Francisco,CA,94132,2001-01-12,,2001-01-12,,55 Chumasero Dr Apt 2j
0415456-01-001,415456,Medina Gerardo  Yoshioka,Mirai Network LLC,1700 California St Ste 570,San Francisco,CA,94109,2007-03-19,,2007-03-19,,405 Bellevue Ave Apt 103
0415458-01-001,415458,Think Connected LLC,Think Connected LLC,365 Main St,San Francisco,CA,94105,2007-01-01,,2007-01-01,,365 Main St
