location_id,business_account_number,ownership_name,doing_business_as_name,business_location_street_address,business_location_city,business_location_state,business_location_zip_code,business_start_date,business_end_date,location_start_date,location_end_date,mailing_address
1324338-02-231,1143116,Won Insurance Agency Inc,Tiffany Won Insurance Agency,1250 Missouri St Unit 305,San Francisco,CA,94107,2023-02-06,,2023-02-06,,1250 Missouri St Unit 305
1324340-02-231,1143117,Claudia A. Gavarrette Cruz,123 Cleaning Service,316 Valencia St Apt 203,San Francisco,CA,94103,2023-02-13,,2023-02-13,,316 Valencia St Apt 203
1324342-02-231,1143118,Ronivan Munoz,Eagles Painting And Decoration,714 Athens St,San Francisco,CA,94112,2023-02-13,,2023-02-13,,714 Athens St
1324343-02-231,1143118,Ronivan Munoz,Eagles Painting And Decoration,584 Castro St,San Francisco,CA,94114,2023-02-13,,2023-02-13,,714 Athens St
1324346-02-231,350679,Rose Catherine L,Catherine L Rose,2211 Post St Ste 300,San Francisco,CA,94115,2001-11-01,,2023-02-01,,2211 Post St Ste 300
1324350-02-231,1143121,Rory Nordeen,Rjn Travel,602 Castro St,San Francisco,CA,94114,2023-02-13,,2023-02-13,,602 Castro St
1324351-02-231,1143120,Stablecoin Labs Inc,Stablecoin Labs Inc,2261 Market St # 4560,San Francisco,CA,94114,2022-01-03,,2022-01-03,,2261 Market St # 4560
1324354-02-231,1143123,Charney Solutions LLC,Charney Solutions LLC,1677 Bush St Apt 1,San Francisco,CA,94109,2023-02-13,,2023-02-13,,1677 Bush St Apt 1
1324355-02-231,1143122,Generative Somatics,Generative Somatics,548 Market St Pmb 8386,San Francisco,CA,94104,2021-05-19,,2021-05-19,,548 Market St Pmb 8386
1324358-02-231,1143124,Flora Luo   Run Ping Luo,2840 San Bruno - Residential Units,2840 San Bruno Ave,San Francisco,CA,94134,2023-02-13,,2023-02-13,,82 Lois Ln
1324360-02-231,1143125,Edward Romanov,Edward Romanov,1455 Irving St,San Francisco,CA,94122,2018-10-25,,2018-10-25,,1410 Noriega St
1324363-02-231,1143126,Flora Luo   Run Ping Luo,2840 San Bruno Commercial Units,2840 San Bruno Ave,San Francisco,CA,94134,2022-12-31,,2022-12-31,,82 Lois Ln
1324364-02-231,1143126,Flora Luo   Run Ping Luo,2724-2726 San Bruno Avenue,2726 San Bruno Ave,San Francisco,CA,94134,2022-12-31,,2022-12-31,,82 Lois Ln
1324365-02-231,1143126,Flora Luo   Run Ping Luo,2546-2548 San Bruno Avenue,2548 San Bruno Ave,San Francisco,CA,94134,2022-12-31,,2022-12-31,,82 Lois Ln
1324367-02-231,1143127,Edward Romanov,Edward Romanov,1455 Irving St,San Francisco,CA,94122,2018-10-25,,2018-10-25,,1410 Noriega St
1324371-02-231,1143129,Higher Seating L.L.C.,Higher Seating L.L.C.,447 Sutter St Ste 405,San Francisco,CA,94108,2023-01-30,,2023-01-30,,447 Sutter St Ste 405
1324373-02-231,1143130,"Annie S Lathrop Family, LLC","Annie S Lathrop Family, LLC",237 Post St,San Francisco,CA,94108,2023-01-17,,2023-01-17,,47 Kearny St Fl 3
1324377-02-231,1024937,Tcgsf Inc,Spyglass Group,1624 California St,San Francisco,CA,94109,2016-02-01,,2023-02-13,,1624 California St
1324379-02-231,1143132,Miguel Used Things,Miguel Used Things,2205 Mission St,San Francisco,CA,94110,2023-01-27,,2023-01-27,,0000 Undeliverable Mail
1324380-02-231,428105,Sahagun Properties LLC,Sahagun Properties LLC,2399 Market St,San Francisco,CA,94114,2004-01-01,,2022-12-31,,2500 California St
1324382-02-231,1143133,R.A.F. Family Investments LLC,R.A.F. Family Investments LLC,238 Townsend St,San Francisco,CA,94107,2022-01-05,,2022-01-05,,238 Townsend St
