location_id,business_account_number,ownership_name,doing_business_as_name,business_location_street_address,business_location_city,business_location_state,business_location_zip_code,business_start_date,business_end_date,location_start_date,location_end_date,mailing_address
1373278-10-241,1163327,Christopher Mulvihill,Sunset Cpa,1352 10th Ave Apt 202,San Francisco,CA,94122,2024-10-01,,2024-10-15,,1352 10th Ave Apt 202
1373280-10-241,1163328,Jmc Quality Construction Inc,Jmc Quality Construction Inc,306 Chester St,Daly City,CA,94014,2024-10-24,,2024-10-24,,306 Chester St
1373281-10-241,1134603,Fresh Cleaning Services LLC,Marquez's Tires,6215 03 St,San Francisco,CA,94124,2022-04-01,,2024-10-24,,205 Font Blvd
1373283-10-241,1160743,Gared Moses,San Francisco Garden Design,3150 18th St Ste 200,San Francisco,CA,94110,2024-07-01,,2024-10-01,,1547 Palos Verdes Mall Mall Unit 431
1373284-10-241,1163329,3141 16th Street LLC,3141 16th Street,106 Albion St,San Francisco,CA,94110,2017-07-01,,2017-07-01,,1819 Polk St Unit 317
1373286-10-241,1163330,Guapalay LLC,Guapalay LLC,4619 Brunswick St Unit 604,Daly City,CA,94014,2024-10-24,,2024-10-24,,4619 Brunswick St Unit 604
1373288-10-241,1163331,Keith Ali,Detective Wang,259 Hyde St,San Francisco,CA,94102,2024-10-24,,2024-10-24,,725 Springs Rd
1373289-10-241,1020802,J Bodyworks Inc,Swerv Studios,425 2nd St Ste 100,San Francisco,CA,94107,2014-03-01,,2022-07-01,,425 2nd St Ste 100
1373291-10-241,1163332,Habibis Birria,Habibis Birria Inc,998 Market St,San Francisco,CA,94102,2024-09-13,,2024-09-13,,998 Market St
1373292-10-241,1117831,"North Beach Gyros, Inc.",Kalimera,561 Columbus Ave,San Francisco,CA,94133,2020-09-28,,2024-10-24,,561 Columbus Ave
1373295-10-241,1162993,Quality Construction   Yl Inc,Quality Construction & Yl Inc,361 Knowles Ave,Daly City,CA,94014,2024-10-01,,2024-10-01,,361 Knowles Ave
1373296-10-241,1162377,"Evisort, Inc.","Evisort, Inc.",130 Sutter St Fl 2,San Francisco,CA,94104,2022-09-01,,2022-09-01,,548 Market St # Pmb20722
1373300-10-241,1163335,"Bayani Pay, Inc",Bayani Pay,3581 Callan Blvd Ste D,South San Francisco,CA,94080,2021-02-09,,2024-10-21,,3581 Callan Blvd Ste D
1373302-10-241,1163336,210-216 Townsend LLC,210-216 Townsend LLC,2020 Union St #,San Francisco,CA,94123,2024-07-12,,2024-07-12,,2020 Union St
1373304-10-241,1163337,Eric J. Altorfer   Edwin V. Gaffud,Stac Protection And Security Services,698 Bush St Apt 501,San Francisco,CA,94108,2024-10-24,,2024-10-24,,698 Bush St Apt 501
1373307-10-241,1163339,Bryant St Real Property LLC,Bryant St Real Property LLC,1190 Bryant St Ste 710,San Francisco,CA,94103,2024-10-24,,2024-10-24,,248 3rd St Ste 436
1373308-10-241,1163338,"Jubilee Investments, Inc.","Jubilee Investments, Inc.",166 Geary St Ste 1500,San Francisco,CA,94108,2024-10-11,,2024-10-11,,166 Geary St Ste 15001811
1373310-10-241,1163334,Lions Den Shaveparlor Mission LLC,Lions Den Shaveparlor San Francisco,3175 Mission St,San Francisco,CA,94110,2024-10-24,,2024-10-24,,22238 S Garden St Ave F
1373311-10-241,1163340,Sfluv,Sfluv,445 Baden St,San Francisco,CA,94131,2023-10-23,,2023-10-23,,445 Baden St
1373312-10-241,1158792,Golden Boy Ck1 LLC,Golden Boy Pizza Taraval,1447 Taraval St,San Francisco,CA,94116,2024-05-20,,2024-05-20,,1447 Taraval St
1373313-10-241,376779,Q Foundation,Rent Rx,584 Castro St Unit 716,San Francisco,CA,94114,2004-01-02,,2024-10-23,,584 Castrto St Unit 716
1373315-10-241,1163341,Doland Siu,Doland Siu,1467 Pine St,San Francisco,CA,94109,1988-01-01,,1988-01-01,,25 Galilee Ln Apt 2
1373317-10-241,1163342,Willis Adams,Adamsware Data Services,2261 Market St,San Francisco,CA,94114,2024-07-01,,2024-07-01,,2261 Market St
1373319-10-241,1163343,The Crumb LLC,The Crumb,410 Cortland Ave,San Francisco,CA,94110,2024-09-15,,2024-09-15,,410 Cortland Ave
1373323-10-241,1163345,Xiu Mei Chen,Xiu Mei Chen,89 Belcher St,San Francisco,CA,94114,2024-10-24,,2024-10-24,,89 Belcher St
1373325-10-241,1163346,Ali Group Dba United Plumbing,Ali Group Dba United Plumbing,1440 Koll Cir Ste 111,San Jose,CA,95112,2024-08-29,,2024-08-29,,1440 Koll Cir Ste 111
1373326-10-241,1155798,"Everon, LLC","Everon, LLC",4384 Enterprise Pl,Fremont,CA,94538,2024-01-01,,2024-01-01,,1501 W Yamato Rd
1373328-10-241,1163348,Alisha Alexander,Punk Majesty,1124 Sutter St,San Francisco,CA,94109,2024-10-25,,2024-10-25,,447 Sutter St Ste 405
1373330-10-241,1163349,Iconic Joy Coaching LLC,Iconic Joy Coaching LLC,459 Douglass St,San Francisco,CA,94114,2024-10-14,,2024-10-14,,459 Douglass St
1373332-10-241,1163350,R R Metal Fabrication,R&R Metal Fabrication,1029 American St,San Carlos,CA,94070,2024-10-25,,2024-10-25,,1029 American St
1373334-10-241,1163351,North Bay Hauling Inc,North Bay Hauling Inc,1251 Thomas Ave,San Francisco,CA,94124,2024-10-25,,2024-10-25,,1251 Thomas Ave
1373336-10-241,1163352,Nohelio H Castanon Lopez,Phone & Computer Repair 23rd,2708 Mission St,San Francisco,CA,94110,2024-10-25,,2024-10-25,,351 Brighton Ave Apt 231
1373338-10-241,1163353,U.S Fire Protection Contractors Inc.,U.S Fire Protection Contractors Inc.,1430 Taper Ct,San Jose,CA,95122,2024-10-25,,2024-10-25,,1430 Taper Ct
1373340-10-241,1163354,Girl Friday Administrative Services,Girl Friday Administrative Services,2035 22nd St Apt,San Francisco,CA,94107,2024-10-01,,2024-10-01,,2035 22nd St Apt
1373341-10-241,1141783,Fetch Package Inc.,Fetch Package Inc.,1385 Fillmore St,San Francisco,CA,94115,2022-01-26,,2023-04-01,,1705 Guadalupe St Ste 300
1373343-10-241,1163355,"Actalent Services, LLC","Actalent Services, LLC",7301 Parkway Dr,Hanover,MD,21076,2024-10-01,,2024-10-01,,7301 Parkway Dr
1373345-10-241,1163356,Professional Human Mt LLC,Professional Human Mt LLC,862 Folsom St Ste 4,San Francisco,CA,94107,2024-10-25,,2024-10-25,,862 Folsom St Ste 4
1373347-10-241,1163303,Mackey   Miles Enterprises LLC,Excel Cleaning Services,27 Diaz Ave,San Francisco,CA,94132,2024-10-01,,2024-10-21,,3739 Balboa St Unit 1021
1373348-10-241,1163357,Parkview Market LLC,Parkview Market,501-503 Frederick St,San Francisco,CA,94117,2024-10-25,,2024-10-25,,514 Grand Ave Apt 14
1373351-10-241,1161274,"Skr Group, Inc. Dba Vetsentry",River City Data/Vetsentry,608 4th Sw Ave # 292,New London,MN,56273,2024-08-14,,2024-10-25,,608 4th Ave Sw #
1373353-10-241,1163359,Yelena Golduber,Yelena Golduber,253 Pixley St,San Francisco,CA,94123,2024-10-01,,2024-10-01,,253 Pixley St
1373355-10-241,1163360,Fern Electric And Control Inc,Fern Electric And Control Inc,6 S Linden Ave Ste 2,South San Francisco,CA,94080,2024-09-01,,2024-09-01,,6 S Linden Ave Ste 2
1373357-10-241,1163361,Sunway General Construction Inc.,Sunway General Construction Inc.,966 Rincon Cir,San Jose,CA,95131,2024-10-01,,2024-10-01,,966 Rincon Cir
1373358-10-241,1007929,C   Y Garment Inc,C & Y Garment,956 Mission St,San Francisco,CA,94103,2015-01-21,,2020-01-30,,956 Mission St
1373360-10-241,459633,Cadre The Fine Art Of Pic Frmg,Cadre,543 2nd St,San Francis,CA,94107,2011-04-01,,2024-09-30,,543 2nd St
1373361-10-241,1163362,"Pinnacle Plumbing, Inc","Pinnacle Plumbing, Inc",5432 Geary Blvd Unit 603,San Francisco,CA,94121,2024-10-18,,2024-10-25,,5432 Geary Blvd Unit 603
1373364-10-241,1139178,Manuel Soltero,Variedades Soltero,1901 Steiner St,San Francisco,CA,94115,2022-09-28,,2024-10-25,,2627 San Jose Ave
1373366-10-241,1163365,Tc Bevco LLC,Splash At Thrive City,191 Warriors Way Ste 102,San Francisco,CA,94158,2024-07-01,,2024-07-01,,30 Chevy Chase Ct
1373368-10-241,1163366,Oscar E Hernandez Pelaez,Oscar E Hernandez Pelaez,1 Ferry Building,San Francisco,CA,94111,2024-10-25,,2024-10-25,,3320 Northwood Dr Unit N
1373370-10-241,1163367,Mocha Brothers Inc.,Finjan Qahwa Cafe,3188 Mission St,San Francisco,CA,94110,2024-10-25,,2024-10-25,,3188 Mission St
1373371-10-241,1163367,Mocha Brothers Inc.,Finjan Qahwa,3188 Mission St,San Francisco,CA,94110,2024-10-25,,2024-10-25,,3188 Mission St
1373372-10-241,1163367,Mocha Brothers Inc.,Finjan Cafe,3188 Mission St,San Francisco,CA,94110,2024-10-25,,2024-10-25,,3188 Mission St
1373374-10-241,1160133,Sweet T's Granola,Sweet T's Granola,3251 20th Ave,San Francisco,CA,94132,2024-07-05,,2024-10-25,,420 Winslow St
1373375-10-241,1163369,Danielle Cloyd,Danielle Cloyd Stylist,2133 Stockton St Apt D209,San Francisco,CA,94133,2024-10-25,,2024-10-25,,2133 Stockton St Apt D209
1373376-10-241,468287,Lang Adam A,The Dogs Of San Francisco,1215 Pacific Ave Apt 202,San Francisco,CA,94109,2012-04-15,,2024-10-25,,1215 Pacific Ave Apt 202
1373378-10-241,1163370,Jon Lagomarsino   Maria Beale,Last Place Vintage,4083 24th St #460061,San Francisco,CA,94146,2024-10-25,,2024-10-25,,4083 24th St #460061
1373382-10-241,1163372,Rafael's Bookkeeping And Tax Service Inc,Rafael's Bookkeeping And Tax Service Inc,3327 23rd St,San Francisco,CA,94110,2024-10-23,,2024-10-23,,3327 23rd St
1373385-10-241,1163373,"So Does Nails, Inc","So Does Nails, Inc",500 Folsom St Unit 350,San Francisco,CA,94105,2024-10-25,,2024-10-25,,500 Folsom St Unit 3505
1373390-10-241,1156844,Two Gold Stars LLC,Incendio,518 S Van Ness Ave,San Francisco,CA,94110,2024-03-29,,2024-10-25,,187 Country Club Dr Apt 11
1373392-10-241,1163378,Gm Elite Tile   Stone Installation,Gm Elite Tile & Stone Installation,2010 Keith St,San Francisco,CA,94124,2024-10-25,,2024-10-25,,2010 Keith St
1373394-10-241,1163379,San Francisco Art And Film Program,San Francisco Art And Film Program,540 Alabama St Unit 201,San Francisco,CA,94110,1998-07-15,,1998-07-15,,540 Alabama St 201
1373395-10-241,1132876,Miguel A Santiago Napoles,Luxury Construction LLC,825 E Meadow Ave,Pinole,CA,94564,2022-03-01,,2024-10-21,,825 E Meadow Ave
