location_id,business_account_number,ownership_name,doing_business_as_name,business_location_street_address,business_location_city,business_location_state,business_location_zip_code,business_start_date,business_end_date,location_start_date,location_end_date,mailing_address
0435628-01-001,435628,Temple Eliot S,Yeeepaw Pet Care Services,520 Geary St Apt 611a,San Francisco,CA,94102,2009-02-02,,2009-02-02,,0000 Undeliverable Mail
0435642-01-001,435642,Cigno E Gallo Inc,Tarot Media Company,58 West Portal Ave #236,San Francisco,CA,94127,2009-01-01,,2009-01-01,,58 West Portal Ave # 236
0435642-02-001,435642,Cigno E Gallo Inc,Tarot-To-Go,58 West Portal Ave #236,San Francisco,CA,94127,2009-01-01,,2009-01-01,,58 West Portal Ave # 236
0435642-03-001,435642,Cigno E Gallo Inc,Tarot Pathways,58 West Portal Ave #236,San Francisco,CA,94127,2009-01-01,,2009-01-01,,58 West Portal Ave # 236
0435642-04-001,435642,Cigno E Gallo Inc,Blue Swan Hr Consulting,58 West Portal Ave #236,San Francisco,CA,94127,2009-01-01,,2009-01-01,,58 West Portal Ave # 236
0435642-05-001,435642,Cigno E Gallo Inc,Sfrecruiter.Com,58 West Portal Ave #236,San Francisco,CA,94127,2009-01-01,,2009-01-01,,58 West Portal Ave # 236
0435642-06-001,435642,Cigno E Gallo Inc,Chanticleer Films,50 West Portal Ave #236,San Francisco,CA,94127,2009-01-01,,2009-01-01,,58 West Portal Ave # 236
0435642-07-001,435642,Cigno E Gallo Inc,The Wedding Wonders,58 West Portal Ave #236,San Francisco,CA,94127,2009-01-01,,2009-01-01,,58 West Portal Ave # 236
0435647-01-001,435647,Thakor B D  Gohil Bhavesh,Aldrich Hotel,439 Jones St,San Francisco,CA,94102,2009-01-01,,2009-01-01,,151 Leavenworth St
0435653-02-001,435653,Yung Tin,Tj Cafe,724 La Playa St,San Francisco,CA,94121,2013-11-14,,2013-11-14,,724 La Playa St
0435660-01-001,435660,Zhu George G Jiang Jane H,Rumors Engraving,888 Brannan St Ste 275,San Francisco,CA,94103,2009-03-01,,2009-03-01,,413 Gaven St
0435664-01-002,435664,Camilo Riano Dds A Prof Corp,Camilo Riano Dds A Prof Corp,77 Van Ness Ave Apt 303,San Francisco,CA,94102,2009-01-16,,2010-06-01,,77 Van Ness Ave Apt 303
0435666-01-001,435666,Kopman Igor,Ats By I Kopman,1939 Divisadero St,San Francisco,CA,94115,2009-02-01,,2009-02-01,,373 26th Ave 3 Apt
0435666-02-001,435666,Kopman Igor,Sf Bookkeeping Company,1939 Divisadero St,San Francisco,CA,94115,2009-02-01,,2010-03-01,,373 26th Ave 3 Apt
0435667-01-001,435667,Wayman Solutions Inc,Wayman Solutions Inc,951 Post St,San Francisco,CA,94109,2009-01-30,,2009-01-30,,951 Post St
0435699-01-001,435699,Komashko Andrew A Dental Corp,Andrew Komashko A Dental Corp,2299 19th Ave,San Francisco,CA,94116,2009-01-02,,2009-01-02,,2299 19th Ave
0435714-01-001,435714,Saques Isabel,Sf Surf Dogs,2194 44th Ave,San Francisco,CA,94116,2009-02-03,,2009-02-03,,2194 44th Ave
0435727-02-001,435727,Centoni Gina M,Centoni Restoration & Developm,230 Broderick St,San Francisco,CA,94117,2009-02-01,,2013-01-25,,230 Broderick St
0435737-01-001,435737,Counsel Llp,Counsel Llp,650 5th St Ste 402,San Francisco,CA,94107,2009-01-15,,2009-01-15,,901 A St Ste C
0435749-01-001,435749,Union Square Dermatology,Union Square Dermatology,450 Sutter St Rm 830,San Francisco,CA,94108,2009-01-01,,2009-01-01,,450 Sutter St Rm 830
0435762-02-999,435762,D V Rasmussen   Son Inc,D V Rasmussen & Son Inc,1118 Grant Ave,Novato,CA,94945,2009-01-20,,2012-09-06,,1118 Grant Ave
0435771-01-001,435771,Dunn Robert B,D And L Company,601 Lake St,San Francisco,CA,94118,2009-02-02,,2009-02-02,,163 8th Ave
0435782-02-999,435782,Mccormack Baron Ragan Mgmt Inc,Mccormack Baron Ragan Mgmt Inc,720 Olive St Ste 2500,Saint Louis,MO,63101,1997-07-08,,2010-08-01,,100 N Broadway Ste 100
0435792-02-999,435792,Prestige Employee Admin Inc,Prestige Employee Admin Inc,358 Broadhollow Rd 311,Melville,NY,11747,2010-10-01,,2010-10-01,,538 Broadhollow Rd Ste 311
0435792-03-001,435792,Prestige Employee Admin Inc,Prestige Employee Admin Inc,1 Market St,San Francisco,CA,94105,2010-10-01,,2010-10-01,,538 Broadhollow Rd Ste 311
0435796-01-001,435796,Progress Software Corporation,Progress Software Corporation,3881 21st St,San Francisco,CA,94114,2003-01-01,,2003-01-01,,15 Wayside Rd Ste 400
0435799-01-001,435799,Alliance Forum Foundation,Alliance Forum Foundation,111 Pine St Ste 1410,San Francisco,CA,94111,1995-07-01,,1995-07-01,,111 Pine St Ste 1410
0435800-01-001,435800,Pace Supply Corp,Pace Supply,201 A Alabama St,San Francisco,CA,94103,2009-03-01,,2011-06-27,,6000 State Farm Dr Ste 200
0435807-01-001,435807,Alshbani Bahrzien H,Woubit Travel & Tour,391 Sutter St Ste 704,San Francisco,CA,94108,2009-02-28,,2009-02-28,,447 Sutter St Ste 802
0435817-01-999,435817,Chilo Vending Inc,"Chilo Vending, Inc.",741 Linden Ave,San Bruno,CA,94066,2009-01-01,,2009-01-01,,741 Linden Ave
0435825-01-999,435825,Ac Heating   Cooling Service I,Ac Heating & Cooling Service I,3500 Clayton Rd Ste B,Concord,CA,94519,2009-02-01,,2009-02-01,,3500 Clayton Rd Ste B
0435834-01-001,435834,Yerba Buena Builders Inc,Yerba Buena Builders Inc,"725 California Ave,Treasure Island",San Francisco,CA,94130,2009-02-05,,2009-07-02,,680 8th St Ste 265
0435839-01-001,435839,Macnamara Construction Inc,Macnamara Construction Inc,1763 Grove St,San Francisco,CA,94117,2009-02-05,,2009-02-05,,1763 Grove St
0435840-01-001,435840,Soi Gow LLC,Soi Gow Thai Noodle Cafe,1319 9th Ave,San Francisco,CA,94122,2009-03-09,,2009-03-09,,1319 9th Ave
0435840-02-001,435840,Soi Gow LLC,Soi Gow Authentic Thai Cuisine,1319 9th Ave,San Francisco,CA,94122,2009-03-09,,2011-05-11,,1319 9th Ave
0435842-01-001,435842,Tao Meixue Sun Yijia,Runsong,2266 33rd Ave,San Francisco,CA,94116,2009-02-16,,2009-02-16,,2266 33rd Ave
0435868-01-001,435868,Derald L Seid Md Inc,Derald L Seid Md Inc,2250 Hayes St Ste 500,San Francisco,CA,94117,1982-06-14,,1982-06-14,,2250 Hayes St Ste 500
0435884-01-001,435884,Int'l Hotel Senior Housing Inc,Int'l Hotel Senior Housing Inc,848 Kearny St,San Francisco,CA,94108,1995-03-06,,1995-03-06,,615 Grant Ave
0435892-01-001,435892,Koo Harry H,Koos Repairman,4355 Anza St,San Francisco,CA,94121,2009-02-01,,2009-02-01,,800 41st Ave
0435898-01-001,435898,Fedex Corporate Services,Fedex Services,1875 Marin St,San Francisco,CA,94124,1986-08-28,,2006-07-01,,70 Fedex Parkway Pkwy Fl 2 Fl Vert
0435898-02-001,435898,Fedex Corporate Services,Fedex Services,127 Kearny St,San Francisco,CA,94108,1986-08-28,,1986-08-28,,70 Fedex Parkway Pkwy Fl 2 Fl Vert
0435898-02-002,435898,Fedex Corporate Services,Fedex Services,Sfo San Francisco Airport,San Francisco,CA,94128,1986-08-28,,1999-02-28,,70 Fedex Parkway Pkwy Fl 2 Fl Vert
0435898-02-003,435898,Fedex Corporate Services,Fedex Services,900 N Access Rd,San Francisco,CA,94128,1986-08-28,,1999-02-28,,70 Fedex Parkway Pkwy Fl 2 Fl Vert
0435911-01-001,435911,Intelligent Capital Inc,Intelligent Capital Inc,5 3rd St Ste 810,San Francisco,CA,94103,2002-12-01,,2002-12-01,,90 Rockridge Dr
0435915-01-001,435915,Misthos Katrina J,Misthos Katrina J,1251 39th Ave,San Francisco,CA,94122,2009-01-20,,2009-01-20,,1251 39th Ave
0435918-01-001,435918,Reroute LLC,Prospect,300 Spear St,San Francisco,CA,94105,2009-02-09,,2009-02-09,,300 Spear Street
0435918-02-001,435918,Reroute LLC,Provision,318 Spear St Unit 1a,San Francisco,CA,94105,2009-02-09,,2010-02-18,,300 Spear Street
0435927-01-001,435927,Mcgilvery Patricia,Patty Mcgilvery Bookkeeping Sv,19 Marietta Dr,San Francisco,CA,94127,2009-02-01,,2009-02-01,,19 Marietta Dr
0435938-01-001,435938,Jdse Properties LLC,Jdse Properties LLC,2761 Mcallister St,San Francisco,CA,94118,2009-01-01,,2009-01-01,,Po Box 4914
0435952-02-001,435952,Ng John,1525 Clement Street,1525 Clement St,San Francisco,CA,94118,2009-02-01,,2009-02-01,,242 29th Ave
0435955-02-999,435955,"Mcclaren, Wilson   Lawrie Inc",Mcclaren Wilson & Lawrie Inc,8705 N Central Ave,Phoenix,AZ,85020,2013-10-01,,2013-10-01,,8705 N Central Ave
0435958-01-001,435958,Broadway Family Apartments Lp,Broadway Family Apartments,810 Battery St,San Francisco,CA,94111,2004-10-07,,2004-10-07,,615 Grant Ave
0435959-01-001,435959,4667-4671 Mission Street LLC,4667-4671 Mission St Bldg,4667 Mission St,San Francisco,CA,94112,2007-04-13,,2007-04-13,,1777 Manor Dr
