location_id,business_account_number,ownership_name,doing_business_as_name,business_location_street_address,business_location_city,business_location_state,business_location_zip_code,business_start_date,business_end_date,location_start_date,location_end_date,mailing_address
1233859-09-191,1106629,Elie Attya,Elie Attya,650 Delano Ave,San Francisco,CA,94112,2019-09-15,,2019-09-15,,650 Delano Ave
1233861-09-191,1106630,Milad Ebadat,M.E. Fitness,1844 Market St,San Francisco,CA,94102,2019-09-09,,2019-09-09,,22 Gardenside Dr Apt 11
1233867-09-191,1106633,Anthony  Keiser,631 Vienna Street,631 Vienna N,San Francisco,CA,94112,2019-09-15,,2019-09-15,,631 Vienna St
1233869-09-191,1106634,Xiaoxue Qu,Linking News,1167 Pine St Apt 7,San Francisco,CA,94109,2019-09-01,,2019-09-01,,1167 Pine St 7 Apt
1233882-09-191,1106640,Unscripted Leaders LLC,Unscripted Leaders,2020 Green St,San Francisco,CA,94123,2019-06-17,,2019-09-12,,Po Box 475447
1233886-09-191,1106642,Alpenglow Analytics LLC,Alpenglow Analytics LLC,520 6th Street #25,San Francisco,CA,94103,2019-08-22,,2019-08-22,,520 6th St 25 Apt
1233888-09-191,1011169,Garcia Jesse,Garcia Jesse A,655 Kansas St #403,San Francisco,CA,94107,2015-03-16,,2019-04-01,,655 Kansas St 403 Apt
1233896-09-191,1106647,Sonica Thakur,Sonica Thakur,3236 Rocky Water Lane Ln,San Jose,CA,95148,2019-09-16,,2019-09-16,,11913 E Lake Cir
1233908-09-191,1106654,Liu Shen Corporation,Dumpling Home,298 Gough St,San Francisco,CA,94102,2019-09-16,,2019-09-16,,298 Gough St
1233910-09-191,1106655,Kimberly Evans,Kim's Kare Free Vacations,202 Calvin Pl,Santa Cruz,CA,95060,2019-09-03,,2019-09-03,,202 Calvin Pl
1233916-09-191,1106658,Francisco Garcia,Twin Brothers Handyman,1709 Pennsylvania Ave,Richmond,CA,94801,2019-09-16,,2019-09-16,,1709 Pennsylvania Ave
1233922-09-191,1106661,Marcus Alexander,Regal Security,221 Commodore Dr Unit 11,Richmond,CA,94804,2019-09-16,,2019-09-16,,221 Commodore Dr 11 Unit
1233942-09-191,1106671,Jian Yu,Ease Bay Construction,2817 Wendell Ave Bldg,Richmond,CA,94804,2019-09-16,,2019-09-16,,2817 Wendell Ave
1233944-09-191,1106672,Andrew Kitchner,New Wave Solutions,146 Stratford Drive Dr,San Francisco,CA,94132,2019-09-16,,2019-09-16,,146 Stratford Dr
1233946-09-191,1106673,"Nvp Medical, Inc.","Nvp Medical, Inc.",3700 24th St,San Francisco,CA,94114,2019-08-26,,2019-08-26,,2654 22nd St
1233952-09-191,1106676,Damian Ingle,"Integrated Glass Concepts, Inc.",1775 Clos Duvall Ct,Benicia,CA,94510,2019-09-09,,2019-09-09,,1775 Clos Duvall Ct
1233956-09-191,482605,Hyperceptive LLC,Hyperceptive LLC,2489 Mission St Ste 18,San Francisco,CA,94110,2013-08-22,,2019-09-16,,3059 25th St
1233958-09-191,116799,Trinity Management Services,Trinity Management Services,1145 Market St,San Francisco,CA,94103,1979-04-01,,1994-08-04,,1145 Market St 12 Fl
1233959-09-191,447370,Twilio Inc,Twilio Inc,101 Spear St Ste 100,San Francisco,CA,94105,2009-01-01,,2019-03-04,,101 Spear St Ste 500
1233960-09-191,447370,Twilio Inc,Twilio Inc,101 Spear St Ste 200,San Francisco,CA,94105,2009-01-01,,2019-03-04,,101 Spear St Ste 500
1233965-09-191,1018886,Hd Supply Facilities Maintenance Ltd,Usabluebook,3781 Burwood Dr,Waukegan,IL,60085,2015-01-01,,2019-09-16,,Po Box 8000
1233966-09-191,465859,American Broadcasting Co Inc,Disney Advertising Sales,900 Front St,San Francisco,CA,94111,2012-01-25,,2019-01-01,,Po Box 10125
1233967-09-191,465859,American Broadcasting Co Inc,Disney Advertising Sales Local,900 Front St,San Francisco,CA,94111,2012-01-25,,2019-01-01,,Po Box 10125
1233969-09-191,1073152,Discount Tix Sf LLC,"Discount Tix Sf, LLC",1288 Columbus Ave Ste 409,San Francisco,CA,94133,2017-07-01,,2019-05-09,,1288 Columbus Ave Ste 409
1233970-09-191,413095,New Central Hotel   Hostel LLC,Inn@Market,1412 Market St,San Francisco,CA,94102,2007-01-01,,2019-09-16,,546 34th Ave
1233986-09-191,1106682,Crown Signs Systems Inc,Non-Electrical Sign Systems,2 South St,Mount Vernon,NY,10550,2019-02-08,,2019-02-08,,2 South St
1233998-09-191,1106688,Yp Skin LLC,Vera Skin,299 Guerrero St,San Francisco,CA,94103,2019-09-15,,2019-09-15,,299 Guerrero St
1234004-09-191,1106691,"Galli   Galli, LLC","Galli & Galli, LLC",60 E Sir Francis Drake E Blvd Ste 205,Larkspur,CA,94939,2019-01-01,,2019-01-01,,60 E Sir Francis Drake Blvd # 205ste
1234006-09-191,1106692,Esa Cdim Joint Venture,Esa Cdim Joint Venture,550 Kearny St Ste 800c,San Francisco,CA,94108,2019-09-09,,2019-09-09,,575 Market St Ste 3700
1234010-09-191,1106694,Without Walls Community Development Corporation,Without Walls Community Development Corporation,244 Garces Dr,San Francisco,CA,94132,2018-06-15,,2018-06-15,,244 Garces Dr
1234020-09-191,1106699,Qingshu Sf Inc,Qingshu,816 Irving St,San Francisco,CA,94122,2019-09-17,,2019-09-17,,1395 Rosalia Ave
1234026-09-191,1106702,Wai Wong,Wai-Wong Construction Company,1493 Navy St,San Leandro,CA,94577,2019-09-17,,2019-09-17,,1493 Navy St
1234034-09-191,1106706,Maxmillian LLC,Maxmillian LLC,228 30th Avenue,San Francisco,CA,94121,2019-02-20,,2019-02-20,,228 30th Ave
