location_id,business_account_number,ownership_name,doing_business_as_name,business_location_street_address,business_location_city,business_location_state,business_location_zip_code,business_start_date,business_end_date,location_start_date,location_end_date,mailing_address
1346263-11-231,1120529,Sarah Cain,Sarah Jean Makes,4343 3rd St Apt 201,San Francisco,CA,94124,2021-01-17,,2023-09-01,,4343 3rd St Apt 201
1346265-11-231,1152286,A Magelssen LLC,A Magelssen LLC,151 Vermont St Ste 5,San Francisco,CA,94103,2023-08-15,,2023-11-01,,151 Vermont St Ste 5
1346267-11-231,1152287,Mercy Housing California 111 Lp,Mercy Housing California 111 Lp,1256 Market St,San Francisco,CA,94102,2023-08-07,,2023-08-07,,1256 Market St
1346269-11-231,1152288,139 Saturn Str LLC,139 Saturn Str LLC,139 Saturn St,San Francisco,CA,94114,2023-11-07,,2023-11-07,,139 Saturn St
1346271-11-231,1152289,Kathleen Hinkson,Hinkson Notary,810 Masonic Ave Apt 4,San Francisco,CA,94117,2023-11-07,,2023-11-07,,810 Masonic Ave Apt 4
1346273-11-231,1152290,A1 Tint LLC,A1 Tint LLC,424 Dellbrook Ave,South San Francisco,CA,94080,2023-11-07,,2023-11-07,,424 Dellbrook Ave
1346276-11-231,1152291,Eames Institute (The),William Stout Architectural Books,804 Montgomery St,San Francisco,CA,94133,2022-10-01,,2023-10-01,,804 Montgomery St
1346278-11-231,1152292,Mightyreal LLC,Mightyreal LLC,819 Bosworth St,San Francisco,CA,94131,2023-11-06,,2023-11-06,,819 Bosworth St
1346280-11-231,1152293,Asa Williams Ot,Asa Williams Ot,834 Clayton St,San Francisco,CA,94117,2023-11-01,,2023-11-01,,834 Clayton St
1346283-11-231,1152295,Horkos Inc,Horkos Inc Dba Privy,228 Park S Ave Pmb67932,New York,NY,10003,2022-08-15,,2022-08-15,,228 Park Ave S Pmb67932
1346286-11-231,1152296,"Pendleton Construction Services, Inc.","Pendleton Construction Services, Inc.",2040 Laguna St,San Francisco,CA,94115,2023-11-07,,2023-11-07,,881 Po Box
1346288-11-231,1152297,Diligent Electric Inc.,Diligent Electric Inc.,1408 Locust Dr,Tracy,CA,95376,2023-11-07,,2023-11-07,,26135 Fount Way
1346290-11-231,1152298,Smu LLC,Smu LLC,4919 Mission St,San Francisco,CA,94112,2023-11-01,,2023-11-01,,366 Serra Dr
1346292-11-231,1152299,"Cookunity, Inc.",Cookunity,630 Flushing Ave,Brooklyn,NY,11206,2023-11-07,,2023-11-07,,630 Flushing Ave
1346294-11-231,1152300,"Sandra Naughton, Dermot Naughton   Julie Betti","Sandra Naughton, Dermot Naughton, Julie Betti",1525 Haight St,San Francisco,CA,94117,2013-09-01,,2013-09-01,,1185 Elmwood Dr
1346296-11-231,1152301,Lizette Martinez,Sana Therapy,2142 Sutter St,San Francisco,CA,94115,2023-11-07,,2023-11-07,,6400 Christie Ave Apt 2102
1346298-11-231,1152302,Cafe X One Inc,Habibi Lounge,26 6th St,San Francisco,CA,94103,2024-09-25,,2024-09-25,,26 6th St
1346300-11-231,1152303,Nebulyai Inc.,Nebulyai Inc.,44 Montgomery St,San Francisco,CA,94104,2023-11-01,,2023-11-01,,0000 Undeliverable Mail
1346303-11-231,1152305,661 Howard Street LLC,661 Howard Street LLC,661 Howard St,San Francisco,CA,94105,2023-11-06,,2023-11-06,,661 Howard St
1346306-11-231,1152306,"Jennifer Margolis, Psyd","Jennifer Margolis, Psyd",207 A Sanchez St,San Francisco,CA,94114,2023-06-01,,2023-06-01,,1338 67th St
1346310-11-231,1152174,Jill Morehead,Jill Morehead,381 W Portal Ave #,San Francisco,CA,94127,2023-06-30,,2023-06-30,,863 Sander Way
1346311-11-231,1152174,Jill Morehead,Jill Morehead,393 W Portal Ave,San Francisco,CA,94127,2023-06-30,,2023-06-30,,863 Sander Way
1346313-11-231,1152309,Aurora Light Photography,Aurora Light Photography,2030 Union St Ste 300,San Francisco,CA,94123,2023-11-08,,2023-11-08,,2030 Union St Ste 300 A
1346314-11-231,1127641,Htlv Sf Trs LLC,Htlv Sf Trs LLC The Jay San Francisco,333 Battery St,San Francisco,CA,94111,2021-08-31,,2023-11-01,,433 Clay St
1346320-11-231,1152312,George Stanley,All American Paving,1735 Honeysuckle Way,Dixon,CA,95620,2023-11-08,,2023-11-08,,1735 Honeysuckle Way
1346322-11-231,1152313,"Ez Plumbing, LLC",Ez Plumbing,1018 Granada Dr,Pacifica,CA,94044,2023-10-31,,2023-10-31,,1018 Granada Dr
1346324-11-231,1152314,John Michael Medina Jr,High Impact Recovery,166 Geary St Ste 1500,San Francisco,CA,94108,2023-11-07,,2023-11-07,,166 Geary St Ste 1500
1346325-11-231,1152242,Aai Foods Inc,Dominos Pizza,320 Bay Shore Blvd,San Francisco,CA,94124,2023-11-06,,2023-11-06,,691 Grand Teton Dr
1346326-11-231,347669,Gic Real Estate Inc,"Gic Real Estate, Inc.",1 Market Plz Ste 3900,San Francisco,CA,94105,2001-02-06,,2023-06-26,,1 Market Plz Ste 3900
1346328-11-231,1152247,Asi Foods Inc,Dominos Pizza,3116 Noriega St,San Francisco,CA,94122,2023-11-06,,2023-11-06,,691 Grand Teton Dr
1346329-11-231,1152315,Aaliu,Aaron Liu,190 Prague St,San Francisco,CA,94112,2023-11-08,,2023-11-08,,190 Prague St
1346330-11-231,1152243,Ahi Foods Inc,Dominos Pizza,5200 Geary Blvd,San Francisco,CA,94118,2023-11-06,,2023-11-06,,691 Grand Teton Dr
1346331-11-231,1152245,Ari Foods Inc,Dominos Pizza,728 Geary St,San Francisco,CA,94109,2023-11-06,,2023-11-06,,691 Grand Teton Dr
1346333-11-231,1152316,North Vader Construction,North Vader Construction,529 Princeton Way,Fairfield,CA,94533,2023-11-08,,2023-11-08,,529 Princeton Way
1346335-11-231,398887,G   L Produce Inc,G & L Produce Inc,1140 Revere Ave,San Francisco,CA,94124,2006-05-23,,2023-11-01,,2000 Mckinnon Ave # 13
1346337-11-231,1152317,Cerida Investment Corp. Dba Answernet,Cerida Investment Corp. Dba Answernet,3930 Commerce Ave,Willow Grove,PA,19090,2023-11-07,,2023-11-07,,3930 Commerce Ave
1346338-11-231,1002602,L Wong Engineering Inc,L Wong Engineering,971 Eddy St Apt Ph6,San Francisco,CA,94109,2014-08-01,,2023-11-01,,2604 5th Ave Unit 604
1346340-11-231,1152318,Qtrac LLC,Qtrac LLC,27810 Avenue Hopkins,Valencia,CA,91355,2023-06-01,,2023-06-01,,27810 Avenue Hopkins
1346345-11-231,1152322,Yue Ching Moy,3277 22nd St,3277 22nd St,San Francisco,CA,94110,2008-01-01,,2008-01-01,,2115 Lake St
