"ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","mailing_address_1"
"0034402-02-001","0034402","Golden Gateway Center","560 Battery Bldg","560 Battery St","San Francisco","CA","94111","1968-10-01T00:00:00.000",,"1968-10-01T00:00:00.000",,"460 Davis Ct"
"0034402-03-001","0034402","Golden Gateway Center","The Gateway","460 Davis Ct","San Francisco","CA","94111","1968-10-01T00:00:00.000",,"2008-11-12T00:00:00.000",,"460 Davis Ct"
"0034419-01-001","0034419","Louie Ben Fong","1551 Hyde Apts","1551 Hyde St","San Francisco","CA","94109","1968-10-01T00:00:00.000",,"1968-10-01T00:00:00.000",,"1551 Hyde St"
"0034425-01-001","0034425","Metropolitan Club","Metropolitan Club","640 Sutter St","San Francisco","CA","94102","1973-11-30T00:00:00.000",,"1973-11-30T00:00:00.000",,"640 Sutter St"
"0034437-01-001","0034437","Northwestern Title Co Of SF","1556 Laplaya Apts","1556 Great Hwy","San Francisco","CA","94122","1968-10-01T00:00:00.000",,"1968-10-01T00:00:00.000",,"4444 Geary Blvd Ste 105"
"0034438-01-001","0034438","Fong K P Etal","1556 Taylor Apts","1556 Taylor St","San Francisco","CA","94133","1968-10-01T00:00:00.000",,"1968-10-01T00:00:00.000",,"Po Box 591540"
"0034453-01-001","0034453","Julius George","1915 Green St Apts","1915 Green St","San Francisco","CA","94123","1968-10-01T00:00:00.000",,"1968-10-01T00:00:00.000",,"4444 Geary Blvd Ste 105"
"0034453-01-002","0034453","Julius George","1915 Green St Apts","1915 Green St","San Francisco","CA","94123","1968-10-01T00:00:00.000",,"1968-10-01T00:00:00.000",,"4444 Geary Blvd Ste 105"
"0034480-01-001","0034480","Wong Patrick Y & Suey May","1567 19th Av Apartments","1567 19th Ave","San Francisco","CA","94122","1968-10-01T00:00:00.000",,"1968-10-01T00:00:00.000",,"686 16th Ave"
"0034511-04-001","0034511","Bertram John R","1-3 Vicksburg St Apt","1 Vicksburg St","San Francisco","CA","94114","1968-10-01T00:00:00.000",,"1968-10-01T00:00:00.000",,"9 Hatzic Ct"
"0034525-01-001","0034525","Koo Ming D & Manling Har H","1580 Jackson Apts","1580 Jackson St","San Francisco","CA","94109","1968-10-01T00:00:00.000",,"1968-10-01T00:00:00.000",,"988 Union St Apt 301"
"0034525-02-001","0034525","Koo Ming D & Manling Har H","988 Union Apts","988 Union St","San Francisco","CA","94133","1968-10-01T00:00:00.000",,"1976-04-10T00:00:00.000",,"988 Union St Apt 301"
"0034525-03-001","0034525","Koo Ming D & Manling Har H","1471 Jackson St Apartments","1471 Jackson St","San Francisco","CA","94109","1968-10-01T00:00:00.000",,"1987-01-01T00:00:00.000",,"988 Union St Apt 301"
"0034525-04-001","0034525","Koo Ming D & Manling Har H","1345 Sacramento St Apartments","1345 Sacramento St","San Francisco","CA","94109","1968-10-01T00:00:00.000",,"1983-11-18T00:00:00.000",,"988 Union St Apt 301"
