"ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","mailing_address_1"
"0415388-01-001","0415388","Schaffer Joel B & Donna M","Schaffer Family Trust","3488 22nd St","San Francisco","CA","94110","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"104 Fiesta Cir"
"0415394-02-001","0415394","Awadalla Ala","Pizzelle Di North Beach","314 Columbus Ave","San Francisco","CA","94133","2007-03-23T00:00:00.000",,"2008-06-24T00:00:00.000",,"314 Columbus Ave"
"0415395-01-001","0415395","The Cipollina Family Trust","The Cipollina Family Trust","443 8th Ave","San Francisco","CA","94118","2007-03-23T00:00:00.000",,"2007-03-23T00:00:00.000",,"84 Sunny Cove Dr"
"0415400-01-001","0415400","Spring Bettie B","27-29 Liberty Apts","27 Liberty St #29","San Francisco","CA","94110","2007-03-31T00:00:00.000",,"2007-03-31T00:00:00.000",,"0000 Undeliverable Mail"
"0415404-01-001","0415404","Chia Wai K Chia Wai H Et Al","1240 Geneva Av Apts","1240 Geneva Ave","San Francisco","CA","94112","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"1234 Geneva Ave"
"0415410-01-001","0415410","Stone Lisa M","Lisa M Stone","218 23rd Ave","San Francisco","CA","94121","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"Po Box 477"
"0415411-01-001","0415411","Ke Holdings LLC","1100 Clay St Apts","1100 Clay St","San Francisco","CA","94108","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"Po Box 210764"
"0415415-01-001","0415415","Liu I-Jung","665 6th Ave Apts","665 6th Ave","San Francisco","CA","94118","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"1767 35th Ave"
"0415417-01-001","0415417","Holthaus James D","1511 6th Ave Apts","1511 6th Ave","San Francisco","CA","94122","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"1083 Banyan Way"
"0415418-01-001","0415418","Chan Lisee S M","2945 - 2949 Clement St Apts","2945 Clement St","San Francisco","CA","94121","2007-03-23T00:00:00.000",,"2007-03-23T00:00:00.000",,"464 18th Ave"
"0415426-01-001","0415426","Progress Apartments Inc","Progress Apartments Inc","1272 S Van Ness Ave","San Francisco","CA","94110","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"368 Fell St"
"0415428-01-001","0415428","La Playa Apartments","La Playa Apartments","770 La Playa St","San Francisco","CA","94121","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"368 Fell St"
"0415434-01-001","0415434","Cheuk Edwin W","63 Masonic Av Apts","63 Masonic Ave","San Francisco","CA","94118","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"1227 20th Ave 3 Apt"
"0415435-01-001","0415435","Manning Daniel A","1323-1325 12th Ave Apts","1323 12th Ave","San Francisco","CA","94122","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"23 Meadowbrook Dr"
"0415439-01-001","0415439","Kahney Pauline","777-779 Grove St Apts","777 Grove St","San Francisco","CA","94102","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"777 Grove St # 3"
"0415440-01-001","0415440","Frank Carraro Investments LLC","Frank Carraro Investments LLC","4192 Mission St","San Francisco","CA","94112","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"4192 Mission St"
"0415446-01-001","0415446","Brucker H Michael/Kipperman Tr","1815 Oak St Apts","1815 Oak St","San Francisco","CA","94117","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"587 Castro St"
"0415447-01-001","0415447","Lee Stella","Rivera St Apts","900 Rivera St","San Francisco","CA","94116","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"85 Forest Side Ave"
"0415448-01-001","0415448","Dubayah Family Partnership","Dubayah Family Partnership","55 Chumasero Dr Apt 2j","San Francisco","CA","94132","2001-01-12T00:00:00.000",,"2001-01-12T00:00:00.000",,"55 Chumasero Dr Apt 2j"
"0415456-01-001","0415456","Medina Gerardo &Yoshioka","Mirai Network LLC","1700 California St Ste 570","San Francisco","CA","94109","2007-03-19T00:00:00.000",,"2007-03-19T00:00:00.000",,"405 Bellevue Ave Apt 103"
"0415458-01-001","0415458","Think Connected LLC","Think Connected LLC","365 Main St","San Francisco","CA","94105","2007-01-01T00:00:00.000",,"2007-01-01T00:00:00.000",,"365 Main St"
"0415462-01-001","0415462","Army Street Association","Army Street Association","701 Cesar Chavez #745","San Francisco","CA","94124","2000-01-01T00:00:00.000",,"2000-01-01T00:00:00.000",,"745 Cesar Chavez"
"0415470-01-001","0415470","Eldredge Rodney & Sue","Eldredge Rodney & Sue","1161 Stanyan St","San Francisco","CA","94117","2007-03-23T00:00:00.000",,"2007-03-23T00:00:00.000",,"29 Paloma Ave"
"0415476-01-001","0415476","Shanahan Patrick W","Patrick Shanahan","570 Duncan St","San Francisco","CA","94131","2007-03-26T00:00:00.000",,"2007-03-26T00:00:00.000",,"229 Wawona St"
"0415482-01-001","0415482","Lee Joseph K Lee Debbie C","661 Fillmore St Bldg","661 Fillmore St","San Francisco","CA","94117","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"3739 Balboa St"
"0415484-01-001","0415484","Dong Han Dong Hugh Dong Rose","Dong Properties","262 10th Ave","San Francisco","CA","94118","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"138 11th Ave"
"0415488-01-001","0415488","27th Ave Apartment Lp","27th Ave Apt. Lp","136 Locksley Ave","San Francisco","CA","94122","2007-04-01T00:00:00.000",,"2007-04-01T00:00:00.000",,"Po Box 26516"
"0415495-01-001","0415495","Andrew Iwaia","Andrew Iwaia","980 Green St","San Francisco","CA","94133","2007-04-01T00:00:00.000",,"2007-04-01T00:00:00.000",,"980 Green St"
"0415507-01-001","0415507","Iskikian Designs","Royal Designs","888 Brannan St Ste 1205","San Francisco","CA","94103","2007-04-01T00:00:00.000",,"2007-04-01T00:00:00.000",,"888 Brannan St Ste 1099"
"0415521-01-001","0415521","Phillips E & Mendelsohn V","Phillips E & Mendelsohn V","1538 12th Ave","San Francisco","CA","94122","2007-03-26T00:00:00.000",,"2007-03-26T00:00:00.000",,"56 Longview Ave"
"0415522-01-001","0415522","Mary Louise Beecroft","Mary Louise Beecroft Rev Trust","840 Taylor St","San Francisco","CA","94108","2007-04-01T00:00:00.000",,"2007-04-01T00:00:00.000",,"3444 22nd St"
"0415523-01-001","0415523","C5 Children's School","C5 Children's School","455 Golden Gate Ave Ste 2400","San Francisco","CA","94102","1985-07-01T00:00:00.000",,"1985-07-01T00:00:00.000",,"455 Golden Gate Ave Ste 2400"
"0415524-01-002","0415524","Precision Engineering Inc","Precision Engineering Inc","1939 Newcomb Ave","San Francisco","CA","94124","2006-07-01T00:00:00.000",,"2013-02-01T00:00:00.000",,"1939 Newcomb Ave"
"0415532-01-001","0415532","Shui Ha Lew","Shui Ha Lew","2103 Castro St Apt 5","San Francisco","CA","94131","2007-04-01T00:00:00.000",,"2007-04-01T00:00:00.000",,"2103 Castro St Apt 1"
"0415539-01-001","0415539","Woo Chester","Francisco Street","2201 Francisco St","San Francisco","CA","94123","2007-04-01T00:00:00.000",,"2007-04-01T00:00:00.000",,"309 Cornwall St"
"0415542-01-001","0415542","Hom Dean & Anne Revocable Trst","Anne & Dean Hom","303 30th Ave #9","San Francisco","CA","94121","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"4640 California St"
"0415546-01-001","0415546","Bulosan Cecilia Rev Inter Trst","1522-1524 Waller St Apts","1522 Waller St","San Francisco","CA","94117","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"1524 Waller St"
"0415559-01-001","0415559","Louie Yew M","Louie 1995 Family Trust","569 Natoma St","San Francisco","CA","94103","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"1591 32nd Ave"
"0415559-02-001","0415559","Louie Yew M","Louie 1995 Family Trust","66 Moss St","San Francisco","CA","94103","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"1591 32nd Ave"
"0415561-01-001","0415561","Ching, Chow & Lew","Karen Chow","1525 Larkin St","San Francisco","CA","94109","2007-03-26T00:00:00.000",,"2007-03-26T00:00:00.000",,"2810 Jackson St"
"0415570-01-001","0415570","Spradlin Douglas","Spradlin & Associates","2815 22nd St","San Francisco","CA","94110","2007-03-26T00:00:00.000",,"2007-03-26T00:00:00.000",,"2815 22nd St"
"0415571-01-001","0415571","Yu Ming Tao","2904 25th St Apts","2904 25th St","San Francisco","CA","94110","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"2904 25th St Apt 4"
"0415572-01-001","0415572","Delman James B","2712-2718 Sutter St Apts","2712 Sutter St","San Francisco","CA","94115","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"791 23rd Ave"
"0415573-01-001","0415573","Woo Richard & Doris","152-158 Pfeiffer St Apts","152 Pfeiffer St","San Francisco","CA","94133","2007-03-01T00:00:00.000",,"2007-03-01T00:00:00.000",,"1201 Vallejo St"
