"ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","mailing_address_1"
"1339671-08-231","1146050","Los Garcia Food Truck LLC","Los Garcia Mexican Food","640 Brannan St","San Francisco","CA","94107","2023-04-27T00:00:00.000",,"2023-08-04T00:00:00.000",,"3235 26th St Apt 5"
"1339673-08-231","1149403","New Philosophers Inc.","New Philosophers Inc.","824 Ulloa St","San Francisco","CA","94127","2023-08-01T00:00:00.000",,"2023-08-01T00:00:00.000",,"824 Ulloa St"
"1339675-08-231","1149404","Global Life Sciences Solutions Usa LLC","Global Life Sciences Solutions Usa LLC","25 Harbor Park Dr","Port Washington","NY","11050","2023-08-04T00:00:00.000",,"2023-08-04T00:00:00.000",,"25 Harbor Park Dr"
"1339678-08-231","1149406","Gross Association, LLC","Gcs Agency","201 Jackson St","San Francisco","CA","94111","2023-08-03T00:00:00.000",,"2023-08-03T00:00:00.000",,"7529 Norton Ave Apt 5"
"1339681-08-231","1099945","Alembic Technologies Inc","Alembic Technologies, Inc.","350 Townsend St Ste 210","San Francisco","CA","94107","2019-01-11T00:00:00.000",,"2019-08-01T00:00:00.000",,"350 Townsend St 210 Ste"
"1339682-08-231","1149407","Jaemin Oh","Jaemin Oh","310 Valencia St","San Francisco","CA","94103","2023-06-30T00:00:00.000",,"2023-06-30T00:00:00.000",,"316 Valencia St #212"
"1339683-08-231","1149350","Dan Somers","Onsite Construx","970 Columbus St Ste 2","Half Moon Bay","CA","94019","2023-08-01T00:00:00.000",,"2023-08-04T00:00:00.000",,"970 Columbus St Ste 2"
"1339684-08-231","1099945","Alembic Technologies Inc","Reachpod","350 Townsend St Ste 210","San Francisco","CA","94107","2019-01-11T00:00:00.000",,"2019-08-01T00:00:00.000",,"350 Townsend St 210 Ste"
"1339686-08-231","1149408","Jessica Jenkins","Jessica Jenkins","1509 Church St","San Francisco","CA","94131","2023-06-09T00:00:00.000",,"2023-06-09T00:00:00.000",,"1509 Church St"
"1339687-08-231","1061369","Modern Citizen Inc.","Modern Citizen Inc.","3180 17th St Unit 1","San Francisco","CA","94110","2015-05-01T00:00:00.000",,"2023-08-01T00:00:00.000",,"3180 17th St"
"1339689-08-231","1149409","Nicolaus Chaffin","Nicolaus Chaffin","214 S Pierce St","San Francisco","CA","94117","2023-06-02T00:00:00.000",,"2023-06-02T00:00:00.000",,"874 S Van Ness Ave"
"1339690-08-231","1059077","Insight Recruiting, Inc","Insight Recruiting, Inc.","67 Tamalpais Ave","San Anselmo","CA","94941","2011-10-01T00:00:00.000",,"2023-08-04T00:00:00.000",,"67 Tamalpais Ave"
