"ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","mailing_address_1"
"0355513-01-001","0355513","Mervue Electric Inc","Mervue Electric Inc","543 17th Ave","San Francisco","CA","94121","2002-10-27T00:00:00.000",,"2005-06-01T00:00:00.000",,"543 17th Ave"
"0355551-03-999","0355551","Stevenson Mechanical Inc","Stevenson Mechanical Inc","404 7th St","Oakley","CA","94561","2013-12-18T00:00:00.000",,"2013-12-18T00:00:00.000",,"404 7th St"
"0355564-03-001","0355564","Kohler William H","Kohler Heating","1229 4th Ave","San Francisco","CA","94122","2012-06-28T00:00:00.000",,"2012-06-28T00:00:00.000",,"1229 4th Ave"
"0355576-01-001","0355576","San Francisco Institute Of Est","San Francisco Institute Of Est","1067 Folsom St","San Francisco","CA","94103","2002-05-07T00:00:00.000",,"2002-05-07T00:00:00.000",,"1067 Folsom St"
"0355651-02-001","0355651","Hendricks Rebecca L","Playwrite Therapy","585 8th Ave","San Francisco","CA","94118","2002-05-09T00:00:00.000",,"2004-12-16T00:00:00.000",,"585 8th Ave"
"0355667-01-001","0355667","Josh Wash Inc","Josh Wash Inc","1515 Broadway","San Francisco","CA","94109","2002-05-09T00:00:00.000",,"2002-05-09T00:00:00.000",,"268 Bush St Ste 1226"
"0355667-02-001","0355667","Josh Wash Inc","Ballons By The Bay","1515 Broadway","San Francisco","CA","94109","2002-05-09T00:00:00.000",,"2008-01-01T00:00:00.000",,"268 Bush St Ste 1226"
"0355667-03-001","0355667","Josh Wash Inc","Sf Balloons","1515 Broadway","San Francisco","CA","94109","2002-05-09T00:00:00.000",,"2008-01-01T00:00:00.000",,"268 Bush St Ste 1226"
"0355671-01-001","0355671","Archimedes Sondra M","445 Natoma Street Building","445 Natoma St","San Francisco","CA","94103","2002-05-01T00:00:00.000",,"2002-05-01T00:00:00.000",,"11 Sequoia Way"
"0355682-02-001","0355682","Perez Efrain A & Magdalena","Perez Transportation","1785 B Mckinnon Ave","San Francisco","CA","94124","2002-05-10T00:00:00.000",,"2013-08-09T00:00:00.000",,"1785b Mckinnon Ave"
"0355687-04-001","0355687","Berkeley Investment Advisors","Berkeley Investment Advisors","201 Spear St Ste 1100","San Francisco","CA","94105","2002-04-27T00:00:00.000",,"2010-01-01T00:00:00.000",,"323 Bodmer Ln"
"0355692-01-999","0355692","Tnt Demolition Inc","Tnt Demolition Inc","161 Glenn Way","San Carlos","CA","94070","2002-05-10T00:00:00.000",,"2002-05-10T00:00:00.000",,"161 Glenn Way"
"0355702-01-999","0355702","Indotronix International Corp","Indotronix International Corp","556 E Weddell Dr","Sunnyvale","CA","94089","2002-05-10T00:00:00.000",,"2002-05-10T00:00:00.000",,"687 Lee Rd"
"0355710-01-001","0355710","Weng Sandy K","Sandy's Lucky Bamboo & Florist","803 Jackson St","San Francisco","CA","94133","2002-05-07T00:00:00.000",,"2002-05-07T00:00:00.000",,"803 Jackson St"
"0355723-01-001","0355723","Yee 401 Inc","Martini Cleaners","345 Divisadero St","San Francisco","CA","94117","2002-06-01T00:00:00.000",,"2007-04-09T00:00:00.000",,"345 Divisadero St"
"0355745-01-001","0355745","Angeli Barbara M","670 Tennessee At Apts","670 Tennessee St","San Francisco","CA","94107","2000-01-01T00:00:00.000",,"2000-01-01T00:00:00.000",,"676 Tennessee St"
"0355768-01-001","0355768","Wu Bryan","Wu & Associates","648 Waller St Apt 3","San Francisco","CA","94117","2002-05-13T00:00:00.000",,"2002-05-13T00:00:00.000",,"68 Cumberland St"
