"ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","mailing_address_1"
"0309547-01-001","0309547","251 Post St LLC","251 Post St Building","251 Post St","San Francisco","CA","94108","1997-01-31T00:00:00.000",,"1997-01-31T00:00:00.000",,"0000 Undeliverable Mail"
"0309553-02-001","0309553","Cen Yong Guang","Yong Fong Co","825 Filbert St","San Francisco","CA","94133","2007-10-08T00:00:00.000",,"2007-10-08T00:00:00.000",,"612 Clement St"
"0309559-01-001","0309559","Brown Lisa M","Sunset Academy Of Dance","1337 Irving St","San Francisco","CA","94122","1997-10-01T00:00:00.000",,"1997-10-01T00:00:00.000",,"211 Bolling Cir"
"0309563-01-001","0309563","Brickman Alan D","Vlh Parfums Naturels","22 Twin Peaks Blvd Apt 6","San Francisco","CA","94114","1997-09-17T00:00:00.000",,"1997-09-17T00:00:00.000",,"Po Box 14802"
"0309590-01-001","0309590","Prosterman Seth M","Seth Prosterman Ph D Mfcc","2918 Webster St","San Francisco","CA","94123","1997-09-01T00:00:00.000",,"1997-09-01T00:00:00.000",,"0000 Undeliverable Mail"
"0309595-01-001","0309595","Coleman Children & Youth Services","Coleman Advoc For Children & Youth","459 Vienna St","San Francisco","CA","94112","1975-01-01T00:00:00.000",,"1998-11-01T00:00:00.000",,"459 Vienna St"
"0309599-01-999","0309599","Pc Professional Inc","Pc Professional Inc","1615 Webster St","Oakland","CA","94612","1997-09-01T00:00:00.000",,"1997-09-01T00:00:00.000",,"1615 Webster St"
"0309604-02-999","0309604","R E Cuddie Co","R E Cuddie Co","1695 S 7th St","San Jose","CA","95112","1997-09-01T00:00:00.000",,"1998-06-17T00:00:00.000",,"1751 Junction Ave"
"0309613-04-001","0309613","Beatty, Eckhart","Beatty Communications","110 6th Ave Apt 3","San Francisco","CA","94118","2013-07-01T00:00:00.000",,"2013-07-01T00:00:00.000",,"110 6th Ave Apt 3"
"0309630-01-001","0309630","Our Kids First","Our Kids First","5845 Mission St #301","San Francisco","CA","94112","1997-01-27T00:00:00.000",,"1997-01-27T00:00:00.000",,"5845 Mission St"
"0309687-04-001","0309687","Williams Lea Inc","Williams Lea Inc","160 Spear St","San Francisco","CA","94105","2006-06-26T00:00:00.000",,"2006-06-26T00:00:00.000",,"1030 Main St"
"0309689-01-001","0309689","Jones Brian","Brian Jones","647 Shotwell St #1","San Francisco","CA","94110","1997-10-01T00:00:00.000",,"1997-10-01T00:00:00.000",,"647 Shotwell St 1 Apt"
"0309737-02-001","0309737","Mccarthy Michael A","Dmacs Electrical","114 Beulah St Apt 1","San Francisco","CA","94117","2006-02-27T00:00:00.000",,"2006-02-27T00:00:00.000",,"0000 Undeliverable Mail"
"0309753-02-001","0309753","Ca-Mission Street Lp","Ca-Mission Street Lp","201 Mission St Ste 1300","San Francisco","CA","94105","1997-04-30T00:00:00.000",,"2003-01-02T00:00:00.000",,"201 Mission St Ste 250"
"0309757-01-001","0309757","Molthen Susan F","Port Said Publications","4031 Balboa St","San Francisco","CA","94121","1997-01-01T00:00:00.000",,"1997-01-01T00:00:00.000",,"4031 Balboa St"
"0309757-04-001","0309757","Molthen Susan F","Al-Masri Egyptian Restaurant","4031 Balboa St","San Francisco","CA","94121","1997-01-01T00:00:00.000",,"1999-01-01T00:00:00.000",,"4031 Balboa St"
"0309802-01-001","0309802","King Sharon C","King Infosource","1739 25th Ave","San Francisco","CA","94122","1997-10-01T00:00:00.000",,"1997-10-01T00:00:00.000",,"1739 25th Ave"
"0309828-01-999","0309828","Prwt Services Inc","Prwt Services Inc","1835 Market St Phila 555","Philadelphia","PA","19103","1997-09-30T00:00:00.000",,"1997-09-30T00:00:00.000",,"1835 Market St Ste 800"
"0309828-02-001","0309828","Prwt Services Inc","Pacific Collection Services","388 Market St Ste 400","San Francisco","CA","94111","1997-09-30T00:00:00.000",,"1998-09-09T00:00:00.000",,"1835 Market St Ste 800"
"0309861-01-001","0309861","Lee Pamela G","Pursestrings","2647 21st Ave","San Francisco","CA","94116","1997-10-01T00:00:00.000",,"1997-10-01T00:00:00.000",,"2647 21st Ave"
"0309928-01-999","0309928","Summers Timothy B","Summers Plumbing","100 S Magnolia Ave","S San Fran","CA","94080","1997-10-01T00:00:00.000",,"1997-10-01T00:00:00.000",,"100 S Magnolia Ave"
"0309933-01-001","0309933","Lee Frieda","54 John Apts","54 John St","San Francisco","CA","94133","1997-10-01T00:00:00.000",,"1997-10-01T00:00:00.000",,"54 John St"
"0309945-02-999","0309945","Janakes Jeff J","Janakes Electric","2680 Middlefield Rd Redwood City","Redwood City","CA","94063","2002-08-16T00:00:00.000",,"2002-08-16T00:00:00.000",,"Po Box 5154"
"0309967-01-001","0309967","Stauber Howard B","Stauber And Associates","5 3rd St Ste 715","San Francisco","CA","94103","1991-01-01T00:00:00.000",,"1991-01-01T00:00:00.000",,"5 3rd St Ste 715"
"0309972-01-001","0309972","Hu Brion A","Brion A Hu Dds","3 Embarcadero Ctr P Level","San Francisco","CA","94111","1997-12-15T00:00:00.000",,"1997-12-15T00:00:00.000",,"0000 Undeliverable Mail"
"0309978-01-999","0309978","Contreras Mariano S","Sci Graphics","3311 Florida St","Oakland","CA","94602","1997-07-01T00:00:00.000",,"1997-07-01T00:00:00.000",,"Po Box P.O. Box 27343"
"0310024-01-001","0310024","Gummun Inc","Golden Express","850 Ellis St","San Francisco","CA","94109","1997-10-01T00:00:00.000",,"1997-10-01T00:00:00.000",,"850 Ellis St"
"0310024-02-001","0310024","Gummun Inc","Golden Exp Autobdy & Mech Svc","850 Ellis St","San Francisco","CA","94109","1997-10-01T00:00:00.000",,"2004-10-01T00:00:00.000",,"850 Ellis St"
"0310036-01-001","0310036","Goldstein Brenda","Brenda Goldstein & Associates","2490 Chestnut St Apt 102","San Francisco","CA","94123","1997-10-03T00:00:00.000",,"1997-10-03T00:00:00.000",,"2490 Chestnut St Apt 102"
