ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
1216543-03-191,1099812,Carlos Mauricio Garcia Lopez,Garcia Construction,2804 Gonzaga Ave,Richmond,CA,94806.0,2019-03-20T00:00:00.000,,2019-03-20T00:00:00.000,,2804 Gonzaga Ave
1216546-03-191,486424,Bi-Rite Catering LLC,Bi-Rite Catering,3674 18th St,San Francisco,CA,94110.0,2014-01-10T00:00:00.000,,2019-02-07T00:00:00.000,,3505 20th St
1216548-03-191,1099813,"Lightwell Mighty, Inc.","Lightwell Mighty, Inc.",1667 Jerrold Ave,San Francisco,CA,94124.0,2019-01-01T00:00:00.000,,2019-01-01T00:00:00.000,,124 Holladay Ave
1216550-03-191,1099814,Worleyparsons Group Inc,Worelyparsons Group Inc,181 W Huntington Dr,Monrovia,CA,91016.0,2019-03-20T00:00:00.000,,2019-03-20T00:00:00.000,,181 W Huntington Dr
1216562-03-191,1099823,"Edgeworth Integration, LLC","Edgeworth Integration, LLC",1257 Quarry Ln Ste 125,Pleasanton,CA,94566.0,2019-01-01T00:00:00.000,,2019-01-01T00:00:00.000,,1048 Serpentine Ln Ste 302
1216568-03-191,1099826,Alondra Haro,Alondra Haro,77 Van Ness Ave Ste 101#1066,San Francisco,CA,94102.0,2018-10-30T00:00:00.000,,2018-10-30T00:00:00.000,,Po Box 449
1216570-03-191,1099827,Noel D. Finnerty,Noel D. Finnerty,4100 Fulton St Suite #8,San Francico,CA,94121.0,2019-01-24T00:00:00.000,,2019-01-24T00:00:00.000,,4100 Fulton St 8 Apt
1216576-03-191,1099830,"Mcc Building Maintenance, LLC",Mcc Building Maintenance,83 Hamilton Drive Ste 104,Novato,CA,94945.0,2019-03-20T00:00:00.000,,2019-03-20T00:00:00.000,,83 Hamilton Drive 104 Ste
1216584-03-191,1014022,Lyra Management LLC,Lyra Management LLC,555 California St Ste 4905,San Francisco,CA,94104.0,2012-07-01T00:00:00.000,,2019-01-01T00:00:00.000,,555 California St Ste 4905
1216585-03-191,1099454,Adam Miller Dental Corp/Baliwas Dental Corp,Baliwas Miller Dental Partnership,450 Sutter St Ste 320,San Francisco,CA,94108.0,2019-01-09T00:00:00.000,,2019-03-13T00:00:00.000,,450 Sutter St 320 Ste
1216590-03-191,1099419,"Huf Worldwide, LLC.","Huf Worldwide, LLC",968 Valencia St,San Francisco,CA,94110.0,2019-03-01T00:00:00.000,,2019-03-01T00:00:00.000,,420 Boyd St # 4
1216592-03-191,477771,Insightly Inc,Insightly Inc,680 Folsom St,San Francisco,CA,94107.0,2012-02-01T00:00:00.000,,2017-09-01T00:00:00.000,,58 West Portal Ave
1216601-03-191,1099835,Bay Area Anti-Trafficking Coalition,Bay Area Anti-Trafficking Coalition,2346 Walsh Ave,Santa Clara,CA,95051.0,2019-03-08T00:00:00.000,,2019-03-08T00:00:00.000,,570 El Caminbio Real Ste 150
1216613-03-191,1099841,5 North Media,5 North Media,8450 Production Ave,San Diego,CA,92121.0,2019-03-18T00:00:00.000,,2019-03-18T00:00:00.000,,8450 Production Ave
1216621-03-191,1099848,Fotios Tsiglieris/Dba/ Metro Structural Painting,Metro Structural Painting,1012 Crestwood Dr,South San Francisco,CA,94080.0,2019-03-21T00:00:00.000,,2019-03-21T00:00:00.000,,1012 Crestwood Dr
1216623-03-191,1099849,Temperature Technology Inc.,Temperature Technology Inc.,418 N Buchanan Cir 12,Pacheco,CA,94553.0,2019-03-21T00:00:00.000,,2019-03-21T00:00:00.000,,418 N Buchanan Cir 12 Ste
1216625-03-191,1099850,Axa Construction Inc,Axa Construction Inc,27 Park Manor Dr,Daly City,CA,94015.0,2019-03-01T00:00:00.000,,2019-03-01T00:00:00.000,,275 Del Prado Dr
1216627-03-191,1099851,Chavarria Construction Inc,Chavarria Construction Inc,703 Canyon Dr,Pacifica,CA,94044.0,2019-03-21T00:00:00.000,,2019-03-21T00:00:00.000,,703 Canyon Dr
1216643-03-191,1099860,"920 Montgomery, LLC","920 Montgomery, LLC",920 Montgomery St,San Francisco,CA,94133.0,2019-03-21T00:00:00.000,,2019-03-21T00:00:00.000,,77 Grace St
1216652-03-191,1099867,"22nd Street Sf, LLC","22nd Street Sf, LLC",1255 22nd St,San Francisco,CA,94107.0,2019-03-21T00:00:00.000,,2019-03-21T00:00:00.000,,1255 22nd St
1216660-03-191,476391,Samsung Info Systems America,Samsung Research America Inc,735 Battery St Fl 3,San Francisco,CA,94111.0,2012-07-01T00:00:00.000,,2012-07-01T00:00:00.000,,665 Clyde Ave
1216666-03-191,1099865,Westamerica Bank,Westamerica Bank,343 Sansome St,Suisun,CA,94585.0,1995-08-21T00:00:00.000,,1995-08-21T00:00:00.000,,Po Box 1200
1216672-03-191,1099874,Gustavo Salcedo,Salcedo's General Builder,3212 Honeydew Ct,Tracy,CA,95377.0,2019-03-21T00:00:00.000,,2019-03-21T00:00:00.000,,3212 Honeydew Ct
1216674-03-191,1099875,Hudson Ventures LLC,Cafe Alma,888 Innes Ave,San Francisco,CA,94124.0,2019-03-21T00:00:00.000,,2019-03-21T00:00:00.000,,1408 Hudson Ave
