ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
1171657-12-171,1026650,Eggers Lillian C,Eggers Lillian C,709 York St,San Francisco,CA,94110.0,2009-02-13T00:00:00.000,,2009-02-13T00:00:00.000,,709 York St
1171659-12-171,1026651,Zucconi Marina,Zucconi Marina,100 Dartmouth St,San Francisco,CA,94134.0,2009-03-04T00:00:00.000,,2009-03-04T00:00:00.000,,100 Dartmouth St
1171662-12-171,1026656,Sapoznik Jeffery,Sapoznik Jeffery,Po Box 5527,Buffalo,IL,60089.0,2009-03-26T00:00:00.000,,2009-03-26T00:00:00.000,,Po Box 5527
1171663-12-171,1025022,Wang Zhen,Zhen Wang,150 Font Blvd #1k,San Francisco,CA,94132.0,2013-04-24T00:00:00.000,,2013-04-24T00:00:00.000,,150 Font Blvd Apt 8b
1171664-12-171,1026657,Brown Rachel,Brown Rachel,2320 Derby St,Berkeley,CA,94705.0,2009-03-26T00:00:00.000,,2009-03-26T00:00:00.000,,2320 Derby St
1171665-12-171,1026658,Yin Zhenyu,Yin Zhenyu,56 Morse St,San Francisco,CA,94112.0,2004-09-23T00:00:00.000,,2004-09-23T00:00:00.000,,7227 Shannon Park Ct
1171666-12-171,1025023,Joseph Andrew IV,Joseph Andrew IV,1310 Hayes St,San Francisco,CA,94117.0,2013-04-29T00:00:00.000,,2013-04-29T00:00:00.000,,1310 Hayes St
1171667-12-171,1026659,Dantes-Ng Eufemia,Dantes-Ng Eufemia,2250 Wawona St,San Francisco,CA,94116.0,2004-09-27T00:00:00.000,,2004-09-27T00:00:00.000,,2250 Wawona St
1171668-12-171,1026660,Papaloukas Lilliann,Papaloukas Lilliann,706 23rd Ave,San Francisco,CA,94121.0,2009-04-17T00:00:00.000,,2009-04-17T00:00:00.000,,706 23rd Ave
1171670-12-171,1026663,Stora Alain Albert,Stora Alain Albert,1466 Leavenworth St,San Francisco,CA,94109.0,2004-09-28T00:00:00.000,,2004-09-28T00:00:00.000,,1466 Leavenworth St
1171671-12-171,1026664,Tom Angela,Tom Angela,619 8th Ave,San Francisco,CA,94118.0,2009-04-30T00:00:00.000,,2009-04-30T00:00:00.000,,619 8th Ave
1171672-12-171,1025026,Daniel Crew,Daniel Crew,1431 Jackson St #214,Oakland,CA,94612.0,2013-05-08T00:00:00.000,,2013-05-08T00:00:00.000,,1431 Jackson St Apt 214
1171676-12-171,1026668,Cosculluela Joy A,Cosculluela Joy A,29 Ramona Ave,San Francisco,CA,94103.0,2004-09-27T00:00:00.000,,2004-09-27T00:00:00.000,,29 Ramona Ave
1171677-12-171,1026669,Sebastiana Angela,Sebastiana Angela,668 Gates St,San Francisco,CA,94110.0,2009-05-29T00:00:00.000,,2009-05-29T00:00:00.000,,668 Gates St
1171678-12-171,1026671,Yau Jennifer Jing,Yau Jennifer Jing,2832 Fulton St,San Francisco,CA,94118.0,2004-09-27T00:00:00.000,,2004-09-27T00:00:00.000,,2832 Fulton St
1171680-12-171,1026675,Eudave Rafael,Eudave Rafael,2201 Balboa St #5,San Francisco,CA,94121.0,2004-09-22T00:00:00.000,,2004-09-22T00:00:00.000,,2201 Balboa St Apt 5
1171681-12-171,1026676,Kocher Sharon Rosa,Kocher Sharon Rosa,3045 Franklin St #204,San Francisco,CA,94123.0,2004-09-27T00:00:00.000,,2004-09-27T00:00:00.000,,3045 Franklin St Apt 204
1171682-12-171,1026678,Henady Scott,Henady Scott,1812 23rd St,San Francisco,CA,94107.0,2009-06-25T00:00:00.000,,2009-06-25T00:00:00.000,,1812 23rd St
1171687-12-171,1026681,Reyes Gary Faustino,Reyes Gary Faustino,1651 Market St #316,San Francisco,CA,94103.0,2004-09-14T00:00:00.000,,2004-09-14T00:00:00.000,,1651 Market St Apt 316
1171688-12-171,1026682,Thomas Ashley,Thomas Ashley,1045 Post St #5,San Francisco,CA,94109.0,2009-07-09T00:00:00.000,,2009-07-09T00:00:00.000,,1045 Post St Apt 5
1171689-12-171,1026685,Cowin James,Cowin James,722 Shotwell St #6,San Francisco,CA,94110.0,2009-07-16T00:00:00.000,,2009-07-16T00:00:00.000,,722 Shotwell St Apt 6
1171690-12-171,1026686,Lee Mayuko,Lee Mayuko,1310 Fillmore St #610,San Francisco,CA,94115.0,2009-07-31T00:00:00.000,,2009-07-31T00:00:00.000,,1310 Fillmore St Apt 610
1171691-12-171,1026687,Kong Jimmy,Kong Jimmy,240 St. Josephs Ave #104,San Francisco,CA,94115.0,2004-09-10T00:00:00.000,,2004-09-10T00:00:00.000,,240 Saint Josephs Ave Apt 104
1171697-12-171,1026696,Mroutchkovskaia Valentina,Mroutchkovskaia Valentina,625 Spruce St Apt #1,San Francisco,CA,94118.0,2004-09-17T00:00:00.000,,2004-09-17T00:00:00.000,,2550 Geary Blvd Apt 505
1171704-12-171,1026705,Li Zheng Quan,Li Zheng Quan,1241 Bush St #301,San Francisco,CA,94109.0,2004-08-31T00:00:00.000,,2004-08-31T00:00:00.000,,1241 Bush St Apt 301
1171708-12-171,1026710,Tam Ngan Choi,Tam Ngan Choi,348 Michelle Ln,Daly City,CA,94015.0,2004-08-26T00:00:00.000,,2004-08-26T00:00:00.000,,348 Michelle Ln
1171710-12-171,1026713,Herman Yaeko Y,Herman Yaeko Y,Po Box 424874,San Francisco,CA,94109.0,2004-09-09T00:00:00.000,,2004-09-09T00:00:00.000,,Po Box 424874
1171711-12-171,1026714,Wong Andrew Alexander,Wong Andrew Alexander,3916 Clay St,San Francisco,CA,94118.0,2004-08-20T00:00:00.000,,2004-08-20T00:00:00.000,,3916 Clay St
1171712-12-171,1026715,Camisa Ernest L,Camisa Ernest L,1269 Potrero Ave,San Francisco,CA,94110.0,2004-08-25T00:00:00.000,,2004-08-25T00:00:00.000,,1269 Potrero Ave
1171713-12-171,1026716,Maksutenko Isabella,Maksutenko Isabella,95 Mccoppin St #E104,San Francisco,CA,94103.0,2004-09-03T00:00:00.000,,2004-09-03T00:00:00.000,,95 Mccoppin St Apt E104
1171715-12-171,1026718,Sams Melody Lorraine,Sams Melody Lorraine,1945 Bush St Apt #L,San Francisco,CA,94115.0,2004-08-25T00:00:00.000,,2004-08-25T00:00:00.000,,1610 Post St 305 Ste
1171717-12-171,1026720,Wing Judith Low,Wing Judith Low,159 Parker Ave,San Francisco,CA,94118.0,2004-09-10T00:00:00.000,,2004-09-10T00:00:00.000,,159 Parker Ave
1171719-12-171,1026722,Fayant Xavier J Luc,Fayant Xavier J Luc,591 6th Ave,San Francisco,CA,94118.0,2004-10-25T00:00:00.000,,2004-10-25T00:00:00.000,,591 6th Ave
