ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
1328924-03-231,1145035,Bay Area Temporary Sanitation Inc,Bay Area Temporary Sanitation Inc,4455 Enterprise St,Fremont,CA,94538,2023-03-01T00:00:00.000,,2023-03-01T00:00:00.000,,4455 Enterprise St
1328926-03-231,1107802,"Lovefrom, Inc.",Lovefrom Inc,831 Montgomery St,San Francisco,CA,94133,2019-10-01T00:00:00.000,,2023-01-01T00:00:00.000,,Po Box 471000
1328929-03-231,1145037,L & K Janitorial Service LLC,L & K Janitorial Service LLC,800 Indiana St Apt 156,San Francisco,CA,94107,2023-03-31T00:00:00.000,,2023-03-31T00:00:00.000,,800 Indiana St Apt 156
1328931-03-231,1145038,Jessica Grazziotin,Jessica Grazziotin,181 Sanchez St Apt 2,San Francisco,CA,94114,2023-03-31T00:00:00.000,,2023-03-31T00:00:00.000,,181 Sanchez St Apt 2
1328933-03-231,1103562,Sabrina Lisa Green,Balboa Psychic,5300 Geary Blvd Ste 200,San Francisco,CA,94121,2019-06-27T00:00:00.000,,2023-03-13T00:00:00.000,,5300 Geary Blvd Ste 200
1328934-03-231,1145039,"Asiana Management Group, Inc",Ace Sushi,1515 Sloat Blvd,San Francisco,CA,94132,2023-03-31T00:00:00.000,,2023-03-31T00:00:00.000,,22771 S Western Ave
1328936-03-231,1145040,Garcia Chiropractic Professional Corporation,Garcia Chiropractic Professional Corporation,640 Stockton St Unit 330,San Francisco,CA,94133,2023-03-31T00:00:00.000,,2023-03-31T00:00:00.000,,0000 Undeliverable Mail
1328938-03-231,1144967,Tlr Inspirations L.L.C.,Tlr Inspirations,5214 F Diamond Heights Blvd #3301,San Francisco,CA,94131,2023-02-03T00:00:00.000,,2023-02-03T00:00:00.000,,5214f Diamond Heights Blvd Ste #3301
1328942-03-231,1145042,Anemoi LLC,Anemoi LLC,443 Irving St # 447,San Francisco,CA,94122,1996-03-08T00:00:00.000,,1996-03-08T00:00:00.000,,1351 21st Ave
1328943-03-231,1058654,Side Inc,Modyrn,580 4th St,San Francisco,CA,94107,2016-09-01T00:00:00.000,,2023-03-31T00:00:00.000,,580 4th St
1328944-03-231,1058654,Side Inc,Eighteen Property Group,580 4th St,San Francisco,CA,94107,2016-09-01T00:00:00.000,,2023-03-31T00:00:00.000,,580 4th St
1328947-03-231,1058654,Side Inc,The Cssa Group,580 4th St,San Francisco,CA,94107,2016-09-01T00:00:00.000,,2023-03-31T00:00:00.000,,580 4th St
