ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
1312218-08-221,1137950,Daniel E Miller,Daniel At Salon Dna,555 Sutter St Ste 200,San Francisco,CA,94102,2022-08-17T00:00:00.000,,2022-08-17T00:00:00.000,,3220 Fir Ave
1312222-08-221,1137952,Ahs Shotwell Op LLC,Victoria's House,668 Shotwell St,San Francisco,CA,94110,2022-08-01T00:00:00.000,,2022-08-01T00:00:00.000,,3201 Danville Blvd Ste 265
1312227-08-221,1137956,Stacey Christensen,Mental Health For Humanity,152 Lily St Apt 1,San Francisco,CA,94102,2022-08-17T00:00:00.000,,2022-08-17T00:00:00.000,,900 Central Ave
1312229-08-221,1137957,Daniel's Airbnb,Daniel's Airbnb,538 Liberty St,San Francisco,CA,94114,2022-08-17T00:00:00.000,,2022-08-17T00:00:00.000,,0000 Undeliverable Mail
1312231-08-221,1137958,Ntgrty LLC,Ntgrty LLC,58 West Portal Ave # 503,San Francisco,CA,94127,2022-08-17T00:00:00.000,,2022-08-17T00:00:00.000,,58 West Portal Ave # 503
1312233-08-221,1137959,Halaudi LLC,Cuppa,2810 Diamond St,San Francisco,CA,94131,2022-08-17T00:00:00.000,,2022-08-17T00:00:00.000,,222 Victoria St
1312234-08-221,1061067,Vanta Inc.,Vanta Inc.,369 Hayes St,San Francisco,CA,94104,2016-10-10T00:00:00.000,,2022-01-01T00:00:00.000,,270 Linden St Apt 101
1312237-08-221,1137960,Ze Tai LLC,Ze Tai LLC,2434 Mission St,San Francisco,CA,94110,2022-06-24T00:00:00.000,,2022-06-24T00:00:00.000,,180 S Arroyo Blvd
1312241-08-221,1137962,Allen Chapel Community Development,Allen Chapel Community Development,195 Scotia Ave,San Francisco,CA,94124,2021-10-03T00:00:00.000,,2021-10-03T00:00:00.000,,195 Scotia Ave
1312242-08-221,1136957,Scp 501 Geary Opco LLC,The Hotel Marker San Francisco,501 Geary St,San Francisco,CA,94102,2022-06-28T00:00:00.000,,2022-06-28T00:00:00.000,,501 Geary St
1312244-08-221,1137963,Jordyn Burger,Redpandacreations,1489 Webster St Apt 909,San Francisco,CA,94115,2022-08-15T00:00:00.000,,2022-08-15T00:00:00.000,,1489 Webster St Apt 909
1312247-08-221,1137964,Patrick Buscovich,1000 Ashbury,1000 Ashbury St,San Francisco,CA,94117,2022-05-15T00:00:00.000,,2022-05-15T00:00:00.000,,491 Jersey St
1312250-08-221,1137965,Ufodrive LLC,Ufodrive LLC,16192 Coastal Highway Hwy,Lewes,DE,19958,2022-08-03T00:00:00.000,,2022-08-03T00:00:00.000,,0000 Undeliverable Mail
1312256-08-221,1137967,Svk Interior Design,Svk Interior Design,54 Marietta Dr,San Francisco,CA,94127,2022-08-18T00:00:00.000,,2022-08-18T00:00:00.000,,54 Marietta Dr
1312260-08-221,1137969,Aquabeat LLC,Mellow Sessions,1401 Haight St,San Francisco,CA,94117,2022-08-13T00:00:00.000,,2022-08-13T00:00:00.000,,1401 Haight St
