ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
1233859-09-191,1106629,Elie Attya,Elie Attya,650 Delano Ave,San Francisco,CA,94112.0,2019-09-15T00:00:00.000,,2019-09-15T00:00:00.000,,650 Delano Ave
1233861-09-191,1106630,Milad Ebadat,M.E. Fitness,1844 Market St,San Francisco,CA,94102.0,2019-09-09T00:00:00.000,,2019-09-09T00:00:00.000,,22 Gardenside Dr Apt 11
1233867-09-191,1106633,Anthony  Keiser,631 Vienna Street,631 Vienna N,San Francisco,CA,94112.0,2019-09-15T00:00:00.000,,2019-09-15T00:00:00.000,,631 Vienna St
1233869-09-191,1106634,Xiaoxue Qu,Linking News,1167 Pine St Apt 7,San Francisco,CA,94109.0,2019-09-01T00:00:00.000,,2019-09-01T00:00:00.000,,1167 Pine St 7 Apt
1233882-09-191,1106640,Unscripted Leaders LLC,Unscripted Leaders,2020 Green St,San Francisco,CA,94123.0,2019-06-17T00:00:00.000,,2019-09-12T00:00:00.000,,Po Box 475447
1233886-09-191,1106642,Alpenglow Analytics LLC,Alpenglow Analytics LLC,520 6th Street #25,San Francisco,CA,94103.0,2019-08-22T00:00:00.000,,2019-08-22T00:00:00.000,,520 6th St 25 Apt
1233888-09-191,1011169,Garcia Jesse,Garcia Jesse A,655 Kansas St #403,San Francisco,CA,94107.0,2015-03-16T00:00:00.000,,2019-04-01T00:00:00.000,,655 Kansas St 403 Apt
1233896-09-191,1106647,Sonica Thakur,Sonica Thakur,3236 Rocky Water Lane Ln,San Jose,CA,95148.0,2019-09-16T00:00:00.000,,2019-09-16T00:00:00.000,,11913 E Lake Cir
1233908-09-191,1106654,Liu Shen Corporation,Dumpling Home,298 Gough St,San Francisco,CA,94102.0,2019-09-16T00:00:00.000,,2019-09-16T00:00:00.000,,298 Gough St
1233910-09-191,1106655,Kimberly Evans,Kim's Kare Free Vacations,202 Calvin Pl,Santa Cruz,CA,95060.0,2019-09-03T00:00:00.000,,2019-09-03T00:00:00.000,,202 Calvin Pl
