ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
1243651-01-201,487123,Ie General Const Inc,Ie General Construction Inc,112 S Idaho St,San Mateo,CA,94401,2014-02-18T00:00:00.000,,2020-01-22T00:00:00.000,,112 S Idaho St
1243652-01-201,1058654,Side Inc,One Platinum Real Estate,580 4th St,San Francisco,CA,94107,2016-09-01T00:00:00.000,,2020-01-22T00:00:00.000,,580 4th St
1243653-01-201,444082,Rpx Corporation,Rpx Corporation,4 Embarcadero Ctr Ste 4000,San Francisco,CA,94111,2008-08-11T00:00:00.000,,2019-10-28T00:00:00.000,,4 Embarcadero Ctr Ste 4000
1243654-01-201,1098556,"Realtimeboard, Inc.",Miro,525 Brannan St Ste 100,San Francisco,CA,94107,2019-02-15T00:00:00.000,,2019-02-15T00:00:00.000,,490 Post St 526 Ste
1243657-01-201,441034,Thomas Quinn And Krieger Llp,"Thomas Quinn, Llp",219 9th Street 2nd Fl.,San Francisco,CA,94103,2009-08-01T00:00:00.000,,2019-11-22T00:00:00.000,,219 9th St 2nd Fl.
1243661-01-201,1110833,Henry Andrews,Henry Andrews,11 Eureka St Apt,San Francisco,CA,94114,2020-01-11T00:00:00.000,,2020-01-11T00:00:00.000,,11 Eureka St Apt
1243667-01-201,1110836,"Hyperbaric Administrative Services, LLC","Hyperbaric Administrative Services, LLC",2107 O'farrell St,San Francisco,CA,94115,2020-01-19T00:00:00.000,,2020-01-19T00:00:00.000,,1341 Canton Road A Bldg
1243673-01-201,1110839,City And County Of San Francisco Real Estate Division,City Hall / Real Estate Division,400 Van Ness. Ave Bldg,San Francisco,CA,94102,2020-01-23T00:00:00.000,,2020-01-23T00:00:00.000,,25 Van Ness Ave Ste 400
1243677-01-201,1110841,Groupon Goods Inc,Groupon Goods Inc,600 W Chicago Ave Ste 400,Chicago,IL,60654,2019-01-01T00:00:00.000,,2019-01-01T00:00:00.000,,600 W Chicago Ave 400 Ste
1243683-01-201,1110845,Lauren Strobel,Love Khaos,183 Magnolia St,San Francisco,CA,94123,2020-01-01T00:00:00.000,,2020-01-01T00:00:00.000,,183 Magnolia St
1243697-01-201,1110852,Wendy Gibson,Ramsay Signs Inc,9160 Se 74th Ave,Portland,OR,97206,2020-01-10T00:00:00.000,,2020-01-10T00:00:00.000,,9160 Se 74th Ave
1243707-01-201,1110857,Teleflex LLC,Teleflex LLC,550 E Swedesford Rd Ste 400,Wayne,PA,19087,2019-01-01T00:00:00.000,,2019-01-01T00:00:00.000,,550 E Swedesford Rd 400 Ste
1243713-01-201,1110860,Bryan Gabourel,All Clean California,1321 Evans Ave Ste C,San Francisco,CA,94124,2020-01-23T00:00:00.000,,2020-01-23T00:00:00.000,,0000 Undeliverable Mail
1243715-01-201,1110861,"Chacon Flooring, Inc.","Chacon Flooring, Inc",173 Curtis St,San Francisco,CA,94112,2020-01-23T00:00:00.000,,2020-01-23T00:00:00.000,,173 Curtis St
1243717-01-201,1110862,Point72 Ventures LLC,Wework,535 Mission Street,San Francisco,CA,94105,2017-06-01T00:00:00.000,,2017-06-01T00:00:00.000,,72 Cummings Point Road
1243718-01-201,1110862,Point72 Ventures LLC,"Point72 Ventures, LLC",1 Embarcadero Ctr Fl 11,San Francisco,CA,94111,2017-06-01T00:00:00.000,,2019-07-01T00:00:00.000,,72 Cummings Point Road
1243719-01-201,1110862,Point72 Ventures LLC,Point72 Ventures LLC,2 Shaw Aly Fl 5,San Francisco,CA,94105,2017-06-01T00:00:00.000,,2019-12-01T00:00:00.000,,72 Cummings Point Road
1243729-01-201,1110867,Sally E Nielsen,Insight Data & Economic Analysis,4512 19th St,San Francisco,CA,94114,2020-01-23T00:00:00.000,,2020-01-23T00:00:00.000,,4512 19th St
1243739-01-201,1110872,Richard J. Modolo,501-511 Cortland Ave.,Cortland Ave,San Francisco,CA,94110,2020-01-01T00:00:00.000,,2020-01-01T00:00:00.000,,Po Box 885373
1243741-01-201,1110873,Richard J. Modolo,1733 Mcallister,1733 Mcallister St,San Francisco,CA,94115,2020-01-01T00:00:00.000,,2020-01-01T00:00:00.000,,Po Box 885373
1243742-01-201,486088,Roadside Rotisserie Corp,Roadside Rotisserie Corporation / Country Grill,90 Broadway,San Francisco,CA,94111,2014-01-14T00:00:00.000,,2014-01-14T00:00:00.000,,1148 E 18th St Apt 1
1243743-01-201,486088,Roadside Rotisserie Corp,Roadside Rotisserie Corporation / Country Grill,1 Bust St,San Francisco,CA,94111,2014-01-14T00:00:00.000,,2014-01-14T00:00:00.000,,1148 E 18th St Apt 1
1243744-01-201,486088,Roadside Rotisserie Corp,Roadside Rotisserie Corporation / Country Grill,1 Post St,San Francisco,CA,94104,2014-01-14T00:00:00.000,,2014-01-14T00:00:00.000,,1148 E 18th St Apt 1
1243746-01-201,1110874,Richard J. Modolo,488-498 30th St.,30th St,San Francisco,CA,94188,2020-01-01T00:00:00.000,,2020-01-01T00:00:00.000,,Po Box 885373
1243750-01-201,477176,Le Dix-Sept LLC,Le Dix-Sept,3376 18th St,San Francisco,CA,94110,2011-10-21T00:00:00.000,,2011-10-21T00:00:00.000,,1258a Folsom St
1243754-01-201,1110877,"Newcastle/439 Bryant Street, LLC","Newcastle/439 Bryant Street, LLC",230 California St 510,San Francisco,CA,94111,2019-01-07T00:00:00.000,,2020-01-07T00:00:00.000,,150 California St Ste 1050
1243756-01-201,1110878,Alessandra Zarate-Sanderlin,Ridge & Whorl Hfe,459 Castenada Ave,San Francisco,CA,94116,2020-01-01T00:00:00.000,,2020-01-01T00:00:00.000,,459 Castenada Ave
1243758-01-201,1110879,Dominique Velasquez,Dose Of Unique,170 Nevada St,San Francisco,CA,94110,2020-01-16T00:00:00.000,,2020-01-16T00:00:00.000,,170 Nevada St
1243774-01-201,310487,Sabaria Inc,Sabaria Incorporated,77 Grace St,San Francisco,CA,94103,1997-04-01T00:00:00.000,,2019-07-01T00:00:00.000,,77 Grace St
1243775-01-201,204105,"Systra Consulting, Inc","Systra Consulting, Inc.",995 Market St Fl 3rd,San Francisco,CA,94103,1991-01-01T00:00:00.000,,2020-01-02T00:00:00.000,,400 Broadacres Dr 105 Ste
1243777-01-201,1094819,298 Alabama LLC,South Park Cafe,108 South Park St,San Francisco,CA,94103,2018-11-05T00:00:00.000,,2019-07-01T00:00:00.000,,77 Grace St
1243779-01-201,23014,Preferred Legal Services Inc,Preferred Legal Services Inc,601 Van Ness Ave Ste J,San Francisco,CA,94102,1968-10-01T00:00:00.000,,2020-01-23T00:00:00.000,,601 Van Ness Ave J Ste
1243780-01-201,23014,Preferred Legal Services Inc,Rapid Serve,601 Van Ness Ave Ste J,San Francisco,CA,94102,1968-10-01T00:00:00.000,,2020-01-23T00:00:00.000,,601 Van Ness Ave J Ste
1243782-01-201,1005630,840 Van Ness Avenue Property LLC,Fo 840 Van Ness Avenue Property LLC,840 Van Ness,San Francisco,CA,94109,2014-10-29T00:00:00.000,,2014-10-29T00:00:00.000,,308 Jessie St
1243783-01-201,437370,Ips Group Inc,Ips Group Inc,7737 Kenamar Ct,San Diego,CA,92121,2009-03-02T00:00:00.000,,2019-12-31T00:00:00.000,,Po Box 319
1243785-01-201,1027505,Bitwage Inc,Bitwage Inc,244 California St Ste 607,San Francisco,CA,94111,2016-02-16T00:00:00.000,,2019-09-01T00:00:00.000,,Po Box 7775 880003
1243787-01-201,1027513,Inwage LLC,Inwage LLC,244 California St Ste 607,San Francisco,CA,94111,2016-02-16T00:00:00.000,,2019-09-01T00:00:00.000,,Po Box 7775
1243788-01-201,332979,Turk Street Inc,Turk Street Inc,201 Eddy St,San Francisco,CA,94707,1998-05-01T00:00:00.000,,2020-01-23T00:00:00.000,,201 Eddy St
1243791-01-201,440083,Neighborhood Play Garden,Neighborhood Play Garden,59 Grand View Ave,San Francisco,CA,94114,2009-01-01T00:00:00.000,,2009-01-01T00:00:00.000,,59 Grand View Ave
