ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
1337524-07-231,1148515,Evette Mercado,Vette Plant Based Food,801 Sutter St Apt 108,San Francisco,CA,94109,2023-07-10T00:00:00.000,,2023-07-10T00:00:00.000,,801 Sutter St Apt 108
1337525-07-231,413084,K Bermudez Medical Corporation,Leavenworth Property 10,1510 Leavenworth St,San Francisco,CA,94109,2007-01-01T00:00:00.000,,2023-07-10T00:00:00.000,,525 Spruce St 2 Bldg
1337527-07-231,1148516,The Peach Fuzz,The Peach Fuzz LLC,231 Harvard St,San Francisco,CA,94134,2023-07-01T00:00:00.000,,2023-07-01T00:00:00.000,,231 Harvard St
1337528-07-231,1102865,Michael Breymann,"Glyph Software, LLC",2047 17th Ave,San Francisco,CA,94116,2007-05-17T00:00:00.000,,2023-07-10T00:00:00.000,,2047 17th Ave
1337530-07-231,1148517,"Continue Dev, Inc.","Continue Dev, Inc.",46 Belvedere St,San Francisco,CA,94117,2023-07-01T00:00:00.000,,2023-07-01T00:00:00.000,,577 Howard St Fl 2
1337532-07-231,1148518,Hy Food Company,Iku Sushi,100 Montgomery St Ste 120,San Francisco,CA,94104,2023-07-08T00:00:00.000,,2023-07-08T00:00:00.000,,100 Montgomery St Ste 120
1337534-07-231,1148519,Amigos De Arden,Amigos De Presidio Heights,3437 Clay St Bldg,San Francisco,CA,94118,2023-06-26T00:00:00.000,,2023-06-26T00:00:00.000,,130 Mateo St
1337538-07-231,1148521,"Cru World Wines (Americas), LLC","Cru World Wines (Americas), LLC",201 Spear St Ste 1100,San Francisco,CA,94105,2023-06-29T00:00:00.000,,2023-06-29T00:00:00.000,,201 Spear St Ste 1100
1337540-07-231,1148522,Transreach Talent LLC,Transreach Talent LLC,197 197 Route 18s #3000 # 3000,East Brunswick,NJ,8816,2023-07-10T00:00:00.000,,2023-07-10T00:00:00.000,,197 Route 18s 3000 East Brunswick
1337542-07-231,1148523,Refresh Management,The Clinic,2095 Van Ness Ave,San Francisco,CA,94109,2020-07-17T00:00:00.000,,2020-07-17T00:00:00.000,,320 1st St N Ste 712
1337543-07-231,1148523,Refresh Management,The Clinic,100 Bush St,San Francisco,CA,94104,2020-07-17T00:00:00.000,,2020-07-17T00:00:00.000,,320 1st St N Ste 712
1337544-07-231,1148523,Refresh Management,The Clinic,1736 Divisadero St,San Francisco,CA,94115,2020-07-17T00:00:00.000,,2020-07-17T00:00:00.000,,320 1st St N Ste 712
1337547-07-231,1147020,Parkside T18 LLC,Parkside T18 LLC,755 Taraval St,San Francisco,CA,94116,2021-10-26T00:00:00.000,,2021-10-26T00:00:00.000,,Po Box 210234
1337548-07-231,1148494,Fortified Formation Inc.,Fortified Formation Inc.,50 Santa Clara Ave,San Francisco,CA,94127,2023-07-03T00:00:00.000,,2023-07-03T00:00:00.000,,50 Santa Clara Ave
1337550-07-231,1148525,Meyer Construction Service,Meyer Construction Service,521 W Briardale Ave,Orange,CA,92865,2023-07-10T00:00:00.000,,2023-07-10T00:00:00.000,,Po Box 4488
1337552-07-231,1148526,Angelina T Beltran,Angie's House Cleaning,1035 Visitacion Ave,San Francisco,CA,94134,2023-07-11T00:00:00.000,,2023-07-11T00:00:00.000,,1035 Visitacion Ave
1337554-07-231,1148527,Monica E. Leon,Just Like My Little Home,3440 20th St Apt 109,San Francisco,CA,94110,2021-11-08T00:00:00.000,,2021-11-08T00:00:00.000,,3440 20th St Apt 109
