ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
0131028-01-001,131028,Ng Henry & Betty M,Ng Trust,1390 12th Ave,San Francisco,CA,94122.0,1981-01-01T00:00:00.000,,1981-01-01T00:00:00.000,,768 24th Ave
0131101-01-001,131101,Espinoza Guerrero Etal,El Toro Taqueria,598 Valencia St,San Francisco,CA,94110.0,1981-08-01T00:00:00.000,,1981-08-01T00:00:00.000,,598 Valencia St
0131228-01-001,131228,Morris Austin & Teresa,Shannon Arms,915 Taraval St,San Francisco,CA,94116.0,1981-07-23T00:00:00.000,,1981-07-23T00:00:00.000,,915 Taraval St
0131261-02-001,131261,Szeto Steve C P,Discount Carpet Store,407 Madrid St,San Francisco,CA,94112.0,2013-10-01T00:00:00.000,,2013-10-01T00:00:00.000,,407 Madrid St
0131391-01-001,131391,Biljac Associates,3201 Divisadero St Building,3201 Divisadero St,San Francisco,CA,94123.0,1980-01-01T00:00:00.000,,1980-01-01T00:00:00.000,,3659 Hadley Hill Dr
0131756-01-001,131756,Judith L. Kaminsky,Cookin',339 Divisadero St,San Francisco,CA,94117.0,1981-09-10T00:00:00.000,,1981-09-10T00:00:00.000,,339 Divisadero St
0131862-01-001,131862,Barjesteh Simin,Simis Bazaar,62 West Portal Ave,San Francisco,CA,94127.0,1981-08-01T00:00:00.000,,1981-08-01T00:00:00.000,,62 West Portal Ave
0131864-01-001,131864,Rivers United Inc,500-516 Sutter St Bldg.,500 Sutter St Ste 418,San Francisco,CA,94102.0,1981-01-01T00:00:00.000,,1981-01-01T00:00:00.000,,601 Montgomery St Ste 310
0131864-03-001,131864,Rivers United Inc,529-535 Powell St Property,529 Powell St,San Francisco,CA,94108.0,1981-01-01T00:00:00.000,,1981-01-15T00:00:00.000,,601 Montgomery St Ste 310
0131879-01-001,131879,Hu Herman Dds-A Prof Corp,Hu Herman Dds-A Prof Corp,1711 Lombard St,San Francisco,CA,94123.0,1981-09-01T00:00:00.000,,1994-10-29T00:00:00.000,,1711 Lombard St
0131900-01-001,131900,Taqueria La Cumbre Inc,Taqueria La Cumbre Inc,515 Valencia St,San Francisco,CA,94110.0,1981-09-07T00:00:00.000,,1981-09-07T00:00:00.000,,28 N B St
0131965-01-001,131965,Mendivil Juan A,Juan A Mendivil,2480 Mission St Ste 216,San Francisco,CA,94110.0,1981-05-01T00:00:00.000,,2006-09-05T00:00:00.000,,0000 Undeliverable Mail
0132101-01-001,132101,Collier Warehouse Inc,Collier Warehouse Inc,90 Dorman Ave,San Francisco,CA,94124.0,1979-01-01T00:00:00.000,,1979-01-01T00:00:00.000,,90 Dorman Ave
0132101-02-001,132101,Collier Warehouse Inc,Collier Architectural Products,90 Dorman Ave,San Francisco,CA,94124.0,1979-01-01T00:00:00.000,,1998-02-02T00:00:00.000,,90 Dorman Ave
0132354-01-001,132354,A Ruiz Const Co & Assoc Inc,A Ruiz Const Co & Assoc Inc,1601 Cortland Ave,San Francisco,CA,94110.0,1981-01-01T00:00:00.000,,1999-03-29T00:00:00.000,,1601 Cortland Ave
0132367-01-001,132367,Subercaseaux Anne Y,Subercaseaux Anne Y,911 Church St,San Francisco,CA,94114.0,1981-09-13T00:00:00.000,,1981-09-13T00:00:00.000,,911 Church St
0132409-01-002,132409,Wong Chick Chuen,638-644 Pacific Ave Apts,644 Pacific Ave,San Francisco,CA,94133.0,1981-10-21T00:00:00.000,,1997-08-28T00:00:00.000,,800 Morningside Dr
0132409-02-001,132409,Wong Chick Chuen,638-644 Pacific Ave Bldg,638 Pacific Ave #644,San Francisco,CA,94133.0,1981-10-21T00:00:00.000,,1997-08-28T00:00:00.000,,800 Morningside Dr
0132422-02-001,132422,Mandelman-Benton Rita B,Benton & Associates,1712 Bush St,San Francisco,CA,94109.0,1990-05-02T00:00:00.000,,2004-01-31T00:00:00.000,,1712 Bush St
0132443-02-001,132443,Wang Revocable Trust,315-317 Sutter St Bldg,315 Sutter St,San Francisco,CA,94108.0,1981-01-01T00:00:00.000,,1983-09-06T00:00:00.000,,328 Missouri St
0132443-03-001,132443,Wang Revocable Trust,255 Grant Av Building,255 Grant Ave,San Francisco,CA,94108.0,1981-01-01T00:00:00.000,,1983-09-06T00:00:00.000,,328 Missouri St
0132443-04-001,132443,Wang Revocable Trust,249 Grant Av Building,249 Grant Ave,San Francisco,CA,94108.0,1981-01-01T00:00:00.000,,1983-09-06T00:00:00.000,,328 Missouri St
0132443-05-001,132443,Wang Revocable Trust,301-303 Sutter St Bldg,301 Sutter St #303,San Francisco,CA,94108.0,1981-01-01T00:00:00.000,,1983-09-06T00:00:00.000,,328 Missouri St
0132504-01-001,132504,Sutro Sarah H,Sarah Hanlin Sutro,2150 Steiner St,San Francisco,CA,94115.0,1981-10-20T00:00:00.000,,1981-10-20T00:00:00.000,,2150 Steiner St
0132532-02-001,132532,Guerra Quality Meats Inc,Guerra Quality Meat,490 Taraval St,San Francisco,CA,94116.0,1981-11-01T00:00:00.000,,1987-11-01T00:00:00.000,,490 Taraval St
0132533-01-001,132533,Arthur Ky Wong & Nancy Etal,3255 Laguna Apts,3255 Laguna St,San Francisco,CA,94123.0,1981-01-01T00:00:00.000,,1981-01-01T00:00:00.000,,Po Box 601
0132649-04-001,132649,Saribalis Stephen N Et Al,1781-1795 Church St Apts,1781 Church St,San Francisco,CA,94131.0,1974-04-01T00:00:00.000,,1974-04-01T00:00:00.000,,292 30th St Apt 15
0132649-05-001,132649,Saribalis Stephen N Et Al,292-296 30th St Apartments,292 30th St,San Francisco,CA,94131.0,1974-04-01T00:00:00.000,,1974-04-01T00:00:00.000,,292 30th St Apt 15
0132649-06-001,132649,Saribalis Stephen N Et Al,St Paul's Apartments,292 30th St,San Francisco,CA,94131.0,1974-04-01T00:00:00.000,,2010-05-21T00:00:00.000,,292 30th St Apt 15
0132672-01-001,132672,The Arns Law Firm,The Arns Law Firm,515 Folsom St Fl 3,San Francisco,CA,94105.0,1981-11-01T00:00:00.000,,2004-03-01T00:00:00.000,,515 Folsom St Fl 3
0132685-01-001,132685,Hayes Brian D & Maureen A,Aunt Fannys Hot Pretzel,Pier 39,San Francisco,CA,94102.0,1981-11-15T00:00:00.000,,1981-11-15T00:00:00.000,,39 Pier
0132737-01-001,132737,999 Broadway Apartments,999 Broadway Company,999 Broadway,San Francisco,CA,94133.0,1978-11-03T00:00:00.000,,1978-11-03T00:00:00.000,,Po Box 15746
0132755-01-001,132755,Allen David W Trust,612-650 Alabama Bldg,612 Alabama St,San Francisco,CA,94110.0,1980-08-19T00:00:00.000,,1980-08-19T00:00:00.000,,650 Alabama St Ste 101
0132755-02-001,132755,Allen David W Trust,Allen David W Trust,500 Hampshire St,San Francisco,CA,94110.0,1980-08-19T00:00:00.000,,1980-08-19T00:00:00.000,,650 Alabama St Ste 101
0132755-03-001,132755,Allen David W Trust,Allen David W Trust,550 Florida St,San Francisco,CA,94110.0,1980-08-19T00:00:00.000,,1999-01-01T00:00:00.000,,650 Alabama St Ste 101
0132758-01-001,132758,731 Fell St Associates,731 Fell Apts,731 Fell St,San Francisco,CA,94117.0,1981-01-26T00:00:00.000,,1981-01-26T00:00:00.000,,9720 Golf Club Dr
0132775-01-001,132775,Granese Joseph N Jr,3731 16th St Apts,3731 16th St,San Francisco,CA,94114.0,1981-05-09T00:00:00.000,,1981-05-09T00:00:00.000,,3731 16th St
0132776-01-001,132776,Joun Yong Pong & Chun Mea,2395 35th Av Apartments,2395 35th Ave,San Francisco,CA,94116.0,1981-04-14T00:00:00.000,,1981-04-14T00:00:00.000,,170 Gellert Dr
0132781-01-001,132781,Adams David M & Arlene,1660-1664 Filbert Apts,1660 Filbert St,San Francisco,CA,94123.0,1978-05-12T00:00:00.000,,1978-05-12T00:00:00.000,,35 Grove Hill Ave S
0132783-01-001,132783,Anstedt Theodore R Jr,3700 20th St Apartments,3700 20th St,San Francisco,CA,94110.0,1978-05-05T00:00:00.000,,1978-05-05T00:00:00.000,,714 Van Ness Ave
0132783-02-001,132783,Anstedt Theodore R Jr,3700 20th St Parking,3700 20th St,San Francisco,CA,94110.0,1978-05-05T00:00:00.000,,2013-03-21T00:00:00.000,,714 Van Ness Ave
0132867-02-001,132867,Wong Kwong Leung,K W Electrical Co,2006 34th Ave,San Francisco,CA,94116.0,1999-02-04T00:00:00.000,,2002-01-01T00:00:00.000,,2006 34th Ave
0132878-01-001,132878,Eng Kane Joe,2301 Van Ness Bldg,2301 Van Ness Ave,San Francisco,CA,94109.0,1981-07-30T00:00:00.000,,1981-07-30T00:00:00.000,,1255 Washington St
