ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
1307403-06-221,1136019,Cristen Koetsier,Giggyglamgirl,520 6th St Ste 1,San Francisco,CA,94103.0,2022-06-01T00:00:00.000,,2022-06-01T00:00:00.000,,520 6th St Ste 1
1307405-06-221,1058654,Side Inc,The Besta Group,580 4th St,San Francisco,CA,94107.0,2016-09-01T00:00:00.000,,2022-06-10T00:00:00.000,,580 4th St
1307406-06-221,389312,Luong Bonnie T,Hair On Hyde,1402 California St,San Francisco,CA,94109.0,2005-07-01T00:00:00.000,,2022-06-03T00:00:00.000,,746 Chico Dr
1307407-06-221,1058654,Side Inc,Wellmakers,580 4th St,San Francisco,CA,94107.0,2016-09-01T00:00:00.000,,2022-06-10T00:00:00.000,,580 4th St
1307408-06-221,1058654,Side Inc,The Manly Belmont,580 4th St,San Francisco,CA,94107.0,2016-09-01T00:00:00.000,,2022-06-10T00:00:00.000,,580 4th St
1307414-06-221,1136022,Peace & Haight Inc.,Peace & Haight Inc.,660 Alabama St Ste 2,San Francisco,CA,94110.0,2022-02-18T00:00:00.000,,2022-02-18T00:00:00.000,,660 Alabama St Ste 2
1307417-06-221,1136024,"Krier, Godfrey & Grassbaugh, Inc.",Swaydm,4009 Columbus Sw Rd Unit 222,Granville,OH,43023.0,2021-07-19T00:00:00.000,,2021-07-19T00:00:00.000,,3744 Philipps Rd
1307418-06-221,1136023,Urban Putt Inc,Urban Putt San Francisco,1096 S 1096 Van Ness Ave,San Francisco,CA,94110.0,2012-11-12T00:00:00.000,,2015-05-05T00:00:00.000,,4366 24th St
1307420-06-221,1136025,Birdbox 1 LLC,Birdbox,680 2nd St,San Francisco,CA,94107.0,2022-05-01T00:00:00.000,,2022-05-01T00:00:00.000,,1085 Mission St
1307422-06-221,1136026,126 Post LLC,126 Post LLC,126 Post St,San Francisco,CA,94108.0,2016-07-04T00:00:00.000,,2016-07-04T00:00:00.000,,126 Post St Ste 616
1307423-06-221,453323,Sweet Jane's LLC,Little Jane On California,3585 California St,San Francisco,CA,94118.0,2010-10-13T00:00:00.000,,2022-06-10T00:00:00.000,,2123 Fillmore St
1307424-06-221,414826,Guide By Cell Inc,Engage By Cell,405 Sansome St Fl 4,San Francisco,CA,94111.0,2007-03-03T00:00:00.000,,2022-06-01T00:00:00.000,,5610 A Granny White Pike
1307426-06-221,1136027,Post Union Square Lp,Post Union Square Lp,126 Post St Ste 616,San Francisco,CA,94108.0,2022-01-01T00:00:00.000,,2022-01-01T00:00:00.000,,126 Post St Ste 616
1307428-06-221,1136028,Malcolm Clark,Baho Rental,539 Seventh Ave,San Francisco,CA,94118.0,2022-06-06T00:00:00.000,,2022-06-06T00:00:00.000,,539 Seventh Ave
1307430-06-221,1136029,Terrence Khuu,Khuus Kitchen,2745 42nd Ave,San Francisco,CA,94116.0,2022-06-10T00:00:00.000,,2022-06-10T00:00:00.000,,2745 42nd Ave
1307434-06-221,458691,Think-Now Incorporated,Think Now Incorporated,201 Spear St Ste 1100,San Francisco,CA,94105.0,2011-02-01T00:00:00.000,,2021-11-01T00:00:00.000,,201 Spear St Ste 1100
1307436-06-221,1104681,Sunlight Electri-Cal Solutions,Sunlight Electri-Cal Solutions,6785 Sierra Ct Ste E,Dublin,CA,94568.0,2019-07-25T00:00:00.000,,2019-09-01T00:00:00.000,,3239 San Pablo Way
1307439-06-221,1132639,1537 Jones St Apts,1537 Jones St Apts,1537 Jones St,San Francisco,CA,94109.0,2022-02-25T00:00:00.000,,2022-02-25T00:00:00.000,,1354 Sacramento St Ste A
1307440-06-221,375443,San Francisco Film Society,Sffilm,455 9th St,San Francisco,CA,94103.0,1976-01-01T00:00:00.000,,2022-01-01T00:00:00.000,,455 9th St
1307441-06-221,375443,San Francisco Film Society,San Francisco Film Society,455 9th St,San Francisco,CA,94103.0,1976-01-01T00:00:00.000,,2022-01-01T00:00:00.000,,455 9th St
1307442-06-221,1135906,Brightalytics LLC,Brightalytics,2309 Noriega St Ste 75,San Francisco,CA,94122.0,2022-06-09T00:00:00.000,,2022-06-10T00:00:00.000,,2309 Noriega St # 75
1307443-06-221,1135906,Brightalytics LLC,Colorlytics,2309 Noriega St Ste 75,San Francisco,CA,94122.0,2022-06-09T00:00:00.000,,2022-06-10T00:00:00.000,,2309 Noriega St # 75
1307444-06-221,1135906,Brightalytics LLC,Ot2da,2309 Noriega St Ste 75,San Francisco,CA,94122.0,2022-06-09T00:00:00.000,,2022-06-10T00:00:00.000,,2309 Noriega St # 75
1307445-06-221,1135906,Brightalytics LLC,From There,2309 Noriega St Ste 75,San Francisco,CA,94122.0,2022-06-09T00:00:00.000,,2022-06-10T00:00:00.000,,2309 Noriega St # 75
1307449-06-221,439982,Mo He Ling,H & M Fashion,868 Clay St,San Francisco,CA,94108.0,2009-07-01T00:00:00.000,,2022-06-10T00:00:00.000,,868 Clay St
1307451-06-221,1136034,"Christopher A. Gurries, Dds, Inc.","Christopher A. Gurries, Dds, Inc.",450 Sutter St Rm 2439,San Francisco,CA,94108.0,2022-06-10T00:00:00.000,,2022-06-10T00:00:00.000,,450 Sutter St Rm 2439
1307455-06-221,1136036,Emma Foods Inc,Columbus Burgers,57 Columbus Ave,San Francisco,CA,94111.0,2022-06-10T00:00:00.000,,2022-06-10T00:00:00.000,,57 Columbus Ave
1307457-06-221,1136037,Lavani Wright,Wright's Delights,20 Las Villas Ct,San Francisco,CA,94124.0,2022-06-10T00:00:00.000,,2022-06-10T00:00:00.000,,1036 Meadowlark Dr
1307459-06-221,1136038,Identity Online Inc,Identity Online Inc,548 Market St # Pmb409,San Francisco,CA,94104.0,2022-06-10T00:00:00.000,,2022-06-10T00:00:00.000,,548 Market St Pmb40995
1307461-06-221,1136039,174connecticutsf LLC,174connecticutsf LLC,174 Connecticut St Apt 2,San Francisco,CA,94107.0,2022-06-08T00:00:00.000,,2022-06-08T00:00:00.000,,174 Connecticut St Apt 2
1307465-06-221,1136041,Merwin Lopez,Cowboy Construction West,1291 Maple Ct Apt C,Novato,CA,94947.0,2022-06-07T00:00:00.000,,2022-06-07T00:00:00.000,,1291 Maple Ct Apt C
1307467-06-221,1136042,Katie Wilkerson,Empress Floral Co.,1755 Franklin St Apt 401,San Francisco,CA,94109.0,2022-06-08T00:00:00.000,,2022-06-08T00:00:00.000,,268 Carl St Apt 3
1307469-06-221,1136043,"Idyllic Sf, LLC","Idyllic Sf, LLC",280 San Marcos Ave,San Francisco,CA,94116.0,2022-06-01T00:00:00.000,,2022-06-01T00:00:00.000,,280 San Marcos Ave
1307471-06-221,1136044,Mario Gutierrez,Rodriguez Construction,837 2nd Ave,San Bruno,CA,94066.0,2022-06-07T00:00:00.000,,2022-06-07T00:00:00.000,,837 2nd Ave
1307473-06-221,1136045,6 Brighton Ave,6 Brighton Ave,6 Brighton Ave,San Francisco,CA,94112.0,2022-04-30T00:00:00.000,,2022-04-30T00:00:00.000,,6 Brighton Ave
1307479-06-221,1136048,"Y.A.C, Early Education Services, LLC",225 King Street Apt#211,225 King St Apt 211,San Francisco,CA,94107.0,2022-03-16T00:00:00.000,,2022-03-16T00:00:00.000,,225 King St Apt 211
1307481-06-221,1136049,Dreamer Boyz,Dreamer Boyz,410274 Po Box,San Francisco,CA,94141.0,2022-06-11T00:00:00.000,,2022-06-11T00:00:00.000,,410274 Po Box
1307487-06-221,1136052,Markikis Build Inc,Markikis Build Inc,450 Entrada Dr Apt 10,Novato,CA,94949.0,2022-06-11T00:00:00.000,,2022-06-11T00:00:00.000,,450 Entrada Dr Apt 10
1307491-06-221,1117904,Forecasteasy,Ml Advisory,2265 Broadway St Apt 2,San Francisco,CA,94115.0,2020-09-30T00:00:00.000,,2022-06-11T00:00:00.000,,2265 Broadway St Apt 2
1307493-06-221,1136054,Julie Boulage,Julie Boulage,2936 Gough St,San Francisco,CA,94123.0,2022-06-02T00:00:00.000,,2022-06-02T00:00:00.000,,2936 Gough St
