ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
0345477-01-001,345477,Leung's Brothers Inc,Leung's White Crane Assoc,32 Saint Louis Aly,San Francisco,CA,94133,2001-01-01T00:00:00.000,,2001-01-01T00:00:00.000,,705 Jackson St
0345480-02-999,345480,Bradshaw Mathew J,Bradshaw Construction,30 Malavear Ct,Pacifica,CA,94044,2011-03-14T00:00:00.000,,2011-03-14T00:00:00.000,,30 Malavear Ct
0345553-01-999,345553,Walter Springs Construction,Walter Springs Construction,881 Hurlingame Ave,Redwood City,CA,94063,2004-12-09T00:00:00.000,,2004-12-09T00:00:00.000,,881 Hurlingame Ave
0345565-01-001,345565,Man Eddy W,Master Design Jewelry,888 Brannan St Ste 2142,San Francisco,CA,94103,2001-05-02T00:00:00.000,,2011-06-01T00:00:00.000,,888 Brannan St Ste 1110a
0345588-01-001,345588,Beveridge & Diamond Pc,Beveridge & Diamond Pc,456 Montgomery St Ste 1800,San Francisco,CA,94104,2000-07-01T00:00:00.000,,2000-07-01T00:00:00.000,,1900 N St Nw Ste 100
0345617-01-001,345617,Montano Benjamin,Montano Electric,817 Geneva Ave,San Francisco,CA,94112,2001-05-04T00:00:00.000,,2002-02-25T00:00:00.000,,817 Geneva Ave
0345627-01-001,345627,Brockett Janet L,Elements A Design Group,81 Langton St Unit 5,San Francisco,CA,94103,2001-04-18T00:00:00.000,,2001-04-18T00:00:00.000,,81 Langton St Unit 5
0345628-01-001,345628,Longuemare Maria C,Maria C Longuemare Md Phd,2116 Sutter St Ste 5,San Francisco,CA,94115,2001-05-01T00:00:00.000,,2009-02-23T00:00:00.000,,2116 Sutter St 6ste #
0345630-03-001,345630,Thai Duy Q,Duy Thai Attorney At Law,1 Embarcadero Ctr Ste 2360,San Francisco,CA,94111,2001-05-15T00:00:00.000,,2012-09-01T00:00:00.000,,1 Sansome St Ste 3500
0345637-05-001,345637,Kirkpatrick & Lockhart Preston,K & L Gates Llp,4 Embarcadero Ctr Ste 1200,San Francisco,CA,94111,2000-04-01T00:00:00.000,,2008-11-19T00:00:00.000,,210 6th Ave
0345644-01-999,345644,Fcs Striping Sealing Paving In,Fcs Striping Sealing Paving In,206 Thrasher Ave,Livermore,CA,94551,2001-05-10T00:00:00.000,,2001-05-10T00:00:00.000,,206 Thrasher Ave Po Box 664
0345676-01-001,345676,L&C Diversified LLC,L&C Diversified LLC,243 Kearny St Fl 2,San Francisco,CA,94108,2001-05-01T00:00:00.000,,2001-05-01T00:00:00.000,,150 Executive Park Blvd Ste 4000
0345676-01-002,345676,L&C Diversified LLC,L&C Diversified LLC,150 Executive Park Blvd Ste 1180,San Francisco,CA,94134,2001-05-01T00:00:00.000,,2011-05-08T00:00:00.000,,150 Executive Park Blvd Ste 4000
0345690-04-001,345690,Temby Nathan D,Under The Bench Publishing,50 Golden Gate Ave Apt 500,San Francisco,CA,94102,2001-05-08T00:00:00.000,,2009-06-01T00:00:00.000,,50 Golden Gate Ave Apt 500
0345690-05-001,345690,Temby Nathan D,Piano Bench Records,50 Golden Gate Ave Apt 500,San Francisco,CA,94102,2001-05-08T00:00:00.000,,2006-09-01T00:00:00.000,,50 Golden Gate Ave Apt 500
0345714-01-001,345714,Sf Gu-Zheng Music Society,Sf Gu-Zheng Music Society,450 2nd Ave,San Francisco,CA,94118,1988-04-21T00:00:00.000,,1988-04-21T00:00:00.000,,450 2nd Ave
0345727-02-001,345727,Louie Walter,Walter Louie Cpa,801 Portola Dr Ste 107,San Francisco,CA,94127,2001-05-09T00:00:00.000,,2008-11-06T00:00:00.000,,1813 16th Ave
0345735-02-001,345735,Mark Oium & Reyen Keith,Oium Reyen & Pryor Llp,220 Montgomery St Ste 910,San Francisco,CA,94104,2001-03-01T00:00:00.000,,2006-01-01T00:00:00.000,,433 California St Ste 815
0345747-02-001,345747,Godar Justin Ross,Justin Godar,2241 Quesada Ave,San Francisco,CA,94124,2005-02-07T00:00:00.000,,2005-02-07T00:00:00.000,,2241 Quesada Ave
0345747-03-001,345747,Godar Justin Ross,Godar Furniture,2241 Quesada Ave,San Francisco,CA,94124,2005-02-07T00:00:00.000,,2006-05-10T00:00:00.000,,2241 Quesada Ave
