ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
1255433-07-201,1114425,"Fc 5m H1 Exchange, LLC","Fc 5m H1 Exchange, LLC",415 Natoma St,San Francisco,CA,94103,2020-05-01T00:00:00.000,,2020-07-08T00:00:00.000,,415 Natoma St Ste 100
1255439-07-201,1115641,Eastridge Optometry,Eastridge Optometry,170 O'farrell St,San Francisco,CA,94102,2020-07-04T00:00:00.000,,2020-07-04T00:00:00.000,,6839 Elverton Dr
1255443-07-201,1115643,Julianus Morena,Julianus Morena,1267 Elm Lake Ct,San Jose,CA,95131,2020-07-10T00:00:00.000,,2020-07-10T00:00:00.000,,1267 Elm Lake Ct
1255446-07-201,1110646,"Dovetail Construction, Inc.","Dovetail Architectural Woodworks, Inc.",2725 Pacific Ave,San Francisco,CA,94115,2020-01-17T00:00:00.000,,2020-01-17T00:00:00.000,,Po Box 1375
1255473-07-201,1115657,Lauro Ramos Socop,Ramos Roofing Group,3228 Hyde Ave,Oakland,CA,94601,2020-06-01T00:00:00.000,,2020-06-01T00:00:00.000,,3228 Hyde Ave
1255477-07-201,1115659,Shinichi Eguchi,Shin Eguchi Design,245 9th Ave Apt 5,San Francisco,CA,94118,2020-07-01T00:00:00.000,,2020-07-01T00:00:00.000,,245 9th Ave 5 Apt
1255479-07-201,1115660,Frank Cheung,Ocean Wash & Dry,1306 Ocean Ave,San Francisco,CA,94112,2020-07-10T00:00:00.000,,2020-07-10T00:00:00.000,,2346 48th Ave
1255484-07-201,1002919,Pelta Marc,Pelta Law,1390 Market St Ste 200,San Francisco,CA,94102,2014-07-11T00:00:00.000,,2019-12-01T00:00:00.000,,1390 Market St Ste 200
1255489-07-201,1017234,Lim Lionel,Fika Flowers,1151 Sutter St Ste 1,San Francisco,CA,94109,2015-08-19T00:00:00.000,,2020-07-01T00:00:00.000,,846 Holloway Ave
1255490-07-201,1079202,Fu Shun Accountancy Corporation,Fu Shun Accountancy Corporation,605 Market St Ste 1300,San Francisco,CA,94105,2017-11-16T00:00:00.000,,2020-01-01T00:00:00.000,,Po Box 1951
1255491-07-201,346188,Horneff Waddle Corporation,Horneff Waddle Corporation/Property Management Systems,424 Hamilton St,San Francisco,CA,94134,2001-05-23T00:00:00.000,,2001-05-23T00:00:00.000,,424 Hamilton St
1255495-07-201,474201,San Francisco Electric Tour Co,San Francisco Jeep Tours,165 Jefferson St Ste 2f,San Francisco,CA,94133,2012-11-10T00:00:00.000,,2020-07-10T00:00:00.000,,Po Box 819
1255496-07-201,1003583,Stafford Environmental Services Inc,Bird Solutions International,990 Park Center Dr Ste C,Vista,CA,92081,2014-09-08T00:00:00.000,,2020-07-10T00:00:00.000,,Po Box 927
1255500-07-201,1115664,Seven Hills Llp,Seven Hills Llp,4 Embarcadero Ctr Ste 1400,San Francisco,CA,94111,2020-03-12T00:00:00.000,,2020-03-12T00:00:00.000,,4 Embarcadero Ctr 1400 Ste
1255504-07-201,1115666,Deliberate Ventures LLC,507 Haight Street,507 Haight St Apt A,San Francisco,CA,94117,2020-07-11T00:00:00.000,,2020-07-11T00:00:00.000,,0000 Undeliverable Mail
1255508-07-201,1115668,Miraloma Park Improvement Club,Miraloma Park Improvement Club,350 O'shaughnessy Blvd,San Francisco,CA,94127,1940-07-07T00:00:00.000,,1940-07-07T00:00:00.000,,350 Oshaughnessy Blvd
1255509-07-201,1110224,Justin Chen,Stratroulette,542 Brannan St 411,San Francisco,CA,94107,2020-01-09T00:00:00.000,,2020-07-11T00:00:00.000,,0000 Undeliverable Mail
1255511-07-201,1083096,Shuzhen Zhang,Pota SF,2125 Bryant St Unit 101,San Francisco,CA,94110,2018-02-02T00:00:00.000,,2020-07-10T00:00:00.000,,2125 Bryant St Apt 101
1255512-07-201,933373,Lee Helen & Lee James C,James' Interpreting,798 Monterey Blvd. Unit 2-D,San Francisco,CA,94127,1994-08-11T00:00:00.000,,2020-07-11T00:00:00.000,,798 Monterey Blvd 2d Apt
1255516-07-201,1115670,Kevin Kendrick,Kendrick Associates,Infantry Ter Ste A,San Francisco,CA,94129,2020-07-01T00:00:00.000,,2020-07-01T00:00:00.000,,328a Infantry Ter A Ste
1255520-07-201,1115672,"Perfalytics, Inc",Freshpaint,602 Mason St 403,San Francisco,CA,94108,2019-04-16T00:00:00.000,,2019-04-16T00:00:00.000,,3986 24th St Apt 1
1255526-07-201,1115675,Smiley Ink LLC,Smiley Ink LLC,40963,San Francisco,CA,94140,2020-01-24T00:00:00.000,,2020-01-24T00:00:00.000,,Po Box 40963
1255529-07-201,1003583,Stafford Environmental Services Inc,Bird Solutions International,990 Park Center Dr Ste C,Vista,CA,92081,2014-09-08T00:00:00.000,,2020-07-10T00:00:00.000,,Po Box 927
1255535-07-201,1115677,Greenwise Inc,Cohera,1763 1763 Golden Gate Ave Apt 10,San Francisco,CA,94115,2018-10-17T00:00:00.000,,2018-11-09T00:00:00.000,,1763 1763 Golden Gate Ave 10 Apt
1255542-07-201,1007596,Holly Park Family Home Inc,Holly Park Family Home Inc,321 Holly Park Cir,San Francisco,CA,94110,2014-12-31T00:00:00.000,,2015-01-02T00:00:00.000,,321 Holly Park Cir
1255544-07-201,392820,Enjoy Vegetarian Restaurnt LLC,Vegan Enjoyable,839 Kearny St,San Francisco,CA,94108,2005-11-19T00:00:00.000,,2020-07-08T00:00:00.000,,754 Kirkham St
1255549-07-201,1026898,Schuchart/Dow Inc,Dowbuilt Inc.,3248 17th St,San Francisco,CA,94110,2016-02-01T00:00:00.000,,2016-02-01T00:00:00.000,,4001 Aurora Ave N
1255555-07-201,1115685,Frassa Quality Construction Inc,Frassa Quality Construction Inc,2234 92 Nd Ave,Oakland,CA,94603,2020-07-13T00:00:00.000,,2020-07-13T00:00:00.000,,2234 92 Nd Ave
1255557-07-201,1115686,"Holland, L.P.","Holland, L.P.",1000 Holland Drive,Crete,IL,60417,2020-07-13T00:00:00.000,,2020-07-13T00:00:00.000,,1000 Holland Drive
1255559-07-201,1115687,Lauro Ramos Socop,Ramos Roofing Group,3228 Hyde Ave,Oakland,CA,94601,2020-07-13T00:00:00.000,,2020-07-13T00:00:00.000,,3228 Hyde Ave
1255568-07-201,1115151,Experience World LLC,Experiencegreece.Tours,2193 Fillmore St,San Francisco,CA,94115,2020-06-10T00:00:00.000,,2020-06-10T00:00:00.000,,Po Box 410106
1255570-07-201,1115692,Del Plata Builders Inc,Del Plata Builders Inc,1520 Ingalls St,San Francisco,CA,94124,2020-07-01T00:00:00.000,,2020-07-01T00:00:00.000,,1520 Ingalls St
1255584-07-201,1115700,Michael,Mg Draught Service,1231 3rd Ave Bldg,San Francisco,CA,94122,2020-07-13T00:00:00.000,,2020-07-13T00:00:00.000,,1231 3rd Ave
1255590-07-201,1115703,Jeanne Elliott,Elliott Associates,56 Agua Way,San Francisco,CA,94127,2020-07-13T00:00:00.000,,2020-07-13T00:00:00.000,,56 Agua Way
1255604-07-201,1115710,Pm Koehler Consulting,Pm Koehler Consulting,1410 Franklin Street St Unit 124,San Francisco,CA,94109,2020-05-15T00:00:00.000,,2020-05-15T00:00:00.000,,1410 Franklin Street St 124 Unit
1255617-07-201,1115283,Ashley Boyer,Work Through Worries,527 Irving St,San Francisco,CA,94122,2020-06-28T00:00:00.000,,2020-07-13T00:00:00.000,,527 Irving St
1255618-07-201,1099206,Grd Energy Inc.,Grd Energy Inc.,1 Avenue Of The Palms Ave Ste 10c,San Francisco,CA,94130,2018-01-01T00:00:00.000,,2020-07-01T00:00:00.000,,438 Manzanita Ave
1255619-07-201,1012023,Pix4d Inc,Pix4d Inc.,201 Mission St Ste 560,San Francisco,CA,94105,2015-04-03T00:00:00.000,,2018-03-01T00:00:00.000,,4643 S Ulster St Ste 230
1255620-07-201,1096088,Yotta Electrical Services,"Yotta Electrical Services, Inc.",1452 Hillsdale Ave,San Jose,CA,95118,2018-12-20T00:00:00.000,,2020-07-13T00:00:00.000,,1452 Hillsdale Ave
1255622-07-201,1020441,Kaego Ogbechie Rust,Khor Consulting,1388 Gough St Apt 1108,San Francisco,CA,94109,2015-07-01T00:00:00.000,,2015-11-03T00:00:00.000,,1400 Pine St # 641704
1255626-07-201,1115151,Experience World LLC,Experiencebulgaria.Tours,2193 Fillmore St,San Francisco,CA,94115,2020-06-10T00:00:00.000,,2020-06-10T00:00:00.000,,Po Box 410106
1255627-07-201,327980,Salesforce Inc,Salesforce.Com,450 Mission St,San Francisco,CA,94105,1999-03-01T00:00:00.000,,2020-03-17T00:00:00.000,,50 Fremont St 300 Ste
