ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
1221275-05-191,331411,Luna Piena Inc,Tony Phan,1343 21st Ave,San Francisco,CA,94122.0,2004-05-30T00:00:00.000,,2019-05-09T00:00:00.000,,37 Diamond St
1221276-05-191,447420,Maven Commercial Inc,Jjd Property Management,466 Green St #203,San Francisco,CA,94133.0,2010-01-01T00:00:00.000,,2019-01-01T00:00:00.000,,466 Green St Ste 203
1221278-05-191,1101754,Picore Beristain Initiative Inc.,Picore Beristain Initiative Inc,23679 Calabasas Rd 215,Calabasas,CA,91302.0,2018-01-01T00:00:00.000,,2018-01-01T00:00:00.000,,23679 Calabasas Rd 215 #
1221292-05-191,114279,Keker & Van Nest,"Keker, Van Nest & Peters Llp",633 Battery St,San Francisco,CA,94111.0,1978-10-15T00:00:00.000,,2011-08-01T00:00:00.000,,633 Battery St
1221294-05-191,1101760,Chavez Fencing,Chavez Fencing,5025 Se Amity Dayton Hwy,Amity,OR,97101.0,2019-05-10T00:00:00.000,,2019-05-10T00:00:00.000,,5025 Se Amity Dayton Hwy
1221309-05-191,915510,Municipal Maintenance Equip,Municipal Maintenance Equipment Inc,4634 Mayhew Rd,Sacramento,CA,95827.0,1992-08-26T00:00:00.000,,2017-09-04T00:00:00.000,,4634 Mayhew Rd
1221313-05-191,1101773,Voss Gallery LLC,Voss Gallery,3344 24th St,San Francisco,CA,94110.0,2019-05-10T00:00:00.000,,2019-05-10T00:00:00.000,,485 Frederick St
1221314-05-191,376742,Healthright 360,Healthright 360,852 Avenue D,San Francisco,CA,94130.0,1967-06-01T00:00:00.000,,2019-05-01T00:00:00.000,,1563 Mission St 4 Fl
1221318-05-191,1101777,"121-123-125 Clement St., LLC","121-123-125 Clement St., LLC",500 Masonic Ave,San Francisco,CA,94117.0,2019-05-01T00:00:00.000,,2019-05-01T00:00:00.000,,500 Masonic Ave
1221320-05-191,1101775,Pominville Patrice,Pominville Patrice,273 A States St Unit A,San Francisco,CA,94114.0,2019-05-06T00:00:00.000,,2019-05-06T00:00:00.000,,273a States St Unit A
