ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
1354595-03-241,1155890,Arnrow Domingo,Peridot Properties,447 Sutter St Ste 405,San Francisco,CA,94108.0,2024-03-01T00:00:00.000,,2024-03-01T00:00:00.000,,447 Sutter St Ste 405 #673
1354600-03-241,1104361,Gold Yard Inc,Purtea,1422 Ocean Ave,San Francisco,CA,94112.0,2019-07-08T00:00:00.000,,2023-10-15T00:00:00.000,,2571 22nd Ave
1354602-03-241,1155893,Russelle & Company,Geneva Clean X-Press Plus,1000 Geneva Ave,San Francisco,CA,94112.0,2024-03-01T00:00:00.000,,2024-03-01T00:00:00.000,,117 Appian Way
1354604-03-241,1155894,"Fire-Matic Systems, Inc.","Fire-Matic Systems, Inc.",5165 Brandin Ct,Fremont,CA,94538.0,2024-02-01T00:00:00.000,,2024-02-01T00:00:00.000,,5165 Brandin Ct
1354605-03-241,380300,Mikhailova Tamta R,Breado,295 Buckingham Way,San Francisco,CA,94132.0,2013-03-20T00:00:00.000,,2024-03-01T00:00:00.000,,295 Buckingham Way Apt 901
1354606-03-241,1146596,Botrista Technology Inc,"Botrista Technology, Inc.",55 Hawthorne St,San Francisco,CA,94105.0,2022-04-30T00:00:00.000,,2024-01-01T00:00:00.000,,55 Hawthorne St Fl 11
1354608-03-241,1155895,Leonardo A. Hernandez And Marta G. Hernandez Alvarenga,Leonardo A. Hernandez And Marta G. Hernandez Alvarenga,685 Bellevue Ave,Daly City,CA,94014.0,2024-03-01T00:00:00.000,,2024-03-01T00:00:00.000,,685 Bellevue Ave
1354612-03-241,1155897,Erika Tomlinson,Erika Tomlinson,14349 Po Box,San Francisco,CA,94114.0,2024-03-01T00:00:00.000,,2024-03-01T00:00:00.000,,14349 Po Box
1354614-03-241,1155898,Sl Medicine Pc,Skin Laundry,1870 Union St,San Francisco,CA,94123.0,2024-02-29T00:00:00.000,,2024-02-29T00:00:00.000,,130 Lomita St
1354616-03-241,1155899,Chris & Greg Events LLC,Cg Events,666 28th St,San Francisco,CA,94131.0,2023-09-30T00:00:00.000,,2024-03-01T00:00:00.000,,2150 E Mcmanus Dr
1354620-03-241,1155901,"Future Tense Communications, LLC","Future Tense Communications, LLC",474 21st Ave,San Francisco,CA,94121.0,2024-01-01T00:00:00.000,,2024-01-01T00:00:00.000,,474 21st Ave
1354622-03-241,1155902,Grand View Construction Inc,Grand View Construction Inc,43456 Ellsworth St Unit 351,Fremont,CA,94539.0,2024-03-01T00:00:00.000,,2024-03-01T00:00:00.000,,43456 Ellsworth St Unit 3513
1354624-03-241,1155903,"It Convergence, Inc.","It Convergence, Inc.",511 E John Carpenter Freeway Fwy Ste 500-,Irving,TX,75062.0,2023-01-01T00:00:00.000,,2023-01-01T00:00:00.000,,511 E John Carpenter Freeway Fwy Ste 500-580
1354626-03-241,1155904,"41510.Io, LLC","41510.Io, LLC",5029 Geary Blvd Apt 6,San Francisco,CA,94118.0,2024-02-16T00:00:00.000,,2024-02-16T00:00:00.000,,5029 Geary Blvd Apt 6
1354632-03-241,1155907,Jackson Cebulla,Western Community Works,1405 Franklin St Apt 402,San Francisco,CA,94109.0,2024-03-01T00:00:00.000,,2024-03-01T00:00:00.000,,1405 Franklin St Apt 402
1354634-03-241,1155908,"Peerless Cleaning Services, LLC","Peerless Cleaning Services, LLC",1730 Oakdale Ave,San Francisco,CA,94124.0,2024-02-01T00:00:00.000,,2024-02-01T00:00:00.000,,1730 Oakdale Ave
1354636-03-241,1155909,Bhavishyavani Ravi,3923 19th Street Airbnb,3921 19th St,San Francisco,CA,94114.0,2024-03-01T00:00:00.000,,2024-03-01T00:00:00.000,,3923 19th St
1354638-03-241,1155910,908 Broadway LLC,906 World,906 Broadway,San Francisco,CA,94133.0,2024-01-04T00:00:00.000,,2024-01-04T00:00:00.000,,920 Intracoastal Dr Unit 1403
1354639-03-241,1155910,908 Broadway LLC,908 Coliving,908 Broadway,San Francisco,CA,94133.0,2024-01-04T00:00:00.000,,2024-01-04T00:00:00.000,,920 Intracoastal Dr Unit 1403
1354641-03-241,1155911,Cf Services,Cf Services,1510 20thc Ave Apt 5,San Francisco,CA,94122.0,2024-02-01T00:00:00.000,,2024-02-01T00:00:00.000,,1510 20th Ave Apt 5
1354643-03-241,1155912,Melanie Das,Brainwaves Consulting,1390 Market St Apt 2202,San Francisco,CA,94102.0,2024-03-01T00:00:00.000,,2024-03-01T00:00:00.000,,1390 Market St Apt 2202
1354645-03-241,1155913,Mccreations,"Marigoldinmay, Mccreations",4835 Cushendall Way,Antioch,CA,94531.0,2024-03-01T00:00:00.000,,2024-03-01T00:00:00.000,,0000 Undeliverable Mail
1354648-03-241,445263,Urban Design Consulting Enginr,Urban Design Consulting Engineers,1 Bluxome St Ste 403,San Francisco,CA,94107.0,2010-01-01T00:00:00.000,,2024-02-21T00:00:00.000,,1 Bluxome St Ste 403
1354650-03-241,1155915,Kor Fit Sf LLC,Kor Fit Sf LLC,3727 Buchanan St Ste Grou,San Francisco,CA,94123.0,2024-03-01T00:00:00.000,,2024-03-01T00:00:00.000,,3727 Buchanan St Ste Ground
1354654-03-241,1155917,Michelle Pentz LLC,Michelle Pentz LLC,2221 Lincoln Way,San Francisco,CA,94122.0,2023-06-15T00:00:00.000,,2023-06-15T00:00:00.000,,2221 Lincoln Way
1354656-03-241,1155918,"Life Gate Acupuncture, Inc.","Life Gate Acupuncture, Inc.",2460 Mission St Ste 212,San Francisco,CA,94110.0,2024-01-31T00:00:00.000,,2024-01-31T00:00:00.000,,2460 Mission St Ste 212
1354658-03-241,1155919,Us Hardwood And Carpet Inc,Us Hardwood And Carpet,338 Main St Unit 34d,San Francisco,CA,94105.0,2024-03-02T00:00:00.000,,2024-03-02T00:00:00.000,,1707 Lafayette St
