incident_number,exposure_number,id,address,incident_date,call_number,alarm_dttm,arrival_dttm,close_dttm,city,zipcode,battalion,station_area,box,suppression_units,suppression_personnel,ems_units,ems_personnel,other_units,other_personnel,first_unit_on_scene,estimated_property_loss,estimated_contents_loss,fire_fatalities,fire_injuries,civilian_fatalities,civilian_injuries,number_of_alarms,primary_situation,mutual_aid,action_taken_primary,action_taken_secondary,action_taken_other,detector_alerted_occupants,property_use,area_of_fire_origin,ignition_cause,ignition_factor_primary,ignition_factor_secondary,heat_source,item_first_ignited,human_factors_associated_with_ignition,structure_type,structure_status,floor_of_fire_origin,fire_spread,no_flame_spread,number_of_floors_with_minimum_damage,number_of_floors_with_significant_damage,number_of_floors_with_heavy_damage,number_of_floors_with_extreme_damage,detectors_present,detector_type,detector_operation,detector_effectiveness,detector_failure_reason,automatic_extinguishing_system_present,automatic_extinguishing_sytem_type,automatic_extinguishing_sytem_perfomance,automatic_extinguishing_sytem_failure_reason,number_of_sprinkler_heads_operating,supervisor_district,neighborhood_district,point,data_as_of,data_loaded_at
9017000,0,90170000,2500 Folsom St.,2009-02-26T00:00:00.000,90570344,2009-02-26T20:37:09.000,2009-02-26T20:40:42.000,2009-02-26T20:53:21.000,SF,94110,B06,07,,10,33,1,2,0,0,E07,,,0,0,0,0,1,"653 - Barbecue, tar kettle",,86 - Investigate,,,,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Mission,POINT (-122.41481206 37.75710145),2009-02-26T21:47:57.000,2025-06-01T02:18:08.000
9017001,0,90170010,Taylor St. / North Point St.,2009-02-26T00:00:00.000,90570347,2009-02-26T20:57:33.000,2009-02-26T21:01:32.000,2009-02-26T21:02:03.000,SF,94133,B01,28,,2,9,0,0,0,0,E28,,,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",,86 - Investigate,,,,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,North Beach,POINT (-122.415436 37.806342),2009-02-26T21:09:30.000,2025-06-01T02:18:08.000
9017010,0,90170100,370 18th Av.,2009-02-26T00:00:00.000,90570359,2009-02-26T21:50:27.000,2009-02-26T21:53:36.000,2009-02-26T22:00:41.000,SF,94121,B07,31,,3,10,0,0,0,0,B07,,,0,0,0,0,1,735 - Alarm system sounded due to malfunction,,86 - Investigate,,,,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Outer Richmond,POINT (-122.477195 37.781019),2009-02-26T22:07:29.000,2025-06-01T02:18:08.000
9017011,0,90170110,72 Dukes Ct.,2009-02-26T00:00:00.000,90570360,2009-02-26T21:52:40.000,2009-02-26T21:58:14.000,2009-02-26T22:07:50.000,SF,94107,B10,17,,3,10,2,3,0,0,E17,,,0,0,0,0,1,"311 - Medical assist, assist EMS crew",,32 - Provide basic life support (BLS),34 - Transport person,,,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Bayview Hunters Point,POINT (-122.38661219 37.73747262),2009-02-26T22:36:33.000,2025-06-01T02:18:08.000
9017017,0,90170170,Arleta Av. / Alpha St.,2009-02-26T00:00:00.000,90570366,2009-02-26T22:30:02.000,2009-02-26T22:33:43.000,2009-02-26T22:34:40.000,SF,94134,B10,44,,1,4,0,0,0,0,E44,,,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",,86 - Investigate,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Visitacion Valley,POINT (-122.404844 37.713217),2009-03-30T20:21:50.000,2025-06-01T02:18:08.000
9017021,0,90170210,244 Jackson St.,2009-02-26T00:00:00.000,90570370,2009-02-26T23:05:18.000,2009-02-26T23:09:30.000,2009-02-26T23:23:33.000,SF,94104,B01,13,,3,11,0,0,0,0,T13,,,0,0,0,0,1,"700 - False alarm or false call, other",,86 - Investigate,,,,"439 - Boarding/rooming house, res. hotels",,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Financial District/South Beach,POINT (-122.40006 37.796925),2009-03-01T08:39:19.000,2025-06-01T02:18:08.000
9017023,0,90170230,Portola Dr. / Claremont Bl.,2009-02-26T00:00:00.000,90570372,2009-02-26T23:09:15.000,2009-02-26T23:12:48.000,2009-02-27T00:46:08.000,SF,94116,B08,39,,3,10,0,0,0,0,E39,,,0,0,0,0,1,"311 - Medical assist, assist EMS crew",,55 - Establish safe area,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,West of Twin Peaks,POINT (-122.465236 37.739683),2009-03-02T20:38:47.000,2025-06-01T02:18:08.000
9017024,0,90170240,1692 20th Av.,2009-02-26T00:00:00.000,90570373,2009-02-26T23:16:38.000,2009-02-26T23:21:06.000,2009-02-27T00:02:43.000,SF,94122,B08,22,,3,10,0,0,0,0,E22,,,0,0,0,0,1,735 - Alarm system sounded due to malfunction,,86 - Investigate,,,,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Sunset/Parkside,POINT (-122.478911 37.75792448),2009-03-01T12:00:53.000,2025-06-01T02:18:08.000
9017027,0,90170270,Geneva Av. / Santos St.,2009-02-26T00:00:00.000,90570377,2009-02-26T23:44:19.000,2009-02-26T23:47:42.000,2009-02-26T23:48:46.000,SF,94112,B09,43,,2,9,0,0,0,0,E43,,,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",,86 - Investigate,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Visitacion Valley,POINT (-122.41999676 37.710872),2009-02-26T23:55:13.000,2025-06-01T02:18:08.000
9017031,0,90170310,240 Jones St.,2009-02-27T00:00:00.000,90580005,2009-02-27T00:40:24.000,2009-02-27T00:46:56.000,2009-02-27T00:53:46.000,SF,94109,B03,01,,1,5,0,0,0,0,T03,,,0,0,0,0,1,551 - Assist PD or other Govern. Agency,,75 - Provide equipment,,,,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Tenderloin,POINT (-122.412406 37.783406),2009-03-02T16:16:36.000,2025-06-01T02:18:08.000
9017032,0,90170320,Polk St. / Geary St.,2009-02-27T00:00:00.000,90580006,2009-02-27T00:47:53.000,2009-02-27T00:50:13.000,2009-02-27T00:50:47.000,SF,94109,B04,03,,1,4,0,0,0,0,E03,,,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",,86 - Investigate,,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Tenderloin,POINT (-122.41974 37.785893),2009-04-02T19:51:46.000,2025-06-01T02:18:08.000
9017037,0,90170370,Portola Dr. / Claremont Bl.,2009-02-27T00:00:00.000,90580011,2009-02-27T01:19:03.000,2009-02-27T01:41:00.000,2009-02-27T01:41:02.000,SF,94127,B08,39,,1,4,0,0,0,0,E39,,,0,0,0,0,1,551 - Assist PD or other Govern. Agency,,76 - Provide water,,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,West of Twin Peaks,POINT (-122.465236 37.739683),2009-02-27T07:15:32.000,2025-06-01T02:18:08.000
9017045,0,90170450,Octavia St. / Haight St.,2009-02-27T00:00:00.000,90580020,2009-02-27T02:31:35.000,2009-02-27T02:37:02.000,2009-02-27T02:40:27.000,SF,94117,B02,36,,1,4,0,0,0,0,E36,,,0,0,0,0,1,"150 - Outside rubbish fire, other",,11 - Extinguish,,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Hayes Valley,POINT (-122.423869 37.772943),2009-02-28T18:31:24.000,2025-06-01T02:18:08.000
9017047,0,90170470,2351 Filbert St.,2009-02-27T00:00:00.000,90580023,2009-02-27T02:59:55.000,2009-02-27T03:05:47.000,2009-02-27T03:20:10.000,SF,94123,B04,16,,1,5,0,0,0,0,T16,,,0,0,0,0,1,353 - Removal of victim(s) from stalled elev.,,"23 - Extricate, disentangle",,,,"400 - Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Marina,POINT (-122.43823432 37.79740907),2009-03-02T13:50:56.000,2025-06-01T02:18:08.000
9017054,0,90170540,75 West Point Rd.,2009-02-27T00:00:00.000,90580031,2009-02-27T03:55:16.000,2009-02-27T04:02:36.000,2009-02-27T04:16:06.000,SF,94124,B10,25,,10,33,0,0,0,0,E25,,,0,0,0,0,1,"445 - Arcing, shorted electrical equipment",,45 - Remove hazard,,,,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Bayview Hunters Point,POINT (-122.38018061 37.73609674),2009-03-02T08:38:07.000,2025-06-01T02:18:08.000
9017055,0,90170550,88 6th St.,2009-02-27T00:00:00.000,90580032,2009-02-27T04:04:38.000,2009-02-27T04:12:49.000,2009-02-27T04:21:05.000,SF,94105,B03,01,,1,4,0,0,0,0,E01,,,0,0,0,0,1,554 - Assist invalid,,71 - Assist physically disabled,,,,"439 - Boarding/rooming house, res. hotels",,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,South of Market,POINT (-122.409164 37.780922),2009-04-08T12:13:05.000,2025-06-01T02:18:08.000
9017056,0,90170560,81 Escondido Av.,2009-02-27T00:00:00.000,90580034,2009-02-27T04:21:56.000,2009-02-27T04:28:40.000,2009-02-27T04:33:03.000,SF,94122,B08,19,,3,10,0,0,0,0,T19,,,0,0,0,0,1,745 - Alarm system sounded/no fire-accidental,,82 - Notify other agencies.,,,,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Sunset/Parkside,POINT (-122.4884684 37.73522792),2009-03-02T20:45:19.000,2025-06-01T02:18:08.000
9017071,0,90170710,50 Phelan Av.,2009-02-27T00:00:00.000,90580057,2009-02-27T06:55:27.000,2009-02-27T07:01:30.000,2009-02-27T07:01:30.000,SF,94112,B09,15,,1,4,0,0,0,0,,,,0,0,0,0,1,522 - Water or steam leak,,86 - Investigate,,,,"400 - Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,West of Twin Peaks,POINT (-122.449868 37.725741),2009-12-22T12:02:11.000,2025-06-01T02:18:08.000
9017072,0,90170720,1575 Indiana St.,2009-02-27T00:00:00.000,90580060,2009-02-27T07:01:14.000,2009-02-27T07:06:34.000,2009-02-27T07:52:42.000,SF,94110,B10,25,,3,10,0,0,0,0,B10,,,0,0,0,0,1,741 - Sprinkler activation/no fire-accidental,,86 - Investigate,,,,"529 - Textile, wearing apparel sales",,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Bayview Hunters Point,POINT (-122.39002762 37.75084962),2009-03-02T08:40:41.000,2025-06-01T02:18:08.000
9017073,0,90170730,14th St. / South Van Ness Av.,2009-02-27T00:00:00.000,90580061,2009-02-27T07:02:38.000,2009-02-27T07:06:28.000,2009-02-27T08:26:34.000,SF,94110,B02,36,,1,4,2,3,0,0,92,,,0,0,0,0,1,322 - Vehicle accident with injuries,,32 - Provide basic life support (BLS),,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Mission,POINT (-122.417804 37.768404),2009-12-22T18:37:04.000,2025-06-01T02:18:08.000
9017074,0,90170740,651 Irving St.,2009-02-27T00:00:00.000,90580063,2009-02-27T07:37:57.000,2009-02-27T07:44:52.000,2009-02-27T08:06:57.000,SF,94122,B08,22,,1,5,0,0,0,0,T12,,,0,0,0,0,1,"500 - Service Call, other",,"00 - Action taken, other",,,,592 - Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Inner Sunset,POINT (-122.4641004 37.76407703),2009-02-27T15:05:42.000,2025-06-01T02:18:08.000
9017076,0,90170760,Washington St. / Taylor St.,2009-02-27T00:00:00.000,90580065,2009-02-27T07:49:07.000,2009-02-27T07:58:27.000,2009-02-27T08:00:55.000,SF,94108,B01,02,,1,4,0,0,0,0,E02,,,0,0,0,0,1,413 - Oil or other combustible liquid spill,,45 - Remove hazard,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Nob Hill,POINT (-122.413014 37.794319),2009-04-21T17:56:27.000,2025-06-01T02:18:08.000
9017080,0,90170800,1154 Washington St.,2009-02-27T00:00:00.000,90580074,2009-02-27T08:07:30.000,2009-02-27T08:24:32.000,2009-02-27T08:25:01.000,SF,94109,B01,02,,1,5,0,0,0,0,E02,,,0,0,0,0,1,411 - Gasoline or other flammable liquid spill,,86 - Investigate,,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Nob Hill,POINT (-122.41232687 37.79467052),2009-03-10T10:56:42.000,2025-06-01T02:18:08.000
9017081,0,90170810,Martin Luther King Dr. / Lincoln Wy.,2009-02-27T00:00:00.000,90580075,2009-02-27T08:24:15.000,2009-02-27T08:33:24.000,2009-02-27T09:56:17.000,SF,94117,B05,23,,1,4,1,2,0,0,E12,,,0,0,0,0,1,322 - Vehicle accident with injuries,,33 - Provide advanced life support (ALS),,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Sunset/Parkside,POINT (-122.509399 37.76403),2009-02-28T01:10:24.000,2025-06-01T02:18:08.000
9017083,0,90170830,296 Market St.,2009-02-27T00:00:00.000,90580077,2009-02-27T08:23:06.000,2009-02-27T08:33:31.000,2009-02-27T08:46:00.000,SF,94104,B03,13,,9,31,1,2,0,0,E35,,,0,0,0,0,1,"651 - Smoke scare, odor of smoke",,86 - Investigate,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Financial District/South Beach,POINT (-122.397383 37.792486),2009-02-27T18:20:11.000,2025-06-01T02:18:08.000
9017085,0,90170850,Geary Bl. / Arguello Bl.,2009-02-27T00:00:00.000,90580079,2009-02-27T08:32:05.000,2009-02-27T08:36:22.000,2009-02-27T09:33:49.000,SF,94118,B07,31,,2,6,0,0,0,0,E31,,,0,0,0,0,1,322 - Vehicle accident with injuries,,"30 - Emergency medical services, other",,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Inner Richmond,POINT (-122.45886 37.781255),2009-03-02T15:27:58.000,2025-06-01T02:18:08.000
9017086,0,90170860,1 Sf Intl Airport,2009-02-27T00:00:00.000,90580080,2009-02-27T08:10:14.000,2009-02-27T08:13:12.000,2009-02-27T08:17:49.000,SFO,94128,B09,A1,,2,5,0,0,0,0,AP,,,0,0,0,0,1,"651 - Smoke scare, odor of smoke",,86 - Investigate,,,,974 - Aircraft loading area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-122.38416 37.616901),2009-02-27T09:55:01.000,2025-06-01T02:18:08.000
9017089,0,90170890,Main St. / Bryant St.,2009-02-27T00:00:00.000,90580084,2009-02-27T08:46:28.000,2009-02-27T08:49:01.000,2009-02-27T10:01:42.000,SF,94105,B03,35,,1,4,0,0,0,0,E08,,,0,0,0,0,1,323 - Auto/Ped. Accident (Veh.),,31 - Provide first aid & check for injuries,,,,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Financial District/South Beach,POINT (-122.388785 37.786898),2009-02-27T10:50:22.000,2025-06-01T02:18:08.000
9017090,0,90170900,3063 20th Av.,2009-02-27T00:00:00.000,90580083,2009-02-27T08:42:36.000,2009-02-27T08:50:54.000,2009-02-27T08:56:50.000,SF,94116,B08,19,,2,9,0,0,1,1,T19,,1.0,0,0,0,0,1,"113 - Cooking fire, confined to container",,11 - Extinguish,51 - Ventilate,52 - Forcible entry,U - Unknown,429 - Multifamily dwellings,"24 - Cooking area, kitchen",2 - Unintentional,UU - Undetermined,,81 - Heat; direct flame or convection,26 - Household utensils,N - None,,,,,,,,,,,,,,,,,,,,4.0,Sunset/Parkside,POINT (-122.476055 37.7317),2009-04-09T18:57:39.000,2025-06-01T02:18:08.000
9017092,0,90170920,469 Harkness Av.,2009-02-27T00:00:00.000,90580087,2009-02-27T08:50:59.000,2009-02-27T08:57:59.000,2009-02-27T09:04:20.000,SF,94134,B10,44,,1,4,0,0,0,0,E44,,,0,0,0,0,1,411 - Gasoline or other flammable liquid spill,,45 - Remove hazard,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Visitacion Valley,POINT (-122.40017 37.71795614),2009-03-03T17:11:14.000,2025-06-01T02:18:08.000
9017102,0,90171020,18th St. / Sanchez St.,2009-02-27T00:00:00.000,90580098,2009-02-27T09:35:43.000,2009-02-27T09:40:10.000,2009-02-27T10:16:26.000,SF,94114,B05,06,,2,6,0,0,0,0,E06,,,0,0,0,0,1,322 - Vehicle accident with injuries,,32 - Provide basic life support (BLS),,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Castro/Upper Market,POINT (-122.430574 37.761155),2009-12-10T18:15:01.000,2025-06-01T02:18:08.000
9017103,0,90171030,16th St. / De Haro St.,2009-02-27T00:00:00.000,90580099,2009-02-27T09:38:35.000,2009-02-27T09:41:33.000,2009-02-27T10:35:26.000,SF,94103,B03,29,,1,4,1,2,0,0,E29,,,0,0,0,0,1,323 - Auto/Ped. Accident (Veh.),,32 - Provide basic life support (BLS),,,,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Mission Bay,POINT (-122.401724 37.766132),2009-02-27T16:40:47.000,2025-06-01T02:18:08.000
9017106,0,90171060,Gough St. / Post St.,2009-02-27T00:00:00.000,90580102,2009-02-27T09:42:53.000,2009-02-27T09:46:27.000,2009-02-27T11:01:31.000,SF,94115,B04,03,,1,4,1,2,0,0,E03,,,0,0,0,0,1,323 - Auto/Ped. Accident (Veh.),,32 - Provide basic life support (BLS),,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Japantown,POINT (-122.42486 37.786196),2009-02-28T11:28:28.000,2025-06-01T02:18:08.000
9017116,0,90171160,622 36th Av.,2009-02-27T00:00:00.000,90580123,2009-02-27T10:45:17.000,2009-02-27T10:49:21.000,2009-02-27T10:53:16.000,SF,94121,B07,34,,2,6,0,0,0,0,E34,,,0,0,0,0,1,"600 - Good intent call, other",,86 - Investigate,,,,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Outer Richmond,POINT (-122.495236046 37.777621801),2009-02-27T11:50:11.000,2025-06-01T02:18:08.000
9017117,0,90171170,620 Sutter St.,2009-02-27T00:00:00.000,90580125,2009-02-27T10:47:53.000,2009-02-27T10:54:36.000,2009-02-27T10:57:07.000,SF,94133,B01,03,,3,12,0,0,0,0,B01,,,0,0,0,0,1,745 - Alarm system sounded/no fire-accidental,,86 - Investigate,,,,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Nob Hill,POINT (-122.41073 37.789241),2009-03-02T10:16:37.000,2025-06-01T02:18:08.000
