incident_number,exposure_number,id,address,incident_date,call_number,alarm_dttm,arrival_dttm,close_dttm,city,zipcode,battalion,station_area,box,suppression_units,suppression_personnel,ems_units,ems_personnel,other_units,other_personnel,first_unit_on_scene,estimated_property_loss,estimated_contents_loss,fire_fatalities,fire_injuries,civilian_fatalities,civilian_injuries,number_of_alarms,primary_situation,mutual_aid,action_taken_primary,action_taken_secondary,action_taken_other,detector_alerted_occupants,property_use,area_of_fire_origin,ignition_cause,ignition_factor_primary,ignition_factor_secondary,heat_source,item_first_ignited,human_factors_associated_with_ignition,structure_type,structure_status,floor_of_fire_origin,fire_spread,no_flame_spread,number_of_floors_with_minimum_damage,number_of_floors_with_significant_damage,number_of_floors_with_heavy_damage,number_of_floors_with_extreme_damage,detectors_present,detector_type,detector_operation,detector_effectiveness,detector_failure_reason,automatic_extinguishing_system_present,automatic_extinguishing_sytem_type,automatic_extinguishing_sytem_perfomance,automatic_extinguishing_sytem_failure_reason,number_of_sprinkler_heads_operating,supervisor_district,neighborhood_district,point,data_as_of,data_loaded_at
15122722,0,151227220,1061 MARKET STREET,2015-11-15T00:00:00.000,153192274,2015-11-15T15:35:20.000,2015-11-15T15:41:59.000,2015-11-15T15:45:11.000,San Francisco,94103,B02,1,2248,3,11,0,0,0,0,,,,0,0,0,0,1,"743 Smoke detector activation, no fire - unintentional",N None,86 Investigate,,,,429 Multifamily dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,South of Market,POINT (-122.411496 37.781187),2015-11-15T15:45:11.000,2025-06-01T02:18:08.000
15122723,0,151227230,2333 BUCHANAN STREET,2015-11-15T00:00:00.000,153192285,2015-11-15T15:40:16.000,2015-11-15T15:42:34.000,2015-11-15T15:54:04.000,San Francisco,94115,B04,38,343,3,10,0,0,0,0,,,,0,0,0,0,1,733 Smoke detector activation due to malfunction,N None,86 Investigate,63 Restore fire alarm system,84 Refer to proper authority,,331 Hospital - medical or psychiatric,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Pacific Heights,POINT (-122.431434 37.790615),2015-11-15T15:54:04.000,2025-06-01T02:18:08.000
15122724,0,151227240,373 ELLIS ST 103,2015-11-15T00:00:00.000,153192288,2015-11-15T15:38:27.000,2015-11-15T15:44:29.000,2015-11-15T16:08:06.000,San Francisco,94102,B03,3,1461,3,11,0,0,0,0,,,,0,0,0,0,1,"500 Service Call, other",N None,"60 Systems and services, other",,,,429 Multifamily dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Tenderloin,POINT (-122.412295 37.784858),2015-11-15T16:08:06.000,2025-06-01T02:18:08.000
15122726,0,151227260,50 OFARRELL STREET,2015-11-15T00:00:00.000,153192331,2015-11-15T15:54:07.000,2015-11-15T16:00:01.000,2015-11-15T16:05:50.000,San Francisco,94102,B01,1,1321,1,4,0,0,0,0,,,,0,0,0,0,1,411 Gasoline or other flammable liquid spill,N None,44 Hazardous materials leak control & containment,,,,963 Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Financial District/South Beach,POINT (-122.405953 37.78698),2015-11-15T16:05:50.000,2025-06-01T02:18:08.000
15122737,0,151227370,2728 BAKER STREET,2015-11-15T00:00:00.000,153192451,2015-11-15T16:23:39.000,2015-11-15T16:28:27.000,2015-11-15T16:33:33.000,San Francisco,94123,B04,16,4312,3,10,0,0,0,0,,,,0,0,0,0,1,"730 System malfunction, other",N None,86 Investigate,63 Restore fire alarm system,,,419 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Marina,POINT (-122.445386 37.796132),2015-11-15T16:33:33.000,2025-06-01T02:18:08.000
15122741,0,151227410,630 3RD STREET,2015-11-15T00:00:00.000,153192508,2015-11-15T16:35:21.000,2015-11-15T16:41:41.000,2015-11-15T17:19:57.000,San Francisco,94107,B03,8,2172,3,10,0,0,0,0,,,,0,0,0,0,1,735 Alarm system sounded due to malfunction,N None,86 Investigate,,,,599 Business office,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,South of Market,POINT (-122.393867 37.779644),2015-11-15T17:19:57.000,2025-06-01T02:18:08.000
15122744,0,151227440,3035 24TH AVENUE,2015-11-15T00:00:00.000,153192548,2015-11-15T16:43:40.000,2015-11-15T16:49:33.000,2015-11-15T16:53:35.000,San Francisco,94132,B08,19,8734,1,5,0,0,0,0,,,,0,0,0,0,1,"510 Person in distress, other",N None,73 Provide manpower,,,,"400 Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Sunset/Parkside,POINT (-122.480161 37.732012),2015-11-15T16:53:35.000,2025-06-01T02:18:08.000
15122751,0,151227510,840 BRANNAN STREET,2015-11-15T00:00:00.000,153192626,2015-11-15T17:04:20.000,2015-11-15T17:08:27.000,2015-11-15T17:14:13.000,San Francisco,94103,B03,29,2325,8,29,2,4,1,2,,,,0,0,0,0,1,"600 Good intent call, other",N None,86 Investigate,,,,"500 Mercantile, business, other",,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,South of Market,POINT (-122.404175 37.772384),2015-11-15T17:14:13.000,2025-06-01T02:18:08.000
15122752,0,151227520,147 ORIZABA AVENUE,2015-11-15T00:00:00.000,153192639,2015-11-15T17:05:46.000,2015-11-15T17:13:38.000,2015-11-15T17:29:47.000,San Francisco,94112,B09,33,8375,1,4,0,0,0,0,,,,0,0,0,0,1,"520 Water problem, other",N None,64 Shut down system,,,,"400 Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Oceanview/Merced/Ingleside,POINT (-122.462665 37.712352),2015-11-15T17:29:47.000,2025-06-01T02:18:08.000
15122756,0,151227560,2433 LARKIN ST 5,2015-11-15T00:00:00.000,153192680,2015-11-15T17:17:02.000,2015-11-15T17:26:14.000,2015-11-15T18:53:54.000,San Francisco,94109,B01,41,1626,1,4,1,2,0,0,,,,0,0,0,0,1,"321 EMS call, excluding vehicle accident with injury",N None,32 Provide basic life support (BLS),,,,429 Multifamily dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Russian Hill,POINT (-122.421033 37.800219),2015-11-15T18:53:54.000,2025-06-01T02:18:08.000
15122757,0,151227570,1824 SUNNYDALE AVENUE,2015-11-15T00:00:00.000,153192683,2015-11-15T17:18:32.000,2015-11-15T17:37:53.000,2015-11-15T17:46:56.000,San Francisco,94134,B09,43,6241,1,5,0,0,0,0,,,,0,0,0,0,1,"550 Public service assistance, other",N None,75 Provide equipment,,,,"400 Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Visitacion Valley,POINT (-122.419833 37.712942),2015-11-15T17:46:56.000,2025-06-01T02:18:08.000
15122758,0,151227580,601 LAGUNA STREET,2015-11-15T00:00:00.000,153192725,2015-11-15T17:27:43.000,2015-11-15T17:32:32.000,2015-11-15T17:39:33.000,San Francisco,94102,B02,36,3413,3,11,0,0,0,0,,,,0,0,0,0,1,"743 Smoke detector activation, no fire - unintentional",N None,86 Investigate,,,,"311 24-hour care Nursing homes, 4 or more persons",,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Hayes Valley,POINT (-122.426364 37.77652),2015-11-15T17:39:33.000,2025-06-01T02:18:08.000
15122759,0,151227590,730 STANYAN STREET,2015-11-15T00:00:00.000,153192749,2015-11-15T17:35:16.000,2015-11-15T17:40:04.000,2015-11-15T18:42:48.000,San Francisco,94117,B05,12,4552,3,10,2,3,0,0,,,,0,0,0,0,1,"900 Special type of incident, other",N None,"00 Action taken, other",,,,"519 Food and beverage sales, grocery store",,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Haight Ashbury,POINT (-122.45321 37.76892),2015-11-15T18:42:48.000,2025-06-01T02:18:08.000
15122768,0,151227680,2 BAYSIDE VILLAGE PLACE,2015-11-15T00:00:00.000,153192852,2015-11-15T18:01:35.000,2015-11-15T18:07:29.000,2015-11-15T18:20:41.000,San Francisco,94107,B03,8,2134,3,10,0,0,0,0,,,,0,0,0,0,1,"743 Smoke detector activation, no fire - unintentional",N None,86 Investigate,,,,429 Multifamily dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Financial District/South Beach,POINT (-122.390317 37.78408),2015-11-15T18:20:41.000,2025-06-01T02:18:08.000
15122769,0,151227690,CLEMENT ST/26TH AVENUE,2015-11-15T00:00:00.000,153192860,2015-11-15T18:03:15.000,2015-11-15T18:11:40.000,2015-11-15T18:54:13.000,San Francisco,94121,B07,14,7221,1,4,1,2,0,0,,,,0,0,0,0,1,322 Motor vehicle accident with injuries,N None,31 Provide first aid & check for injuries,,,,"962 Residential street, road or residential driveway",,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Outer Richmond,POINT (-122.485945 37.781972),2015-11-15T18:54:13.000,2025-06-01T02:18:08.000
15122771,0,151227710,850 BRODERICK STREET,2015-11-15T00:00:00.000,153192864,2015-11-15T18:05:06.000,2015-11-15T18:11:32.000,2015-11-15T18:17:23.000,San Francisco,94115,B05,21,4242,1,5,0,0,0,0,,,,0,0,0,0,1,353 Removal of victim(s) from stalled elevator,N None,"22 Rescue, remove from harm",,,,"439 Boarding/rooming house, residential hotels",,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Western Addition,POINT (-122.440038 37.778068),2015-11-15T18:17:23.000,2025-06-01T02:18:08.000
