geolocation,industry_description,number_of_establishments_2021,total_employment_at_2021,paid_employees_at_2021,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2021,total_revenue_2021,total_expense_2021,compensation_2021,other_expense_2021,value_added_2021,gross_additions_to_tangible_fixed_assets_2021,change_in_inventories_2021,sales_from_e-commerce_transactions_2021,subsidies_2021
Philippines,Human Health and Social Work Activities,7262,218620,216408,12963,270136629,230462740,58497843,171964897,130255768,19729701,24099,363,476109
Philippines,Hospital activities,1078,157368,156952,10973,194752611,166016827,45455264,120561563,99373832,16727366,-71734,0,335160
Philippines,Medical and dental practice activities,5370,48877,47762,1495,57458054,49404540,10660700,38743840,23389775,2173474,134316,363,102296
Philippines,Other human health activities,315,3312,3212,24,1644632,1526411,463576,1062835,793692,112485,-34974,0,91
Philippines,Residential nursing care facilities,7,101,100,94,34984,34974,11419,23554,19299,7744,246,0,0
Philippines,"Residential care activities for mental retardation,  mental health and substance abuse",46,1233,1112,34,1028496,941017,244485,696532,564758,7114,5624,0,105
Philippines,Residential care activities for the elderly and disabled,5,77,54,1,29385,22979,8235,14744,17698,0,0,0,300
Philippines,"Other residential care activities, n.e.c.",109,1763,1626,34,1329507,1198277,362210,836067,560183,27995,-2189,0,6055
Philippines,Social work activities without accommodation  for the elderly and disabled,11,106,100,4,86752,76793,27882,48911,52834,182,518,0,2257
Philippines,"Other social work activities without accommodation, n.e.c.",321,5783,5490,305,13772208,11240923,1264073,9976851,5483696,673343,-7709,0,29846
National Capital Region,Human Health and Social Work Activities,2252,70316,69995,4723,121067985,103611634,26601026,77010608,60357341,9179231,-45174,363,39385
National Capital Region,Hospital activities,147,41682,41642,3920,78519185,67981443,19043950,48937493,42144808,7572987,-60249,0,39304
National Capital Region,Medical and dental practice activities,1762,21596,21354,680,30973342,25891237,6019801,19871436,13530211,1500019,15472,363,0
National Capital Region,Other human health activities,137,2048,2048,0,1025350,984539,284495,700043,449314,92724,-104,0,0
National Capital Region,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Region,"Residential care activities for mental retardation,  mental health and substance abuse",23,786,786,25,879035,820107,202874,617233,493428,6794,0,0,0
National Capital Region,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Region,"Other residential care activities, n.e.c.",36,835,804,8,628059,559830,208747,351084,256366,751,0,0,0
National Capital Region,Social work activities without accommodation  for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Region,"Other social work activities without accommodation, n.e.c.",147,3370,3362,91,9043014,7374479,841159,6533319,3483214,5955,-292,0,82
Cordillera Administrative Region,Human Health and Social Work Activities,155,2606,2507,2,2701361,1860819,461185,1399633,1482822,59769,23136,0,62218
Cordillera Administrative Region,Hospital activities,15,1774,1772,0,2170223,1426815,339478,1087336,1252489,54709,20663,0,62218
Cordillera Administrative Region,Medical and dental practice activities,120,714,624,0,474392,387008,101025,285983,193380,4833,2503,0,0
Cordillera Administrative Region,Other human health activities,6,12,12,0,2447,3909,1444,2465,157,0,0,0,0
Cordillera Administrative Region,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Residential care activities for mental retardation,  mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Other residential care activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Social work activities without accommodation  for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Other social work activities without accommodation, n.e.c.",10,75,75,0,39608,29650,14741,14909,25936,0,0,0,0
Ilocos Region,Human Health and Social Work Activities,332,7713,7566,165,6181482,4927681,1168448,3759233,2881021,22143,20894,0,0
Ilocos Region,Hospital activities,71,6327,6280,141,4976537,3835563,1005946,2829618,2547142,12458,33033,0,0
Ilocos Region,Medical and dental practice activities,246,1218,1146,16,1082781,994186,134691,859495,267523,7970,1053,0,0
Ilocos Region,Other human health activities,12,156,128,4,96074,74456,25834,48623,61654,1715,-13145,0,0
Ilocos Region,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,"Residential care activities for mental retardation,  mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,"Other residential care activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Social work activities without accommodation  for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,"Other social work activities without accommodation, n.e.c.",3,12,12,5,26090,23475,1977,21498,4702,0,-47,0,0
Cagayan Valley,Human Health and Social Work Activities,134,4705,4673,209,4851332,3070196,850557,2219639,3009666,113337,7250,0,21109
Cagayan Valley,Hospital activities,34,3242,3222,156,4014466,2491889,629726,1862163,2439134,86444,772,0,21049
Cagayan Valley,Medical and dental practice activities,93,1406,1396,53,824021,569509,215542,353967,560296,26893,6565,0,0
Cagayan Valley,Other human health activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,"Residential care activities for mental retardation,  mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,"Other residential care activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Social work activities without accommodation  for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,"Other social work activities without accommodation, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Human Health and Social Work Activities,777,22947,22775,1177,22731545,18735857,4453774,14282083,10792539,2390647,58169,0,21137
Central Luzon,Hospital activities,137,18299,18287,968,16832859,13430052,3555324,9874728,8552821,2195927,10404,0,20601
Central Luzon,Medical and dental practice activities,571,4128,4056,205,5634525,5071811,828893,4242918,2099372,167593,69577,0,0
Central Luzon,Other human health activities,40,220,166,0,119153,110308,28383,81925,68542,10421,-21814,0,0
Central Luzon,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,"Residential care activities for mental retardation,  mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,"Other residential care activities, n.e.c.",16,168,156,2,63537,59359,29336,30023,38465,9392,2,0,478
Central Luzon,Social work activities without accommodation  for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,"Other social work activities without accommodation, n.e.c.",13,133,110,1,81471,64328,11840,52488,33338,7315,0,0,58
Calabarzon,Human Health and Social Work Activities,1143,33344,32946,2038,40888657,35506650,7930204,27576446,17015356,1196512,49063,0,129400
Calabarzon,Hospital activities,166,25752,25699,1897,30898345,26688843,6642398,20046445,13801491,941307,59254,0,99290
Calabarzon,Medical and dental practice activities,914,6648,6370,119,7178020,6558254,1155443,5402810,2544510,255019,-12538,0,0
Calabarzon,Other human health activities,30,272,268,6,108149,98462,44703,53759,68834,0,-23,0,0
Calabarzon,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,"Residential care activities for mental retardation,  mental health and substance abuse",8,127,127,0,52219,54564,18381,36183,19956,49,2114,0,0
Calabarzon,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,"Other residential care activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Social work activities without accommodation  for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,"Other social work activities without accommodation, n.e.c.",14,397,343,14,2408185,1886307,51480,1834826,517418,137,3,0,30110
Mimaropa Region,Human Health and Social Work Activities,98,3021,2979,207,2673203,2146338,619625,1526713,1368011,173144,-22018,0,0
Mimaropa Region,Hospital activities,23,1993,1988,207,2380287,1877103,512432,1364671,1203027,153910,-19255,0,0
Mimaropa Region,Medical and dental practice activities,64,928,904,0,170405,121754,63213,58541,121249,8665,-2669,0,0
Mimaropa Region,Other human health activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,"Residential care activities for mental retardation,  mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,"Other residential care activities, n.e.c.",4,37,33,0,25014,19410,5132,14278,16971,0,-67,0,0
Mimaropa Region,Social work activities without accommodation  for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,"Other social work activities without accommodation, n.e.c.",7,63,54,0,97498,128070,38848,89222,26764,10569,-28,0,0
Bicol Region,Human Health and Social Work Activities,270,6618,6256,258,4532525,3992648,1291199,2701448,2288266,295364,60135,0,3382
Bicol Region,Hospital activities,54,4853,4846,166,3252805,2886923,1044366,1842557,1787824,281252,61171,0,3028
Bicol Region,Medical and dental practice activities,177,1134,1018,58,752667,656325,178244,478081,323480,3527,-1751,0,0
Bicol Region,Other human health activities,7,40,40,3,18232,22592,5386,17207,12268,0,0,0,0
Bicol Region,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,"Residential care activities for mental retardation,  mental health and substance abuse",3,158,32,0,10108,8028,2803,5225,5056,0,0,0,300
Bicol Region,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,"Other residential care activities, n.e.c.",5,34,29,0,16281,13160,4007,9153,12799,0,17,0,0
Bicol Region,Social work activities without accommodation  for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,"Other social work activities without accommodation, n.e.c.",25,399,291,31,482433,405620,56394,349226,146840,10585,698,0,53
Western Visayas,Human Health and Social Work Activities,391,12234,12103,930,11712978,10122663,2774922,7347741,5556017,891187,-128050,0,9632
Western Visayas,Hospital activities,31,9262,9262,740,9867895,8725691,2293935,6431756,4491612,883873,-104413,0,6682
Western Visayas,Medical and dental practice activities,314,2543,2517,58,1302893,1158289,436718,721572,695354,3373,-23713,0,0
Western Visayas,Other human health activities,9,60,60,0,37669,26455,8123,18332,21231,3804,121,0,0
Western Visayas,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,"Residential care activities for mental retardation,  mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,"Other residential care activities, n.e.c.",12,173,108,2,73524,46628,13141,33488,43958,0,0,0,1150
Western Visayas,Social work activities without accommodation  for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,"Other social work activities without accommodation, n.e.c.",25,195,156,130,430996,165601,23007,142593,303862,136,-46,0,1800
Central Visayas,Human Health and Social Work Activities,516,17185,17029,1091,18181299,18132872,4209186,13923685,7528001,1904648,-126318,0,13886
Central Visayas,Hospital activities,84,13782,13694,861,14737756,14920137,3524251,11395886,6185458,1844873,-174472,0,11379
Central Visayas,Medical and dental practice activities,363,2775,2728,129,2924748,2651810,509172,2142638,967215,43226,55139,0,2007
Central Visayas,Other human health activities,20,98,98,9,35007,33968,15664,18304,19194,60,-91,0,0
Central Visayas,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,"Residential care activities for mental retardation,  mental health and substance abuse",6,54,54,92,34497,27262,6180,21081,15607,7739,-8,0,0
Central Visayas,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,"Other residential care activities, n.e.c.",12,196,194,0,157177,147005,47134,99871,81339,7700,0,0,500
Central Visayas,Social work activities without accommodation  for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,"Other social work activities without accommodation, n.e.c.",31,281,261,0,292115,352691,106785,245906,259188,1050,-6887,0,0
Eastern Visayas,Human Health and Social Work Activities,157,4661,4623,385,4408739,3560406,957736,2602671,2183131,626019,40515,0,150420
Eastern Visayas,Hospital activities,35,3657,3632,353,3780080,3130751,808663,2322088,1806315,615120,12569,0,46460
Eastern Visayas,Medical and dental practice activities,110,927,916,31,576057,388371,132467,255904,345173,10889,27945,0,100288
Eastern Visayas,Other human health activities,6,16,14,0,1460,2073,990,1083,700,10,-1,0,0
Eastern Visayas,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,"Residential care activities for mental retardation,  mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,"Other residential care activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Social work activities without accommodation  for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,"Other social work activities without accommodation, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Human Health and Social Work Activities,134,4290,4207,171,3409721,2449014,966151,1482863,2232121,266418,62343,0,0
Zamboanga Peninsula,Hospital activities,37,3755,3729,166,2881194,2065037,864882,1200155,1957314,263164,61125,0,0
Zamboanga Peninsula,Medical and dental practice activities,87,458,408,0,455851,325819,89671,236147,225560,3254,-2440,0,0
