id,incident_number,incident_code,category,descript,day_of_the_week,date,time,police_dept_district,resolution,address,location_x_axis,location_y_axis
11028552665015,110285526,65015,OtherOffenses,Traffic Violation,Friday,2011-04-08,07:52,Mission,"Arrest, Cited","Valencia St, 23rd St",-122.420814360139,37.7537031921344
3050572911010,30505729,11010,StolenProperty,Receiving Stolen Property,Wednesday,2003-04-30,13:15,Ingleside,"Arrest, Booked",4900 Block Of Mission St,-122.438519414468,37.719605303427
6101456509310,61014565,9310,Fraud,"Credit Card, Theft Of",Friday,2006-09-22,14:00,Northern,Unfounded,1200 Block Of Vanness Avenue,-122.421441956086,37.7868516471087
3050750926150,30507509,26150,OtherOffenses,Parole Violation,Wednesday,2003-04-30,18:57,Northern,"Arrest, Booked","Buchanan St, Larch St",-122.428950820315,37.7813911566356
5070335106214,50703351,6214,Larceny/theft,Grand Theft Motorcycle Strip,Monday,2005-06-20,22:00,Central,None,"Greenwich St, Columbus Avenue",-122.412545199397,37.8019305813519
5095570672000,50955706,72000,Non-criminal,Found Property,Thursday,2005-08-25,14:13,Ingleside,None,4300 Block Of Mission St,-122.4327618362,37.7274388238677
12024196606304,120241966,6304,Larceny/theft,Grand Theft From A Building,Saturday,2012-03-17,21:35,Northern,None,1500 Block Of Broadway St,-122.422617297546,37.7958935012253
5034422809120,50344228,9120,Forgery/counterfeiting,"Forgery, Drivers License Or Id-card",Monday,2005-03-28,09:00,Central,None,2200 Block Of Leavenworth St,-122.41777148469,37.8015056603454
11604426106374,116044261,6374,Larceny/theft,Grand Theft Of Property,Tuesday,2011-04-05,13:30,Southern,None,0 Block Of Mint St,-122.40747925259,37.7823625392664
4028843219057,40288432,19057,Assault,Threats Against Life,Wednesday,2003-10-29,00:01,Tenderloin,None,100 Block Of Mcallister St,-122.41452262258,37.7808752665663
10119151007021,101191510,7021,VehicleTheft,Stolen Automobile,Tuesday,2010-12-28,08:00,Bayview,None,1100 Block Of Fitzgerald Avenue,-122.39036028161,37.7205064590363
5014956707055,50149567,7055,VehicleTheft,Recovered Vehicle - Stolen Outside Sf,Monday,2005-02-07,17:30,Northern,None,100 Block Of Sanchez St,-122.431145125864,37.7663920950126
9074086865015,90740868,65015,OtherOffenses,Traffic Violation,Tuesday,2009-07-21,10:00,Mission,"Arrest, Cited","Folsom St, 23rd St",-122.414233849038,37.7540986882068
9026038326170,90260383,26170,OtherOffenses,Probation Violation,Thursday,2009-03-12,07:15,Tenderloin,"Arrest, Booked","Ellis St, Leavenworth St",-122.414433155063,37.7846576329256
5059421305052,50594213,5052,Burglary,"Burglary Of Store, Attempted Forcible Entry",Friday,2005-05-27,19:40,Northern,None,1800 Block Of Polk St,-122.421250454707,37.7937178972146
6095746365015,60957463,65015,OtherOffenses,Traffic Violation,Friday,2006-09-08,01:23,Mission,"Arrest, Booked","Mission St, 21st St",-122.418904204517,37.7570361132269
6023856405082,60238564,5082,Burglary,"Burglary, Hot Prowl, Attempted Forcible Entry",Friday,2006-03-03,09:55,Southern,None,800 Block Of Bryant St,-122.403404791479,37.775420706711
7607012606244,76070126,6244,Larceny/theft,Grand Theft From Locked Auto,Thursday,2006-12-21,03:20,Bayview,None,200 Block Of Hester Avenue,-122.399713862126,37.7134248562301
13051680606314,130516806,6314,Larceny/theft,Grand Theft Bicycle,Friday,2013-02-01,17:00,Central,None,200 Block Of Lombard St,-122.405355791173,37.8037825925855
7129489865016,71294898,65016,OtherOffenses,"Drivers License, Suspended Or Revoked",Wednesday,2007-12-19,03:39,Ingleside,"Arrest, Cited","Ocean Av, Geneva Avenue",-122.452330120871,37.7230787059359
4083937006244,40839370,6244,Larceny/theft,Grand Theft From Locked Auto,Thursday,2004-07-22,10:00,Northern,None,"Franklin St, Mcallister St",-122.421893134474,37.779891233591
5105409807055,51054098,7055,VehicleTheft,Recovered Vehicle - Stolen Outside Sf,Monday,2005-09-19,13:15,Ingleside,"Arrest, Booked",900 Block Of Rolph St,-122.428709344882,37.7110930312676
13612743306244,136127433,6244,Larceny/theft,Grand Theft From Locked Auto,Monday,2013-07-22,11:55,Northern,None,600 Block Of Laguna St,-122.4263385052,37.7771737645216
4038265807055,40382658,7055,VehicleTheft,Recovered Vehicle - Stolen Outside Sf,Saturday,2004-04-03,10:37,Bayview,None,300 Block Of Barneveld Avenue,-122.40330744348,37.7425552706397
12004283319050,120042833,19050,OtherOffenses,Obscene Phone Calls(s),Monday,2010-03-15,00:01,Northern,None,2000 Block Of Chestnut St,-122.436775838314,37.8006947037442
6116508328150,61165083,28150,Vandalism,"Malicious Mischief, Vandalism",Wednesday,2006-11-01,01:53,Southern,"Arrest, Cited",900 Block Of Market St,-122.409536662692,37.7826911213472
