"fiscal_year","revenue_or_spending","related_govt_unit","organization_group_code","organization_group","department_code","department","program_code","program","character_code","character","object_code","object","sub_object_code","sub_object","fund_type_code","fund_type","fund_code","fund","fund_category_code","fund_category","budget","data_as_of","data_loaded_at"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","001","Salaries","011","Overtime","01101","Overtime - Misc","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","324014.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","001","Salaries","001","Permanent Salaries-Misc","00101","Misc-Regular","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","8033191.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","001","Salaries","009","Premium Pay","00901","Premium Pay - Misc","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","121534.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","001","Salaries","005","Temp Salaries-Misc","00501","Temp-Regular-Misc","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","30267.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","081","Services of Other Depts","081","Services of Other Depts (AAO Funds)","081MR","EF-Municipal Railway","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","70000.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","081","Services of Other Depts","081","Services of Other Depts (AAO Funds)","081UW","EF-PUC-Water","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","1053061.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","081","Services of Other Depts","081","Services of Other Depts (AAO Funds)","081HS","GF-CHS-Medical Service","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","100000.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","081","Services of Other Depts","081","Services of Other Depts (AAO Funds)","081HT","GF-CHS-Toxics Waste & Hazard Mat Svc","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","35000.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","081","Services of Other Depts","081","Services of Other Depts (AAO Funds)","081EV","GF-Environment","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","39782.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","081","Services of Other Depts","081","Services of Other Depts (AAO Funds)","081PM","GF-Purch-Mail Services","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","16000.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","081","Services of Other Depts","081","Services of Other Depts (AAO Funds)","081PA","IS-Purch-Central Shops-Auto Maint","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","549904.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","081","Services of Other Depts","081","Services of Other Depts (AAO Funds)","081PF","IS-Purch-Central Shops-Fuel Stock","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","173617.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","081","Services of Other Depts","081","Services of Other Depts (AAO Funds)","081PR","IS-Purch-Reproduction","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","7139.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","081","Services of Other Depts","081","Services of Other Depts (AAO Funds)","081WA","SR-DPW-Architecture","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","70000.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","081","Services of Other Depts","081","Services of Other Depts (AAO Funds)","081WB","SR-DPW-Building Repair","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","150668.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","081","Services of Other Depts","081","Services of Other Depts (AAO Funds)","081WE","SR-DPW-Engineering","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","2387325.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","081","Services of Other Depts","081","Services of Other Depts (AAO Funds)","081WS","SR-DPW-Sewer Repair","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","5586127.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","081","Services of Other Depts","081","Services of Other Depts (AAO Funds)","081WC","SR-DPW-Street Cleaning","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","5138000.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BDE","Wastewater Collection","ELU","Transfer Adjustments-Uses","ELU","Transfer Adjustments-Uses","ELIMUC","Transfer Adjustments-Uses (Citywide)","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","1","Operating","-5500.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
"2017","Spending","Spending","02","Public Works, Transportation & Commerce","CWP","PUC Wastewater Enterprise","BAX","Wastewater Operations","06F","Facilities Maintenance","06F","Facilities Maintenance Projects-Budget","06F00","Facilities Maintenance-Budget","5C","PUC Wastewater Funds","5CAAA","Wastewater Operating Fund","2","Annual Projects","1954000.00","2025-07-06T22:05:48.000","2025-07-07T01:53:38.000"
