fiscal_year,revenue_or_spending,related_govt_unit,organization_group_code,organization_group,department_code,department,program_code,program,character_code,character,object_code,object,sub_object_code,sub_object,fund_type_code,fund_type,fund_code,fund,fund_category_code,fund_category,budget
2025,Spending,Spending,3,Human Welfare & Neighborhood Development,WOM,Department of the Status of Women,OPR,Operating,NON_PERS_SVCS,Non-Personnel Services,OTH_CURR_EXP,Other Current Expenses,535510,Copy Machine,GEN_FUND,General Fund,GEN_FUND~10000,General Fund Annual Account Control,1.0,Operating,2000.0
2024,Spending,Spending,6,General Administration & Finance,TTX,Treasurer/Tax Collector,OPR,Operating,SVCS_OTHER_DEPTS,Services Of Other Depts,581360,Department of Technology - Telecommunications Services,581360,Department of Technology - Telecommunications Services,GEN_FUND,General Fund,GEN_FUND~10000,General Fund Annual Account Control,1.0,Operating,61120.0
2024,Spending,Spending,6,General Administration & Finance,CPC,City Planning,OPR,Operating,MAND_FRING_BEN,Mandatory Fringe Benefits,DENTAL_COVER,Dental Coverage,516010,Dental Coverage,SP_REV,Special Revenue Funds,SP_REV~10840,Special Revenue Planning Code Enforcement,3.0,Continuing Projects - Authority Control,16659.0
2026,Spending,Spending,1,Public Protection,POL,Police,OPR,Operating,MAND_FRING_BEN,Mandatory Fringe Benefits,HLTH_SVC,Health Service,515020,Retiree Health - Match - Proposition B,GEN_FUND,General Fund,GEN_FUND~10000,General Fund Annual Account Control,1.0,Operating,3518894.0
2024,Revenue,Revenue,2,"Public Works, Transportation & Commerce",PUC,Public Utilities Commission,OPR,Operating,EXP_RECOVERY,Expenditure Recovery,EXP_REC_SVC_AAO_FND,Expenditure Recovery - Services to AAO Fund,486020,Exp Rec Fr Airport (AAO),ENT_FUND,Enterprise Funds,ENT_FUND~CWP_OP,CleanPowerSF Water Power-Operating Fund,2.0,Annual Projects - Authority Control,53000.0
2023,Revenue,Revenue,6,General Administration & Finance,HRD,Human Resources,OPR,Operating,EXP_RECOVERY,Expenditure Recovery,EXP_REC_SVC_AAO_FND,Expenditure Recovery - Services to AAO Fund,486320,Expense Recovery From Environment (All Agency Operations),GEN_FUND,General Fund,GEN_FUND~10010,General Fund Annual Authority Control,2.0,Annual Projects - Authority Control,4460.0
2023,Spending,Spending,1,Public Protection,DAT,District Attorney,ADMIN,Administrative,MAND_FRING_BEN,Mandatory Fringe Benefits,HLTH_SVC,Health Service,515030,Retiree Health Care - City Match Proposition C,GEN_FUND,General Fund,GEN_FUND~10000,General Fund Annual Account Control,1.0,Operating,6719.0
2026,Spending,Spending,5,Culture & Recreation,LIB,Public Library,OPR,Operating,MTL_SUPP,Materials & Supplies,OTH_MATL_SUPP,Other Materials and Supplies,549410,Minor Furnishings,SP_REV,Special Revenue Funds,SP_REV~13140,Special Revenue Public Library Preservation,1.0,Operating,93000.0
2023,Spending,Spending,2,"Public Works, Transportation & Commerce",BOA,Board of Appeals,OPR,Operating,SVCS_OTHER_DEPTS,Services Of Other Depts,581325,Department of Technology - Enterprise Technology Contracts,581325,Department of Technology - Enterprise Technology Contracts,GEN_FUND,General Fund,GEN_FUND~10000,General Fund Annual Account Control,1.0,Operating,2645.0
2024,Revenue,Revenue,4,Community Health,DPH,Public Health,OPR,Operating,CHGS_FOR_SERVICES,Charges for Services,PB_OUTPATIENT_REV,Physician-Based Outpatient Revenue,465667,Patient Billing Outpatient Medi-Cal Financial Class 107,GEN_FUND,General Fund,GEN_FUND~10000,General Fund Annual Account Control,1.0,Operating,33915209.0
2026,Spending,Spending,1,Public Protection,SHF,Sheriff,ADMIN,Administrative,SVCS_OTHER_DEPTS,Services Of Other Depts,581750,General Fund - Purchasing - General Office,581750,General Fund - Purchasing - General Office,GEN_FUND,General Fund,GEN_FUND~10000,General Fund Annual Account Control,1.0,Operating,137569.0
2024,Spending,Spending,5,Culture & Recreation,ART,Arts Commission,CAPCP,Capital-CPC Funded,CAP_OUTLAY,Capital Outlay,BLD_STR_IMP,Buildings: Structures/Improvements,567000,"Buildings, Structures and Improvements Project Budget",CPTL_PRJ,Capital Projects Funds,CPTL_PRJ~15384,Capital Projects X Fund Certificate of Participation Critical Repairs/Recovery Stimulus,3.0,Continuing Projects - Authority Control,10698751.0
2024,Spending,Spending,2,"Public Works, Transportation & Commerce",PUC,Public Utilities Commission,OPR,Operating,NON_PERS_SVCS,Non-Personnel Services,TAX_LIC_PERM,Taxes: Licenses/Permits,552000,"Taxes, Licenses & Permits-Bdgt",ENT_FUND,Enterprise Funds,ENT_FUND~CLN_PWR_OP,CleanPowerSF Operating Fund,1.0,Operating,339349.0
2026,Spending,Spending,5,Culture & Recreation,ART,Arts Commission,OPR,Operating,MAND_FRING_BEN,Mandatory Fringe Benefits,SOC_SEC,Social Security,514010,Social Security (OASDI & HI),SP_REV,Special Revenue Funds,SP_REV~11802,Special Revenue Culture and Recreation Hotel Tax,3.0,Continuing Projects - Authority Control,118910.0
2023,Spending,Spending,6,General Administration & Finance,BOS,Board of Supervisors,OPR,Operating,SVCS_OTHER_DEPTS,Services Of Other Depts,581015,Human Resources Modernization,581015,Human Resources Modernization,GEN_FUND,General Fund,GEN_FUND~10000,General Fund Annual Account Control,1.0,Operating,5915.0
2022,Spending,Spending,6,General Administration & Finance,TTX,Treasurer/Tax Collector,OPR,Operating,NON_PERS_SVCS,Non-Personnel Services,OTH_CURR_EXP,Other Current Expenses,535610,Postage,GEN_FUND,General Fund,GEN_FUND~10060,General Fund Work Order,5.0,Work Orders/Overhead,0.0
2022,Spending,Spending,2,"Public Works, Transportation & Commerce",DPW,Public Works,CAPCP,Capital-CPC Funded,MAND_FRING_BEN,Mandatory Fringe Benefits,HLTH_SVC,Health Service,515030,Retiree Health Care - City Match Proposition C,SP_REV,Special Revenue Funds,SP_REV~10900,Special Revenue Visitacion Valley Community Investment,3.0,Continuing Projects - Authority Control,0.0
2024,Spending,Spending,4,Community Health,DPH,Public Health,OPR,Operating,NON_PERS_SVCS,Non-Personnel Services,TRAVEL,Travel,521000,Travel - Budget,GEN_FUND,General Fund,GEN_FUND~10060,General Fund Work Order,5.0,Work Orders/Overhead,17347.0
2026,Spending,Spending,4,Community Health,DPH,Public Health,OPR,Operating,PROG_PROJ,Programmatic Projects,506070,Programmatic Projects - Budget,506070,Programmatic Projects - Budget,GEN_FUND,General Fund,GEN_FUND~10010,General Fund Annual Authority Control,2.0,Annual Projects - Authority Control,835130.0
