object_code_id,object_code
1,OTH_FR_BEN
2,OVERHEAD
3,SOC_SEC
4,EQUIP_MNTC_SUP
5,TRAVEL
6,EMPL_EXP
7,581790
8,OTH_MATL_SUPP
9,MNTSVCS_EQUIP
10,HLTH_SVC
11,581170
12,REC_PARK_CONCES
13,DENTAL_COVER
14,PERM_SAL_MISC
15,WATER_SEW_TRT_SUPP
16,999988
17,999986
18,UNEMP_INSUR
19,RETIREMENT
20,PROF_SPEC_SVC
21,CAP_RENEW
22,499998
23,OTH_CURR_EXP
24,MTL_SUPP_BUD
25,EXP_REC_SVC_AAO_FND
26,OVERTIME
27,PUB_HLTH_CHG
28,PORT_OTH_NONOP_REV
29,BLD_STR_IMP
30,RENTLSE_EQUIP
31,581360
32,TRAINING
33,PARK_GAR_LOT_RENT
34,PREM_PAY
35,595220
36,595230
37,DEBT_INT_OTH_CHGS
38,581430
39,SAFETY
40,537220
41,581930
42,TREAS_ISL_DEV_AUTH
43,HB_OUTPATIENT_REV
44,TAX_LIC_PERM
45,EXP_REC_SVC_NONAAO
46,PB_OUTPATIENT_REV
47,538010
48,BLDG_CNST_SUP
49,999989
50,OTH_TRNSP_TRNS_OPRAS
51,581140
52,HOSP_CLIN_LAB_SUPP
53,536520
54,FED_OTHER
55,REVDEDUCT
56,COURT_FEES_OTH_COMP
57,PRCD_LT_DEBT
58,TEMP_MISC
59,HB_INPATIENT_REV
60,RENTLSE_BLDG_STR
61,581079
62,PB_INPATIENT_REV
63,581830
64,NET_PAT_REV
65,MNTSVCS_BLDG_STRUC
66,INVENT
67,EQUIP_PURCH
68,412601
69,CONT_TRNS_IN
70,581250
71,OTH_OPER_TRNS_IN
72,SUPP_PY
73,ROAD_PRIV_PERM
74,OTH_OPER_ADJ
75,HOL_PAY
76,ONE_TIME_PMT
77,BLDS_STRC_IMPRV
78,PORT_FISH_RENT
79,581820
80,581085
81,539200
82,581280
83,PUB_SAFE_SVC_CHGS
84,OTH_PROP_TAX
85,FOOD
86,TEMP_NURSE
87,499999
88,OUTPATIENT_REVDEDUCT
89,GENL_GOVT_SVCS
90,OTH_FORF_PENAL
91,581710
92,STATE_OTHER
93,CUST_WKSVC_OTH_GOVAG
94,581040
95,581061
96,495028
97,JUDG_CLAIMS
98,INTANG_ASST_PUR
99,HLTH_SVC_FUND_EMPL_C
100,OTH_CHGS_SVCS
101,581081
102,ENT_PROMO
103,INTEREST
104,536210
105,OTH_NONOP_REV
106,RET_CONTRIB
107,495025
108,ALLOC_CHGS
109,581067
110,506070
111,581073
112,GIFTS_BEQUEST
113,POWER_RESALE
114,581130
115,581880
116,581014
117,GROSS_REC_TAX
118,581180
119,MEMBER_FEE
120,581855
121,FUEL_LUB
122,495001
123,581670
124,999987
125,581230
126,UTILITIES
127,495024
128,581740
129,500010
130,581950
131,581120
132,581245
133,581068
134,DEBT_REDEMP
135,581210
136,581270
137,581065
138,536230
139,581470
140,PARK_METER_COLL
141,OTH_OPER_TF_OUT
142,581460
143,581580
144,OTH_BUS_PROF_LIC
145,581051
146,581083
147,581325
148,DEV_IMP_FEE_EXAC
149,537710
150,FED_PUB_ASS_ADMIN
151,495021
152,OTH_LIC_PERM
153,581890
154,FED_PUB_ASS_PROG
155,536250
156,495026
157,581750
158,581570
159,538000
160,581640
161,581490
162,CHN_OTH_OPER_REV
163,581660
164,581650
165,TRANS_CASH_FARE
166,581370
167,581066
168,581770
169,EQUIP_5KORLESS
170,581012
171,581064
172,581330
173,SUPP_CY
174,581980
175,PROC_SALE_OTH_CITY_P
176,581390
177,TRANS_PASS_REV
178,REC_PARK_RENT
179,PLAN_ENG_SVCS
180,OTH_FIX_CHGS
181,581690
182,OTH_CITY_PROP_RENT
183,SFO_PAVE_UNIMP_AIR
184,DEBT_SVC_BUD
185,581840
186,CONC_EXHIB_PRFRM
187,BUS_HLTH_LIC
188,STATE_HLTH_HUM_SVC
189,581520
190,581550
191,STATE_PUB_ASSIST_ADM
192,STATE_HLTH_PRGM
193,536510
194,INSURANCE
195,581063
196,EMERG_RM_REV
197,SFO_MISC
198,598050
199,581260
200,581200
201,581400
202,TRANS_CABLE_CAR_REV
203,HOSP_SVC_CHGS
204,PROPB_HLTH
205,FRANCHISES
206,CULT_FAC_RENT
207,495022
208,581730
209,495030
210,PORT_COMM_IND_RENT
211,495013
212,581160
213,595328
214,581410
215,ST_HOME_PROP_TAX_RLF
216,PAYROLL_TAX
217,OTHER_NON_COURT_FINE
218,UTIL_USERS_TAX
219,581500
220,581078
221,PARKING_TAX
222,537240
223,SFO_FLGHT_OPS
224,581069
225,LIB_SVC
226,581300
227,REC_PARK_SVC_CHGS
228,PRIV_GR
