fiscal_year,revenue_or_spending,related_govt_unit,organization_group_code,organization_group,department_code,department,program_code,program,character_code,character,object_code,object,sub_object_code,sub_object,fund_type_code,fund_type,fund_code,fund,fund_category_code,fund_category,budget
2018,Spending,Spending,2,"Public Works, Transportation & Commerce",PRT,Port,CAPCP,Capital-CPC Funded,SALARIES,Salaries,PERM_SAL_MISC,Permanent Salaries - Miscellaneous,501010,Perm Salaries-Misc-Regular,ENT_FUND,Enterprise Funds,ENT_FUND~PRT_OP,Port Operating,3.0,Continuing Projects - Authority Control,0.0
2019,Revenue,Revenue,2,"Public Works, Transportation & Commerce",PUC,Public Utilities Commission,OPR,Operating,OTH_REV,Other Revenues,WATER_OTH_OP_REV,Water - Other Operating Revenue,478001,Water Service InstallationChrg,ENT_FUND,Enterprise Funds,ENT_FUND~SFWD_OP,San Francisco Water Department-Operating Fund,1.0,Operating,0.0
2018,Spending,Spending,6,General Administration & Finance,TIS,General Services Agency - Technology,OPR,Operating,NON_PERS_SVCS,Non-Personnel Services,RENTLSE_EQUIP,Rents and Leases - Equipment,531210,Vehicle Rental,INTRL_SRVC,Internal Service Funds,INTRL_SRVC~DTIS_TELCOM_IS,Department of Technology and Information Services-Telecommunications and Information Services,2.0,Annual Projects - Authority Control,0.0
2020,Spending,Spending,2,"Public Works, Transportation & Commerce",DPW,Public Works,CAPCP,Capital-CPC Funded,MAND_FRING_BEN,Mandatory Fringe Benefits,HLTH_SVC,Health Service,515030,Retiree Health Care - City Match Proposition C,GEN_FUND,General Fund,GEN_FUND~10040,General Fund Public Works Work Order,5.0,Work Orders/Overhead,0.0
2019,Revenue,Revenue,3,Human Welfare & Neighborhood Development,CHF,"Children, Youth & Their Families",OPR,Operating,INT_INV_INC,Interest & Investment Income,INTEREST,Interest,430170,Interest Earned-Tax Refund,SP_REV,Special Revenue Funds,SP_REV~CHLD,Children's Fund,1.0,Operating,0.0
2020,Spending,Spending,2,"Public Works, Transportation & Commerce",DPW,Public Works,CAPCP,Capital-CPC Funded,SALARIES,Salaries,TEMP_MISC,Temporary Miscellaneous Salaries,505010,Temporary Miscellaneous Regular Salaries,SP_REV,Special Revenue Funds,SP_REV~10670,Special Revenue Eastern Neighborhood Community Investment,3.0,Continuing Projects - Authority Control,0.0
2018,Spending,Spending,6,General Administration & Finance,TTX,Treasurer/Tax Collector,OPR,Operating,MTL_SUPP,Materials & Supplies,FOOD,Food,546990,Food,SP_REV,Special Revenue Funds,SP_REV~12550,Special Revenue Grants; General Services Fund Continuing,4.0,Grants Projects,0.0
2019,Spending,Spending,2,"Public Works, Transportation & Commerce",DPW,Public Works,CAP,Capital,MTL_SUPP,Materials & Supplies,BLDG_CNST_SUP,Building and Construction Supplies,542410,Lumber,CPTL_PRJ,Capital Projects Funds,CPTL_PRJ~17260,Capital Projects Street Improvement Fund 2011 Road Repaving and Streets Fiscal Year-2016E,3.0,Continuing Projects - Authority Control,0.0
2018,Spending,Spending,2,"Public Works, Transportation & Commerce",PRT,Port,OPR,Operating,NON_PERS_SVCS,Non-Personnel Services,TRAINING,Training,522020,Training Costs Paid To Vendors,ENT_FUND,Enterprise Funds,ENT_FUND~PRT_OP,Port Operating,1.0,Operating,0.0
2019,Spending,Spending,2,"Public Works, Transportation & Commerce",PUC,Public Utilities Commission,MAINT,Maintenance,NON_PERS_SVCS,Non-Personnel Services,PROF_SPEC_SVC,Professional and Specialized Services,527510,Management Consulting Services,ENT_FUND,Enterprise Funds,ENT_FUND~SFWD_OP,San Francisco Water Department-Operating Fund,2.0,Annual Projects - Authority Control,0.0
