uniqueid,ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,administratively_closed,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,lic,lic_code_description,lic_code_descriptions_list,supervisor_district,neighborhoods_analysis_boundaries,business_corridor,location,data_as_of,data_loaded_at,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_jwn9_ihcz
1340387-08-231-1149713,1340387-08-231,1149713,Adventure Avenue LLC,Adventure Avenue LLC,1707 44th Ave Ave,San Francisco,CA,94122.0,2023-07-12T00:00:00.000,,2023-07-12T00:00:00.000,,,1707 44th Ave Ave,San Francisco,94122,CA,7100-7199,"Arts, Entertainment, and Recreation","Arts, Entertainment, and Recreation",False,False,,,,4.0,Sunset/Parkside,,POINT (-122.5036125 37.754712),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,39.0,10.0,7.0,35.0,39.0
1297734-02-221-1124427,1297734-02-221,1124427,Treat Property LLC,Treat Property LLC,500 Treat Ave,San Francisco,CA,94110.0,2015-06-23T00:00:00.000,,2015-06-23T00:00:00.000,,,466 Green St 302 Ste,San Francisco,94133,CA,5300-5399,Real Estate and Rental and Leasing Services,Real Estate and Rental and Leasing Services,False,False,,,,9.0,Mission,,POINT (-122.414427 37.761894),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,53.0,3.0,2.0,20.0,53.0
0376489-01-001-0376489,0376489-01-001,376489,Mukhammadiev Bikhayrat,Adams Trans Co,1005 Market St 407,San Francisco,CA,94103.0,2004-04-14T00:00:00.000,2014-06-30T00:00:00.000,2004-04-14T00:00:00.000,2014-06-30T00:00:00.000,,,,,,,,,False,False,,,,6.0,South of Market,,POINT (-122.41035 37.781964),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,32.0,5.0,10.0,34.0,32.0
0105661-02-001-0105661,0105661-02-001,105661,Hall Kenneth R & Chu Collin S,Hall & Szeto Optometrists,383 Sacramento St,San Francisco,CA,94111.0,1977-06-15T00:00:00.000,,2013-08-01T00:00:00.000,,,383 Sacramento St,San Francisco,94111,CA,6100-6299,Private Education and Health Services,Private Education and Health Services,False,False,,,,3.0,Financial District/South Beach,,POINT (-122.399766 37.79406),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,108.0,6.0,3.0,8.0,108.0
0488996-01-999-0488996,0488996-01-999,488996,Andrews Chris,Chris Andrews,2525 Harness Dr,,,94567.0,2014-04-23T00:00:00.000,2014-04-28T00:00:00.000,2014-04-23T00:00:00.000,2014-04-28T00:00:00.000,,,,,,,,,False,False,,,,,,,POINT (-122.374429834 38.697488228),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
1307339-06-221-1135996,1307339-06-221,1135996,Robert Williams,Hillsborough Electric,2487 Depot Rd,Hayward,CA,94545.0,2022-06-09T00:00:00.000,2023-05-30T00:00:00.000,2022-06-09T00:00:00.000,2023-05-30T00:00:00.000,,,,,,2300-2399,Construction,Construction,False,False,,,,,,,POINT (-122.11369699 37.638948992),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
1192552-06-181-1088520,1192552-06-181,1088520,Emily Fleisher,Mindful Paw,563 Steiner St Apt 6,San Francisco,CA,94117.0,2017-01-07T00:00:00.000,2020-07-05T00:00:00.000,2017-01-08T00:00:00.000,2020-07-05T00:00:00.000,,,,,,,,,False,False,,,,5.0,Hayes Valley,,POINT (-122.43262 37.774323),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,26.0,4.0,11.0,9.0,26.0
1155821-07-171-1028560,1155821-07-171,1028560,American Tower Corporation,"Ulysses Asset Sub II, LLC #Us-Ca-6531",1399 43rd Ave,San Francisco,CA,94122.0,2014-01-01T00:00:00.000,,2015-01-01T00:00:00.000,,,140 Grand St 300 Ste,White Plains,10601,NY,5300-5399,Real Estate and Rental and Leasing Services,Real Estate and Rental and Leasing Services,False,False,,,,4.0,Sunset/Parkside,,POINT (-122.5030725 37.760796),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,39.0,10.0,7.0,35.0,39.0
0380832-01-001-0380832,0380832-01-001,380832,Hanks Mark A,Mark Hanks Design,3110 Castro St,San Francisco,CA,94131.0,2004-09-09T00:00:00.000,2023-05-23T00:00:00.000,2004-09-09T00:00:00.000,2014-06-23T00:00:00.000,,,,,,,,,False,False,,,,8.0,Glen Park,,POINT (-122.4326475 37.734651),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,96.0,9.0,5.0,10.0,96.0
1264600-11-201-1119302,1264600-11-201,1119302,"Numerai Gp, LLC","Numerai Gp, LLC",101 California St Ste 3125,San Francisco,CA,94111.0,2020-07-01T00:00:00.000,,2020-07-01T00:00:00.000,2021-10-31T00:00:00.000,,10 Funston Ave,San Francisco,94129,CA,5210-5239,Financial Services,Financial Services,False,False,,,,3.0,Financial District/South Beach,,POINT (-122.398047 37.793043),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,108.0,6.0,3.0,8.0,108.0
