incident_number,exposure_number,id,address,incident_date,call_number,alarm_dttm,arrival_dttm,close_dttm,city,zipcode,battalion,station_area,box,suppression_units,suppression_personnel,ems_units,ems_personnel,other_units,other_personnel,first_unit_on_scene,estimated_property_loss,estimated_contents_loss,fire_fatalities,fire_injuries,civilian_fatalities,civilian_injuries,number_of_alarms,primary_situation,mutual_aid,action_taken_primary,action_taken_secondary,action_taken_other,detector_alerted_occupants,property_use,area_of_fire_origin,ignition_cause,ignition_factor_primary,ignition_factor_secondary,heat_source,item_first_ignited,human_factors_associated_with_ignition,structure_type,structure_status,floor_of_fire_origin,fire_spread,no_flame_spread,number_of_floors_with_minimum_damage,number_of_floors_with_significant_damage,number_of_floors_with_heavy_damage,number_of_floors_with_extreme_damage,detectors_present,detector_type,detector_operation,detector_effectiveness,detector_failure_reason,automatic_extinguishing_system_present,automatic_extinguishing_sytem_type,automatic_extinguishing_sytem_perfomance,automatic_extinguishing_sytem_failure_reason,number_of_sprinkler_heads_operating,supervisor_district,neighborhood_district,point,data_as_of,data_loaded_at
5007330,0,50073300,Kearny Street / Sacramento Street,2005-01-27,50270288,2005-01-27 17:14:40,2005-01-27 17:16:53,2005-01-27 17:56:11,San Francisco,94111,B01,13,3216.0,1,5,0,0,0,0,T13,0,0,0,0,0,0,1,"510  -  Person in distress, other",,71  -  Assist physically disabled,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,173  -  Bus station,"83  -  Engine area, running gear, wheel area",2  -  Unintentional,11  -  Abandoned or discarded materials or p,"30  -  Electrical failure, malfunction, othe",UU  -  Undetermined,UU  -  Undetermined,N  -  None,1  - Enclosed building,2  - In normal use,2.0,33  - Linen; other than bedding,1.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,,0.0,3.0,Chinatown,"-122.404617, 37.793565",2005-03-25 11:23:35,2025-06-01 02:18:08
5007333,0,50073330,California Street / Van Ness Avenue,2005-01-27,50270291,2005-01-27 17:22:30,2005-01-27 17:25:16,2005-01-27 18:06:34,San Francisco,94115,B04,38,3216.0,2,9,0,0,0,0,E38,0,0,0,0,0,0,1,"711  -  Municipal alarm system, Street Box False",,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"962  -  Residential street, road or residential dr","83  -  Engine area, running gear, wheel area",2  -  Unintentional,11  -  Abandoned or discarded materials or p,"30  -  Electrical failure, malfunction, othe",UU  -  Undetermined,UU  -  Undetermined,N  -  None,1  - Enclosed building,2  - In normal use,2.0,33  - Linen; other than bedding,1.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,,0.0,3.0,Western Addition,"-122.42233, 37.790369",2005-01-27 22:04:18,2025-06-01 02:18:08
5007334,0,50073340,32nd Avenue / California Street,2005-01-27,50270292,2005-01-27 17:33:20,2005-01-27 17:36:27,2005-01-27 17:38:04,San Francisco,94121,B07,14,3216.0,2,9,0,0,0,0,E14,0,0,0,0,0,0,1,"711  -  Municipal alarm system, Street Box False",,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"960  -  Street, other","83  -  Engine area, running gear, wheel area",2  -  Unintentional,11  -  Abandoned or discarded materials or p,"30  -  Electrical failure, malfunction, othe",UU  -  Undetermined,UU  -  Undetermined,N  -  None,1  - Enclosed building,2  - In normal use,2.0,33  - Linen; other than bedding,1.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,,0.0,1.0,Outer Richmond,"-122.492511, 37.78354",2005-01-27 17:45:16,2025-06-01 02:18:08
5007338,0,50073380,2001 9th Avenue,2005-01-27,50270296,2005-01-27 17:42:43,2005-01-27 17:46:44,2005-01-27 18:05:10,San Francisco,94143,B08,40,3216.0,10,35,0,0,0,0,E40,0,0,0,0,0,0,1,443  -  Light ballast breakdown,,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,429  -  Multifamily dwellings,"83  -  Engine area, running gear, wheel area",2  -  Unintentional,11  -  Abandoned or discarded materials or p,"30  -  Electrical failure, malfunction, othe",UU  -  Undetermined,UU  -  Undetermined,N  -  None,1  - Enclosed building,2  - In normal use,2.0,33  - Linen; other than bedding,1.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,,0.0,7.0,West of Twin Peaks,"-122.465488, 37.750914",2005-01-27 19:47:24,2025-06-01 02:18:08
5007341,0,50073410,130 Sutter Street,2005-01-27,50270301,2005-01-27 17:55:08,2005-01-27 17:58:28,2005-01-27 18:04:21,San Francisco,94104,B01,13,3216.0,3,11,0,0,0,0,E13,50,50,0,0,0,0,1,733  -  Smoke detector activation/malfunction,,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,599  -  Business office,"83  -  Engine area, running gear, wheel area",2  -  Unintentional,11  -  Abandoned or discarded materials or p,"30  -  Electrical failure, malfunction, othe",UU  -  Undetermined,UU  -  Undetermined,N  -  None,1  - Enclosed building,2  - In normal use,2.0,33  - Linen; other than bedding,1.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,,0.0,3.0,Financial District/South Beach,"-122.4030397, 37.79023728",2005-01-27 18:25:02,2025-06-01 02:18:08
5007342,0,50073420,Brunswick Street / Whittier Street,2005-01-27,50270302,2005-01-27 17:58:28,2005-01-27 18:02:08,2005-01-27 18:02:32,San Francisco,94112,B09,33,3216.0,2,9,0,0,0,0,E33,0,0,0,0,0,0,1,"711  -  Municipal alarm system, Street Box False",,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"960  -  Street, other","83  -  Engine area, running gear, wheel area",2  -  Unintentional,11  -  Abandoned or discarded materials or p,"30  -  Electrical failure, malfunction, othe",UU  -  Undetermined,UU  -  Undetermined,N  -  None,1  - Enclosed building,2  - In normal use,2.0,33  - Linen; other than bedding,1.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,,0.0,11.0,Excelsior,"-122.437861403, 37.711970441",2005-05-04 15:01:35,2025-06-01 02:18:08
5007344,0,50073440,3001 Divisadero Street,2005-01-27,50270304,2005-01-27 18:00:58,2005-01-27 18:03:32,2005-01-27 18:29:42,San Francisco,94123,B04,16,3216.0,3,10,0,0,0,0,E16,0,0,0,0,0,0,1,"440  -  Elec. wiring/equip. problem, other",,66  -  Remove water,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,419  -  1 or 2 family dwelling,"83  -  Engine area, running gear, wheel area",2  -  Unintentional,11  -  Abandoned or discarded materials or p,"30  -  Electrical failure, malfunction, othe",UU  -  Undetermined,UU  -  Undetermined,N  -  None,1  - Enclosed building,2  - In normal use,2.0,33  - Linen; other than bedding,1.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,,0.0,2.0,Marina,"-122.4424072, 37.79814759",2005-01-28 08:31:28,2025-06-01 02:18:08
5007348,0,50073480,840 Harrison Street,2005-01-27,50270308,2005-01-27 18:18:34,2005-01-27 18:22:42,2005-01-27 18:31:12,San Francisco,94105,B03,8,3216.0,1,4,0,0,0,0,E08,0,0,0,0,0,0,1,411  -  Gasoline or other flammable liquid spill,,"44  -  HazMat leak, control & containment",86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,963  -  Street or road in commercial area,"83  -  Engine area, running gear, wheel area",2  -  Unintentional,11  -  Abandoned or discarded materials or p,"30  -  Electrical failure, malfunction, othe",UU  -  Undetermined,UU  -  Undetermined,N  -  None,1  - Enclosed building,2  - In normal use,2.0,33  - Linen; other than bedding,1.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,,0.0,6.0,South of Market,"-122.40093416, 37.78022024",2005-01-31 18:20:54,2025-06-01 02:18:08
5007355,0,50073550,2707 Pine Street,2005-01-27,50270317,2005-01-27 18:30:50,2005-01-27 18:33:56,2005-01-27 18:36:44,San Francisco,94118,B04,10,3216.0,1,4,0,0,0,0,E10,0,0,0,0,0,0,1,745  -  Alarm system sounded/no fire - accidental,,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,459  -  Residential board and care,"83  -  Engine area, running gear, wheel area",2  -  Unintentional,11  -  Abandoned or discarded materials or p,"30  -  Electrical failure, malfunction, othe",UU  -  Undetermined,UU  -  Undetermined,N  -  None,1  - Enclosed building,2  - In normal use,2.0,33  - Linen; other than bedding,1.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,,0.0,2.0,Pacific Heights,"-122.440415, 37.787021",2005-01-27 19:05:32,2025-06-01 02:18:08
5007357,0,50073570,1751 Silver Avenue,2005-01-27,50270319,2005-01-27 18:44:08,2005-01-27 18:46:54,2005-01-27 21:42:38,San Francisco,94124,B10,42,3216.0,34,110,0,0,0,0,E42,500000,300000,0,0,0,0,3,111  -  Building fire,,11  -  Extinguish,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,419  -  1 or 2 family dwelling,"55  -  Duct: hvac, cable, exhaust, heat of A",2  -  Unintentional,UU  -  Undetermined,"30  -  Electrical failure, malfunction, othe",12  -  Radiated/conducted heat operating equ,"10  -  Structural component or finish, other",N  -  None,1  - Enclosed building,2  - In normal use,3.0,"10  - Structural component or finish, other",5.0,0.0,0.0,0.0,1.0,U  - Undetermined,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,,0.0,10.0,Bayview Hunters Point,"-122.4034488, 37.73363399",2016-05-12 14:23:23,2025-06-01 02:18:08
