geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_transactions_2019,subsidies_2019
Philippines,"Arts, Entertainment and Recreation",3321,80125,78183,10582,241913952,190494700,31020688,159474012,119084671,12518810,290994,2733812,304290
Philippines,"Creative, arts and entertainment activities",65,1491,1193,8,1253825,1047355,296438,750917,488295,69139,466,0,298058
Philippines,"Libraries, archives, museums and other cultural activities",56,2018,1956,64,1489015,1199962,419696,780265,756842,404080,-11358,18691,5500
Philippines,Gambling and betting activities,1063,39140,38847,5446,206637964,161392073,22152890,139239183,99689849,2238894,182057,2674987,0
Philippines,Sports activities,492,11221,10515,3008,10970939,8947753,2462644,6485109,6062378,899320,-11562,0,0
Philippines,Other amusement and recreation activities,1645,26256,25672,2056,21562208,17907557,5689019,12218538,12087307,8907378,131392,40134,732
National Capital Region,"Arts, Entertainment and Recreation",719,37352,37344,643,169913373,131130744,21266842,109863902,91573924,3025536,250007,2675032,303058
National Capital Region,"Creative, arts and entertainment activities",34,777,777,0,1208794,1010284,280126,730158,462258,69117,786,0,298058
National Capital Region,"Libraries, archives, museums and other cultural activities",11,300,300,2,759488,636642,130188,506455,226926,161736,-4042,0,5000
National Capital Region,Gambling and betting activities,313,26076,26076,546,156625735,120146070,17542208,102603862,84102930,1672925,174127,2674987,0
National Capital Region,Sports activities,87,3387,3379,9,2710959,2187345,731490,1455854,1608533,85856,-1059,0,0
National Capital Region,Other amusement and recreation activities,275,6812,6812,86,8608396,7150403,2582831,4567572,5173278,1035902,80195,45,0
Cordillera Administrative Region,"Arts, Entertainment and Recreation",45,412,361,8,299015,245039,57405,187634,137839,0,7258,0,500
Cordillera Administrative Region,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Libraries, archives, museums and other cultural activities",4,32,28,0,17297,14301,4176,10125,8610,0,635,0,500
Cordillera Administrative Region,Gambling and betting activities,16,97,93,0,54271,46143,12224,33919,22879,0,0,0,0
Cordillera Administrative Region,Sports activities,12,103,103,8,170332,136655,24958,111697,78064,0,1279,0,0
Cordillera Administrative Region,Other amusement and recreation activities,13,180,137,0,57116,47939,16047,31893,28286,0,5344,0,0
Ilocos Region,"Arts, Entertainment and Recreation",74,1752,1619,282,2864040,2197382,673545,1523838,1833372,228000,-7917,0,0
Ilocos Region,"Creative, arts and entertainment activities",9,254,163,0,17068,14873,8074,6799,12473,0,-1,0,0
