"incident_number","exposure_number","id","address","incident_date","call_number","alarm_dttm","arrival_dttm","close_dttm","city","zipcode","battalion","station_area","box","suppression_units","suppression_personnel","ems_units","ems_personnel","other_units","other_personnel","first_unit_on_scene","estimated_property_loss","estimated_contents_loss","fire_fatalities","fire_injuries","civilian_fatalities","civilian_injuries","number_of_alarms","primary_situation","mutual_aid","action_taken_primary","action_taken_secondary","action_taken_other","detector_alerted_occupants","property_use","area_of_fire_origin","ignition_cause","ignition_factor_primary","ignition_factor_secondary","heat_source","item_first_ignited","human_factors_associated_with_ignition","structure_type","structure_status","floor_of_fire_origin","fire_spread","no_flame_spread","number_of_floors_with_minimum_damage","number_of_floors_with_significant_damage","number_of_floors_with_heavy_damage","number_of_floors_with_extreme_damage","detectors_present","detector_type","detector_operation","detector_effectiveness","detector_failure_reason","automatic_extinguishing_system_present","automatic_extinguishing_sytem_type","automatic_extinguishing_sytem_perfomance","automatic_extinguishing_sytem_failure_reason","number_of_sprinkler_heads_operating","supervisor_district","neighborhood_district","point","data_as_of","data_loaded_at"
"13109764","0","131097640","858 33RD AV","2013-11-19T00:00:00.000","133230334","2013-11-19T19:01:36.000","2013-11-19T19:05:36.000","2013-11-19T19:56:00.000","SF","94121","B07","14","7243","10","32","1","2","0","0","T14","1000","7000","0","0","0","0","1","131 - Passenger vehicle fire","None","11 - Extinguish",,,,"429 - Multifamily dwellings","83 - Engine area, running gear, wheel area","2 - Unintentional","14 - Flammable liquid or gas spilled",,"11 - Spark/ember/flame from operating equi","00 - Item First Ignited, Other","N - None",,,,,,,,,,,,,,,,,,,,"1","Outer Richmond","POINT (-122.4926953 37.77223643)","2013-11-19T21:22:55.000","2025-06-14T02:21:17.000"
"13109768","0","131097680","830 FULTON ST","2013-11-19T00:00:00.000","133230338","2013-11-19T19:12:12.000","2013-11-19T19:19:14.000","2013-11-19T19:31:35.000","SF","94117","B05","05","3521","1","5","0","0","0","0","T05",,,"0","0","0","0","1","554 - Assist invalid","None","71 - Assist physically disabled",,,,"429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"5","Western Addition","POINT (-122.43079988 37.77832898)","2014-01-27T14:42:02.000","2025-06-14T02:21:17.000"
"13109770","0","131097700","5TH ST / SCOTT AL","2013-11-19T00:00:00.000","133230339","2013-11-19T19:14:46.000","2013-11-19T19:23:10.000","2013-11-19T19:28:10.000","SF","94105","B03","08","2243","1","5","0","0","0","0","T01",,,"0","0","0","0","1","463 - Vehicle accident, general cleanup","None","86 - Investigate",,,,"963 - Street or road in commercial area",,,,,,,,,,,,,,,,,,,,,,,,,,,"6","South of Market","POINT (-122.402535 37.779582)","2014-02-02T10:49:35.000","2025-06-14T02:21:17.000"
"13109772","0","131097720","CALIFORNIA ST / 26TH AV","2013-11-19T00:00:00.000","133230341","2013-11-19T19:23:07.000","2013-11-19T19:32:53.000","2013-11-19T19:40:49.000","SF","94121","B07","14","7214","1","4","0","0","0","0","E10",,,"0","0","0","0","1","440 - Elec. wiring/equip. problem, other","None","45 - Remove hazard",,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","Outer Richmond","POINT (-122.486088 37.783832)","2013-11-29T17:47:01.000","2025-06-14T02:21:17.000"
"13109774","0","131097740","25TH ST / MINNESOTA ST","2013-11-19T00:00:00.000","133230343","2013-11-19T19:29:11.000","2013-11-19T19:34:41.000","2013-11-19T20:59:17.000","SF","94107","B10","25","2611","3","10","0","0","0","0","E25",,,"0","0","0","0","1","440 - Elec. wiring/equip. problem, other","None","40 - Hazardous condition, other",,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,"10","Potrero Hill","POINT (-122.3822387 37.75321107)","2013-12-08T16:53:20.000","2025-06-14T02:21:17.000"
"13109778","0","131097780","9TH AV / LINCOLN WY","2013-11-19T00:00:00.000","133230348","2013-11-19T19:35:30.000","2013-11-19T19:39:53.000","2013-11-19T20:47:37.000","SF","94117","B08","22","7333","1","4","1","2","0","0","54",,,"0","0","0","0","1","661 - EMS call, party transported by non-fire ag","None","30 - Emergency medical services, other",,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,"7","Inner Sunset","POINT (-122.466443 37.765924)","2013-11-25T15:10:50.000","2025-06-14T02:21:17.000"
"13109783","0","131097830","26TH ST / HAMPSHIRE ST","2013-11-19T00:00:00.000","133230355","2013-11-19T20:00:02.000","2013-11-19T20:03:22.000","2013-11-19T20:04:28.000","SF","94124","B06","09","5616","1","4","0","0","1","5","E09",,,"0","0","0","0","1","711 - Municipal alarm system, Street Box False","None","86 - Investigate",,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,"9","Mission","POINT (-122.406897 37.749718)","2013-12-02T22:46:32.000","2025-06-14T02:21:17.000"
"13109786","0","131097860","3221 BUCHANAN ST","2013-11-19T00:00:00.000","133230359","2013-11-19T20:05:22.000","2013-11-19T20:09:33.000","2013-11-19T20:15:05.000","SF","94123","B04","16","3444","3","10","0","0","0","0","E16",,,"0","0","0","0","1","735 - Alarm system sounded due to malfunction","None","63 - Restore fire alarm system",,,,"429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"2","Marina","POINT (-122.432709 37.799563)","2013-11-19T21:06:36.000","2025-06-14T02:21:17.000"
"13109791","0","131097910","2 BAYSIDE VILLAGE PL","2013-11-19T00:00:00.000","133230364","2013-11-19T20:18:53.000","2013-11-19T20:24:01.000","2013-11-19T20:31:56.000","SF","94102","B03","08","2134","3","10","0","0","0","0","E08",,,"0","0","0","0","1","740 - Unintentional alarm, other","None","86 - Investigate",,,,"429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"6","Financial District/South Beach","POINT (-122.390317 37.78408)","2013-11-23T17:37:56.000","2025-06-14T02:21:17.000"
"13109794","0","131097940","LARKIN ST / EDDY ST","2013-11-19T00:00:00.000","133230369","2013-11-19T20:49:23.000","2013-11-19T20:53:19.000","2013-11-19T21:33:21.000","SF","94109","B02","03","1643","1","4","0","0","0","0","E03",,,"0","0","0","0","1","323 - Auto/Ped. Accident (Veh.)","None","86 - Investigate",,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,"5","Tenderloin","POINT (-122.419183 37.783099)","2013-11-19T23:11:22.000","2025-06-14T02:21:17.000"
