"incident_number","exposure_number","id","address","incident_date","call_number","alarm_dttm","arrival_dttm","close_dttm","city","zipcode","battalion","station_area","box","suppression_units","suppression_personnel","ems_units","ems_personnel","other_units","other_personnel","first_unit_on_scene","estimated_property_loss","estimated_contents_loss","fire_fatalities","fire_injuries","civilian_fatalities","civilian_injuries","number_of_alarms","primary_situation","mutual_aid","action_taken_primary","action_taken_secondary","action_taken_other","detector_alerted_occupants","property_use","area_of_fire_origin","ignition_cause","ignition_factor_primary","ignition_factor_secondary","heat_source","item_first_ignited","human_factors_associated_with_ignition","structure_type","structure_status","floor_of_fire_origin","fire_spread","no_flame_spread","number_of_floors_with_minimum_damage","number_of_floors_with_significant_damage","number_of_floors_with_heavy_damage","number_of_floors_with_extreme_damage","detectors_present","detector_type","detector_operation","detector_effectiveness","detector_failure_reason","automatic_extinguishing_system_present","automatic_extinguishing_sytem_type","automatic_extinguishing_sytem_perfomance","automatic_extinguishing_sytem_failure_reason","number_of_sprinkler_heads_operating","supervisor_district","neighborhood_district","point","data_as_of","data_loaded_at"
"17048653","0","170486530","481 OFARRELL STREET","2017-04-24T00:00:00.000","171142502","2017-04-24T15:16:29.000","2017-04-24T15:20:19.000","2017-04-24T15:26:30.000","San Francisco","94102","B01","01","1452","1","5","0","0","0","0",,,,"0","0","0","0","1","554 Assist invalid","N None","71 Assist physically disabled",,,,"429 Multifamily dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"5","Tenderloin","POINT (-122.412627 37.785762)","2017-04-24T15:26:30.000","2025-06-14T02:21:17.000"
"17048662","0","170486620","2939 DIVISADERO STREET","2017-04-24T00:00:00.000","171142638","2017-04-24T15:51:32.000","2017-04-24T15:56:39.000","2017-04-24T15:59:48.000","San Francisco","94123","B04","16","4165","3","10","0","0","0","0",,,,"0","0","0","0","1","700 False alarm or false call, other","N None","00 Action taken, other",,,,"400 Residential, other",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"2","Marina","POINT (-122.442254 37.796614)","2017-04-24T15:59:48.000","2025-06-14T02:21:17.000"
"17048671","0","170486710","490 BRANNAN STREET","2017-04-24T00:00:00.000","171142752","2017-04-24T16:20:21.000","2017-04-24T16:25:04.000","2017-04-24T16:30:19.000","San Francisco","94107","B03","08","2223","1","5","0","0","0","0",,,,"0","0","0","0","1","520 Water problem, other","N None","86 Investigate",,,,"NNN None",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"6","South of Market","POINT (-122.396381 37.778545)","2017-04-24T16:30:19.000","2025-06-14T02:21:17.000"
"17048673","0","170486730","174 ELLIS STREET","2017-04-24T00:00:00.000","171142757","2017-04-24T16:21:22.000","2017-04-24T16:26:33.000","2017-04-24T16:33:08.000","San Francisco","94103","B03","01","1364","3","11","0","0","0","0",,,,"0","0","0","0","1","743 Smoke detector activation, no fire - unintentional","N None","86 Investigate",,,,"439 Boarding/rooming house, residential hotels",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"5","Tenderloin","POINT (-122.409052 37.78563)","2017-04-24T16:33:08.000","2025-06-14T02:21:17.000"
"17048692","0","170486920","600 MONTGOMERY STREET","2017-04-24T00:00:00.000","171143010","2017-04-24T17:11:15.000","2017-04-24T17:14:38.000","2017-04-24T17:22:02.000","San Francisco","94111","B01","13","1233","1","5","0","0","0","0",,,,"0","0","0","0","1","353 Removal of victim(s) from stalled elevator","N None","52 Forcible entry",,,,"599 Business office",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"3","Chinatown","POINT (-122.402732 37.795157)","2017-04-24T17:22:02.000","2025-06-14T02:21:17.000"
"17048693","0","170486930","0 MISSION BAY NORTH BL","2017-04-24T00:00:00.000","171143038","2017-04-24T17:17:35.000","2017-04-24T17:17:35.000","2017-04-24T18:53:27.000","San Francisco","94107","B03","04","2231","1","1","1","2","1","2",,,,"0","0","0","0","1","500 Service Call, other","N None","86 Investigate",,,,"960 Street, other",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"6","Mission Bay","POINT (-122.398615 37.769388)","2017-04-24T18:53:27.000","2025-06-14T02:21:17.000"
"17048696","0","170486960","0 HOWARD STREET","2017-04-24T00:00:00.000","171143115","2017-04-24T17:30:34.000","2017-04-24T17:47:42.000","2017-04-24T19:33:52.000","San Francisco","94103","B03","01","2177","1","2","0","0","0","0",,,,"0","0","0","0","1","700 False alarm or false call, other","N None","86 Investigate",,,,"429 Multifamily dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"6","Financial District/South Beach","POINT (-122.400474 37.785029)","2017-04-24T19:33:52.000","2025-06-14T02:21:17.000"
"17048699","0","170486990","340 MOLIMO DRIVE","2017-04-24T00:00:00.000","171143162","2017-04-24T17:40:07.000","2017-04-24T17:45:35.000","2017-04-24T18:55:55.000","San Francisco","94127","B09","39","8664","4","15","2","3","0","0",,,,"0","0","0","0","1","351 Extrication of victim(s) from building/structure","N None","23 Extricate, disentangle",,,,"419 1 or 2 family dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"7","West of Twin Peaks","POINT (-122.451808 37.737282)","2017-04-24T18:55:55.000","2025-06-14T02:21:17.000"
"17048700","0","170487000","455 IRWIN STREET","2017-04-24T00:00:00.000","171143172","2017-04-24T17:41:13.000","2017-04-24T17:53:31.000","2017-04-24T18:00:38.000","San Francisco","94107","B03","29","2272","6","21","0","0","0","0",,,,"0","0","0","0","1","700 False alarm or false call, other","N None","86 Investigate",,,,"400 Residential, other",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"6","Mission Bay","POINT (-122.398589 37.767423)","2017-04-24T18:00:38.000","2025-06-14T02:21:17.000"
"17048704","0","170487040","1300 THE EMBARCADERO NOR","2017-04-24T00:00:00.000","171143226","2017-04-24T17:52:37.000","2017-04-24T17:56:54.000","2017-04-24T17:58:00.000","San Francisco","94111","B01","28","0929","4","14","0","0","0","0",,,,"0","0","0","0","1","700 False alarm or false call, other","N None","86 Investigate",,,,"898 Dock, marina, pier, wharf",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"3","North Beach","POINT (-122.403158 37.805163)","2017-04-24T17:58:00.000","2025-06-14T02:21:17.000"
